#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.188	8.458e+00	3.289e+00	2.175e+01
2020.239	9.526e+00	4.697e+00	1.932e+01
2020.289	1.021e+01	5.035e+00	2.071e+01
2020.340	1.092e+01	5.486e+00	2.173e+01
2020.390	1.247e+01	6.540e+00	2.380e+01
2020.441	2.407e+01	1.424e+01	4.070e+01
2020.492	6.611e+01	4.003e+01	1.092e+02
2020.542	1.381e+02	8.820e+01	2.164e+02
2020.593	4.391e+02	2.760e+02	6.986e+02
2020.643	8.350e+02	5.075e+02	1.374e+03
2020.694	7.340e+02	4.425e+02	1.218e+03
2020.745	8.396e+02	5.185e+02	1.359e+03
2020.795	1.342e+03	8.378e+02	2.149e+03
2020.846	2.814e+03	1.617e+03	4.896e+03
2020.896	3.172e+03	1.746e+03	5.762e+03
2020.947	4.025e+03	2.054e+03	7.887e+03
2020.998	4.923e+03	2.449e+03	9.895e+03
2021.048	5.179e+03	2.559e+03	1.048e+04
2021.099	5.329e+03	2.628e+03	1.080e+04
2021.149	5.401e+03	1.987e+03	1.468e+04
