#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2019-11-22	2019.891662	2019.760893	2020.039907
NODE_0000191	2020-01-16	2020.042405	2019.963480	2020.138505
EPI_ISL_790628	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000192	2020-01-30	2020.081096	2020.030175	2020.160584
EPI_ISL_804381	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_422630	2020-03-31	2020.247268	2020.247268	2020.247268
EPI_ISL_461276	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_461165	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_461186	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_460852	2020-04-13	2020.282787	2020.282787	2020.282787
NODE_0000210	2020-03-12	2020.195635	2020.115094	2020.272504
EPI_ISL_461087	2020-05-08	2020.351093	2020.351093	2020.351093
EPI_ISL_461183	2020-04-26	2020.318306	2020.318306	2020.318306
NODE_0000193	2020-02-14	2020.120255	2020.067427	2020.188842
EPI_ISL_447629	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000194	2020-03-03	2020.169685	2020.116781	2020.232200
EPI_ISL_447630	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000195	2020-03-22	2020.221563	2020.172058	2020.264179
EPI_ISL_523075	2020-04-27	2020.321038	2020.321038	2020.321038
NODE_0000196	2020-04-06	2020.263305	2020.226115	2020.291927
EPI_ISL_447631	2020-04-25	2020.315574	2020.315574	2020.315574
EPI_ISL_447627	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_447632	2020-04-28	2020.323770	2020.323770	2020.323770
NODE_0000010	2020-04-27	2020.321038	2020.270379	2020.321038
EPI_ISL_523070	2020-04-27	2020.321038	2020.321038	2020.321038
EPI_ISL_447628	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000011	2020-02-08	2020.105188	2020.029295	2020.189343
NODE_0000012	2020-02-25	2020.152585	2020.097715	2020.211086
EPI_ISL_422749	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_422746	2020-03-25	2020.230874	2020.230874	2020.230874
NODE_0000013	2020-02-17	2020.128636	2020.069366	2020.191327
EPI_ISL_461159	2020-03-26	2020.233607	2020.233607	2020.233607
NODE_0000014	2020-02-23	2020.147274	2020.066945	2020.214037
NODE_0000018	2020-03-04	2020.172836	2020.113112	2020.226932
