#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.999	1.357e+01	5.127e+00	3.589e+01
2020.077	1.691e+01	8.730e+00	3.277e+01
2020.156	2.850e+01	1.862e+01	4.362e+01
2020.235	2.540e+02	2.063e+02	3.129e+02
2020.314	6.600e+02	5.105e+02	8.532e+02
2020.393	7.365e+02	5.478e+02	9.903e+02
2020.472	1.097e+03	8.201e+02	1.466e+03
2020.551	1.427e+03	1.031e+03	1.976e+03
2020.630	6.633e+02	4.993e+02	8.811e+02
2020.708	5.606e+02	4.620e+02	6.802e+02
2020.787	6.118e+02	5.231e+02	7.157e+02
2020.866	3.819e+03	2.865e+03	5.090e+03
2020.945	1.488e+03	7.650e+02	2.896e+03
2021.024	5.544e+02	2.940e+02	1.045e+03
2021.103	2.537e+02	1.459e+02	4.411e+02
2021.182	1.546e+02	9.550e+01	2.503e+02
2021.261	2.603e+02	1.504e+02	4.503e+02
2021.339	1.112e+02	5.619e+01	2.202e+02
2021.418	5.334e+01	2.789e+01	1.020e+02
2021.497	2.431e+01	9.520e+00	6.209e+01
