#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000004	2020-02-28	2020.159496	2020.020824	2020.304986
NODE_0000016	2020-07-01	2020.499991	2020.416930	2020.597975
NODE_0000017	2020-11-10	2020.859370	2020.815275	2020.890303
EPI_ISL_713810	2020-11-23	2020.894809	2020.894809	2020.894809
EPI_ISL_714080	2020-11-23	2020.894809	2020.894809	2020.894809
NODE_0000018	2020-09-18	2020.713874	2020.680377	2020.744322
EPI_ISL_641419	2020-10-16	2020.790984	2020.790984	2020.790984
EPI_ISL_641420	2020-10-16	2020.790984	2020.790984	2020.790984
NODE_0000020	2020-11-01	2020.834151	2020.812076	2020.857623
EPI_ISL_683175	2020-11-13	2020.867486	2020.867486	2020.867486
EPI_ISL_683176	2020-11-13	2020.867486	2020.867486	2020.867486
NODE_0000006	2020-11-05	2020.845956	2020.825264	2020.866881
EPI_ISL_713941	2020-11-23	2020.894809	2020.894809	2020.894809
NODE_0000009	2020-11-12	2020.863428	2020.843410	2020.867486
EPI_ISL_683177	2020-11-13	2020.867486	2020.867486	2020.867486
EPI_ISL_711816	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000007	2020-03-10	2020.191128	2020.086677	2020.316784
NODE_0000011	2020-06-30	2020.495985	2020.367740	2020.572247
NODE_0000012	2020-08-06	2020.596309	2020.549440	2020.607923
EPI_ISL_617648	2020-08-10	2020.607923	2020.607923	2020.607923
EPI_ISL_617759	2020-08-10	2020.607923	2020.607923	2020.607923
NODE_0000013	2020-09-18	2020.713457	2020.675948	2020.745179
EPI_ISL_641414	2020-10-26	2020.818306	2020.818306	2020.818306
EPI_ISL_671158	2020-10-26	2020.818306	2020.818306	2020.818306
NODE_0000014	2020-10-23	2020.810109	2020.726650	2020.810109
EPI_ISL_683215	2020-10-23	2020.810109	2020.810109	2020.810109
EPI_ISL_641399	2020-10-29	2020.826503	2020.826503	2020.826503
NODE_0000025	2020-07-10	2020.523128	2020.488169	2020.555099
EPI_ISL_625921	2020-10-26	2020.818306	2020.818306	2020.818306
EPI_ISL_1861195	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000028	2020-07-16	2020.539850	2020.508290	2020.577085
EPI_ISL_711594	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000029	2020-09-07	2020.684426	2020.664846	2020.684426
EPI_ISL_615634	2020-09-07	2020.684426	2020.684426	2020.684426
EPI_ISL_683041	2020-11-03	2020.840164	2020.840164	2020.840164
NODE_0000031	2020-11-10	2020.859846	2020.827654	2020.868831
EPI_ISL_668877	2020-11-16	2020.875683	2020.875683	2020.875683
EPI_ISL_713589	2020-11-23	2020.894809	2020.894809	2020.894809
EPI_ISL_750100	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000033	2020-08-31	2020.664926	2020.622748	2020.716028
EPI_ISL_641423	2020-10-16	2020.790984	2020.790984	2020.790984
NODE_0000034	2020-09-11	2020.696047	2020.666466	2020.721761
