#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.964	9.846e+00	3.696e+00	2.623e+01
2020.016	1.213e+01	6.240e+00	2.357e+01
2020.068	1.759e+01	8.850e+00	3.496e+01
2020.120	2.865e+01	1.481e+01	5.542e+01
2020.172	6.172e+01	3.474e+01	1.097e+02
2020.224	6.650e+01	3.279e+01	1.349e+02
2020.276	7.398e+01	3.648e+01	1.500e+02
2020.328	7.936e+01	4.128e+01	1.526e+02
2020.380	6.240e+01	3.367e+01	1.157e+02
2020.432	4.934e+01	3.049e+01	7.986e+01
2020.484	1.506e+02	8.114e+01	2.794e+02
2020.536	8.432e+01	4.494e+01	1.582e+02
2020.588	7.386e+01	4.487e+01	1.216e+02
2020.640	6.757e+01	4.277e+01	1.068e+02
2020.692	7.558e+01	5.392e+01	1.060e+02
2020.744	1.099e+02	8.393e+01	1.440e+02
2020.796	2.203e+02	1.821e+02	2.665e+02
2020.848	6.031e+02	4.750e+02	7.658e+02
2020.900	1.155e+03	5.970e+02	2.235e+03
2020.952	1.162e+03	4.271e+02	3.164e+03
