#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2021.042	7.685e+00	2.882e+00	2.050e+01
2021.067	9.732e+00	4.819e+00	1.966e+01
2021.091	1.308e+01	6.924e+00	2.470e+01
2021.116	3.001e+01	1.655e+01	5.442e+01
2021.141	3.189e+01	1.572e+01	6.468e+01
2021.165	3.391e+01	1.893e+01	6.075e+01
2021.190	2.682e+01	1.470e+01	4.893e+01
2021.215	2.469e+01	1.292e+01	4.719e+01
2021.239	1.996e+01	1.097e+01	3.630e+01
2021.264	2.534e+01	1.483e+01	4.328e+01
2021.289	5.628e+01	2.884e+01	1.098e+02
2021.313	5.797e+01	2.945e+01	1.141e+02
2021.338	4.749e+01	2.337e+01	9.648e+01
2021.363	3.710e+01	1.829e+01	7.525e+01
2021.388	2.931e+01	1.445e+01	5.944e+01
2021.412	2.250e+01	1.109e+01	4.562e+01
2021.437	1.712e+01	8.582e+00	3.414e+01
2021.462	1.489e+01	7.355e+00	3.013e+01
2021.486	1.333e+01	6.665e+00	2.668e+01
2021.511	1.283e+01	4.823e+00	3.412e+01
