#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	2020-02-07	2020.102835	2019.997296	2020.201793
NODE_0000170	2020-03-11	2020.192338	2020.183911	2020.214686
EPI_ISL_790628	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000171	2020-03-18	2020.212640	2020.194640	2020.221095
EPI_ISL_422746	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_461165	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_461276	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_422749	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_461159	2020-03-26	2020.233607	2020.233607	2020.233607
EPI_ISL_804381	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_422630	2020-03-31	2020.247268	2020.247268	2020.247268
NODE_0000190	2020-03-21	2020.220192	2020.197775	2020.273309
EPI_ISL_447629	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000191	2020-04-11	2020.278326	2020.196215	2020.302098
EPI_ISL_447630	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000192	2020-04-15	2020.287164	2020.256490	2020.302158
EPI_ISL_523075	2020-04-27	2020.321038	2020.321038	2020.321038
NODE_0000193	2020-04-21	2020.303666	2020.270205	2020.309563
EPI_ISL_447631	2020-04-25	2020.315574	2020.315574	2020.315574
EPI_ISL_447627	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_447632	2020-04-28	2020.323770	2020.323770	2020.323770
NODE_0000007	2020-04-24	2020.311681	2020.271217	2020.321038
EPI_ISL_447628	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_523070	2020-04-27	2020.321038	2020.321038	2020.321038
NODE_0000009	2020-03-19	2020.213327	2020.198870	2020.222724
NODE_0000188	2020-04-20	2020.302074	2020.201429	2020.318306
EPI_ISL_461087	2020-05-08	2020.351093	2020.351093	2020.351093
EPI_ISL_461183	2020-04-26	2020.318306	2020.318306	2020.318306
NODE_0000012	2020-03-20	2020.217308	2020.201311	2020.223625
NODE_0000013	2020-03-21	2020.219627	2020.203288	2020.227153
NODE_0000014	2020-03-24	2020.228142	2020.193220	2020.230874
EPI_ISL_460767	2020-03-25	2020.230874	2020.230874	2020.230874
EPI_ISL_1035223	2020-04-07	2020.266393	2020.266393	2020.266393
NODE_0000016	2020-03-23	2020.226674	2020.187312	2020.252732
EPI_ISL_461288	2020-04-02	2020.252732	2020.252732	2020.252732
NODE_0000017	2020-03-27	2020.235408	2020.177142	2020.260929
EPI_ISL_2708996	2020-04-05	2020.260929	2020.260929	2020.260929
EPI_ISL_461186	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000018	2020-03-20	2020.218197	2020.200807	2020.229070
NODE_0000020	2020-03-23	2020.226747	2020.189858	2020.244536
EPI_ISL_460792	2020-03-30	2020.244536	2020.244536	2020.244536
EPI_ISL_460852	2020-04-13	2020.282787	2020.282787	2020.282787
NODE_0000021	2020-03-20	2020.218138	2020.202156	2020.230608
NODE_0000025	2020-03-23	2020.226599	2020.190074	2020.236668
EPI_ISL_460932	2020-04-10	2020.274590	2020.274590	2020.274590
NODE_0000026	2020-03-27	2020.235264	2020.188756	2020.239071
EPI_ISL_2731376	2020-03-28	2020.239071	2020.239071	2020.239071
EPI_ISL_454794	2020-04-07	2020.266393	2020.266393	2020.266393
NODE_0000027	2020-03-23	2020.226299	2020.177862	2020.263661
EPI_ISL_2709002	2020-04-06	2020.263661	2020.263661	2020.263661
NODE_0000028	2020-04-12	2020.280055	2020.236534	2020.280055
EPI_ISL_460934	2020-04-12	2020.280055	2020.280055	2020.280055
EPI_ISL_460854	2020-04-30	2020.329235	2020.329235	2020.329235
NODE_0000201	2020-03-23	2020.226157	2020.185959	2020.349871
NODE_0000202	2020-04-20	2020.300893	2020.264795	2020.364079
EPI_ISL_523116	2020-06-01	2020.416667	2020.416667	2020.416667
NODE_0000203	2020-05-23	2020.392632	2020.335470	2020.419052
EPI_ISL_522987	2020-06-07	2020.433060	2020.433060	2020.433060
EPI_ISL_522988	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000204	2020-04-21	2020.304109	2020.260813	2020.359496
EPI_ISL_523097	2020-05-30	2020.411202	2020.411202	2020.411202
NODE_0000205	2020-05-23	2020.391363	2020.356192	2020.450812
EPI_ISL_523043	2020-07-04	2020.506831	2020.506831	2020.506831
EPI_ISL_523044	2020-07-04	2020.506831	2020.506831	2020.506831
EPI_ISL_523023	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523025	2020-06-21	2020.471311	2020.471311	2020.471311
NODE_0000036	2020-05-26	2020.400600	2020.373900	2020.463452
NODE_0000037	2020-06-17	2020.461056	2020.397376	2020.467760
EPI_ISL_523045	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000038	2020-06-21	2020.471311	2020.447592	2020.471311
EPI_ISL_523027	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523024	2020-06-21	2020.471311	2020.471311	2020.471311
NODE_0000039	2020-06-12	2020.445508	2020.393658	2020.478148
EPI_ISL_523041	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000213	2020-06-24	2020.479045	2020.465855	2020.506443
EPI_ISL_523048	2020-07-05	2020.509563	2020.509563	2020.509563
EPI_ISL_523049	2020-07-05	2020.509563	2020.509563	2020.509563
EPI_ISL_523050	2020-07-05	2020.509563	2020.509563	2020.509563
NODE_0000216	2020-07-03	2020.503801	2020.471338	2020.563207
EPI_ISL_577754	2020-08-08	2020.602459	2020.602459	2020.602459
EPI_ISL_523084	2020-07-26	2020.566940	2020.566940	2020.566940
NODE_0000218	2020-07-29	2020.575767	2020.524504	2020.588866
EPI_ISL_577750	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000219	2020-08-01	2020.582245	2020.563161	2020.602459
EPI_ISL_577752	2020-08-08	2020.602459	2020.602459	2020.602459
EPI_ISL_577753	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000169	2020-03-11	2020.193354	2020.089384	2020.203771
NODE_0000222	2020-06-22	2020.475370	2020.407948	2020.510514
EPI_ISL_523083	2020-07-26	2020.566940	2020.566940	2020.566940
EPI_ISL_523731	2020-07-14	2020.534153	2020.534153	2020.534153
NODE_0000223	2020-03-21	2020.220299	2020.175325	2020.246864
EPI_ISL_460675	2020-03-31	2020.247268	2020.247268	2020.247268
NODE_0000224	2020-05-18	2020.378277	2020.310913	2020.404947
EPI_ISL_522995	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000225	2020-05-23	2020.392632	2020.364841	2020.429686
EPI_ISL_522996	2020-06-07	2020.433060	2020.433060	2020.433060
