#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.176	4.114e+00	1.709e+00	9.906e+00
2020.211	7.276e+00	4.600e+00	1.151e+01
2020.246	1.033e+02	8.155e+01	1.308e+02
2020.281	2.136e+02	1.406e+02	3.246e+02
2020.316	1.438e+02	9.671e+01	2.137e+02
2020.351	1.847e+02	1.173e+02	2.910e+02
2020.386	9.027e+01	5.828e+01	1.398e+02
2020.421	1.120e+02	7.571e+01	1.658e+02
2020.456	1.034e+02	6.314e+01	1.692e+02
2020.491	6.544e+01	3.884e+01	1.102e+02
2020.525	1.018e+02	5.933e+01	1.746e+02
2020.560	8.133e+01	4.499e+01	1.470e+02
2020.595	4.176e+01	2.533e+01	6.884e+01
2020.630	4.241e+01	2.531e+01	7.109e+01
2020.665	9.245e+01	5.153e+01	1.659e+02
2020.700	8.501e+01	4.608e+01	1.569e+02
2020.735	5.773e+01	3.158e+01	1.056e+02
2020.770	4.630e+01	2.482e+01	8.638e+01
2020.805	4.717e+01	2.392e+01	9.304e+01
2020.840	4.727e+01	1.743e+01	1.282e+02
