#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.374	1.219e+01	4.708e+00	3.159e+01
2020.432	1.395e+01	6.880e+00	2.830e+01
2020.490	1.623e+01	8.005e+00	3.292e+01
2020.548	1.850e+01	9.254e+00	3.699e+01
2020.606	1.988e+01	9.978e+00	3.961e+01
2020.664	2.057e+01	1.014e+01	4.173e+01
2020.722	2.161e+01	1.066e+01	4.383e+01
2020.780	2.260e+01	1.156e+01	4.420e+01
2020.838	2.579e+01	1.396e+01	4.765e+01
2020.896	3.312e+01	1.736e+01	6.318e+01
2020.954	4.327e+01	2.292e+01	8.170e+01
2021.012	7.179e+01	3.835e+01	1.344e+02
2021.070	8.647e+01	4.473e+01	1.672e+02
2021.128	8.195e+01	4.066e+01	1.652e+02
2021.186	7.003e+01	3.492e+01	1.404e+02
2021.244	6.397e+01	3.190e+01	1.283e+02
2021.301	6.471e+01	3.191e+01	1.312e+02
2021.359	6.691e+01	3.299e+01	1.357e+02
2021.417	7.073e+01	3.485e+01	1.436e+02
2021.475	7.329e+01	2.710e+01	1.982e+02
