#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2016.977	3.846e+01	1.511e+01	9.789e+01
2017.230	4.506e+01	2.222e+01	9.138e+01
2017.483	5.273e+01	2.600e+01	1.069e+02
2017.736	6.075e+01	3.035e+01	1.216e+02
2017.989	7.691e+01	4.203e+01	1.407e+02
2018.242	2.852e+02	1.926e+02	4.224e+02
2018.495	7.631e+02	5.347e+02	1.089e+03
2018.748	3.371e+03	2.288e+03	4.967e+03
2019.001	5.068e+03	3.360e+03	7.646e+03
2019.253	6.125e+03	3.949e+03	9.501e+03
2019.506	2.117e+04	1.259e+04	3.557e+04
2019.759	2.605e+04	1.547e+04	4.386e+04
2020.012	2.280e+04	1.367e+04	3.802e+04
2020.265	1.579e+04	1.043e+04	2.392e+04
2020.518	5.735e+03	4.446e+03	7.398e+03
2020.771	2.267e+03	1.674e+03	3.071e+03
2021.024	3.274e+04	1.948e+04	5.503e+04
2021.276	1.368e+04	7.011e+03	2.668e+04
2021.529	2.794e+03	1.741e+03	4.484e+03
2021.782	5.955e+02	2.920e+02	1.214e+03
