#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-02-24	2020.148431	2019.984534	2020.572964
NODE_0000034	2020-06-17	2020.459896	2020.383141	2020.667909
EPI_ISL_3322074	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0000032	2020-08-05	2020.595256	2020.469343	2020.701795
NODE_0000033	2020-12-05	2020.928174	2020.810182	2021.154737
EPI_ISL_5779742	2021-10-08	2021.768493	2021.768493	2021.768493
EPI_ISL_9347713	2021-12-01	2021.916438	2021.916438	2021.916438
NODE_0000031	2020-10-03	2020.756069	2020.672311	2020.862255
EPI_ISL_5988391	2021-09-01	2021.667123	2021.667123	2021.667123
NODE_0000005	2020-10-06	2020.764665	2020.716280	2020.887911
NODE_0000006	2021-11-27	2021.905479	2021.840687	2021.905479
EPI_ISL_9654523	2021-11-28	2021.908219	2021.908219	2021.908219
EPI_ISL_9654019	2021-11-27	2021.905479	2021.905479	2021.905479
NODE_0000030	2020-12-04	2020.925384	2020.838911	2021.157199
EPI_ISL_5151481	2021-08-10	2021.606849	2021.606849	2021.606849
EPI_ISL_9347726	2021-12-01	2021.916438	2021.916438	2021.916438
NODE_0000000	2020-11-26	2020.903280	2020.821931	2021.001334
EPI_ISL_4260077	2021-08-07	2021.598630	2021.598630	2021.598630
EPI_ISL_8643727	2021-12-26	2021.984932	2021.984932	2021.984932
NODE_0000002	2021-06-23	2021.475936	2021.292100	2021.608521
EPI_ISL_6079297	2021-10-18	2021.795890	2021.795890	2021.795890
EPI_ISL_5376949	2021-10-10	2021.773973	2021.773973	2021.773973
NODE_0000004	2021-06-24	2021.478132	2021.290421	2021.602433
EPI_ISL_9347715	2021-12-03	2021.921918	2021.921918	2021.921918
EPI_ISL_9388141	2021-12-06	2021.930137	2021.930137	2021.930137
NODE_0000009	2020-11-09	2020.855645	2020.769044	2020.986028
NODE_0000010	2020-12-06	2020.930639	2020.863782	2021.173333
EPI_ISL_9050787	2021-12-14	2021.952055	2021.952055	2021.952055
NODE_0000011	2021-11-18	2021.881095	2021.820900	2021.886301
EPI_ISL_9388142	2021-11-20	2021.886301	2021.886301	2021.886301
EPI_ISL_9388143	2021-11-20	2021.886301	2021.886301	2021.886301
NODE_0000012	2020-12-02	2020.920271	2020.806572	2021.080968
EPI_ISL_7088388	2021-11-01	2021.834247	2021.834247	2021.834247
NODE_0000013	2021-01-05	2021.012847	2020.850243	2021.167346
EPI_ISL_9347727	2021-12-10	2021.941096	2021.941096	2021.941096
EPI_ISL_3847594	2021-07-31	2021.579452	2021.579452	2021.579452
NODE_0000014	2020-10-30	2020.829080	2020.749902	2020.928733
NODE_0000019	2020-12-05	2020.927227	2020.828813	2021.064697
EPI_ISL_9347716	2021-12-01	2021.916438	2021.916438	2021.916438
EPI_ISL_7940234	2021-11-22	2021.891781	2021.891781	2021.891781
NODE_0000020	2021-01-04	2021.008767	2020.836033	2021.136945
EPI_ISL_9347718	2021-11-28	2021.908219	2021.908219	2021.908219
EPI_ISL_5259182	2021-09-24	2021.730137	2021.730137	2021.730137
NODE_0000015	2021-02-08	2021.106491	2020.953620	2021.499833
EPI_ISL_3812687	2021-08-10	2021.606849	2021.606849	2021.606849
NODE_0000016	2021-05-20	2021.381355	2020.968769	2021.621323
EPI_ISL_8371424	2021-12-02	2021.919178	2021.919178	2021.919178
EPI_ISL_9347712	2021-11-20	2021.886301	2021.886301	2021.886301
EPI_ISL_9388144	2021-12-04	2021.924658	2021.924658	2021.924658
NODE_0000022	2020-11-20	2020.887934	2020.802258	2020.925849
EPI_ISL_5079396	2021-09-13	2021.700000	2021.700000	2021.700000
EPI_ISL_3404893	2021-08-04	2021.590411	2021.590411	2021.590411
EPI_ISL_9347728	2021-12-11	2021.943836	2021.943836	2021.943836
NODE_0000025	2021-07-08	2021.517301	2021.372580	2021.647748
EPI_ISL_9651352	2021-11-01	2021.834247	2021.834247	2021.834247
EPI_ISL_9650712	2021-10-14	2021.784932	2021.784932	2021.784932
NODE_0000027	2020-12-04	2020.923978	2020.847399	2021.042960
EPI_ISL_9347725	2021-12-07	2021.932877	2021.932877	2021.932877
NODE_0000028	2021-02-14	2021.122074	2020.988511	2021.294972
EPI_ISL_4996709	2021-09-12	2021.697260	2021.697260	2021.697260
EPI_ISL_4340037	2021-08-21	2021.636986	2021.636986	2021.636986
NODE_0000035	2020-06-01	2020.416533	2020.328618	2020.542274
EPI_ISL_2825487	2021-02-23	2021.146575	2021.146575	2021.146575
NODE_0000037	2021-07-22	2021.554597	2021.418472	2021.675620
EPI_ISL_9047305	2022-01-03	2022.006849	2022.006849	2022.006849
NODE_0000038	2021-10-27	2021.820680	2021.716387	2021.876729
EPI_ISL_9414678	2022-01-06	2022.015068	2022.015068	2022.015068
EPI_ISL_9414679	2022-01-06	2022.015068	2022.015068	2022.015068
NODE_0000040	2021-11-19	2021.882435	2021.829005	2021.916197
EPI_ISL_9272010	2022-01-06	2022.015068	2022.015068	2022.015068
EPI_ISL_9795013	2022-02-01	2022.086301	2022.086301	2022.086301
EPI_ISL_9414680	2022-01-07	2022.017808	2022.017808	2022.017808
NODE_0000043	2021-11-30	2021.914514	2021.870898	2021.963912
EPI_ISL_9982829	2022-02-03	2022.091781	2022.091781	2022.091781
EPI_ISL_9428788	2022-01-06	2022.015068	2022.015068	2022.015068
NODE_0000044	2020-06-07	2020.432320	2020.390576	2020.547923
NODE_0000045	2020-06-30	2020.496811	2020.449419	2020.587663
EPI_ISL_5804735	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000046	2020-07-09	2020.519406	2020.479857	2020.605577
NODE_0000036	2020-07-23	2020.559570	2020.493479	2020.609016
NODE_0000039	2020-08-06	2020.597785	2020.524748	2020.675625
EPI_ISL_854881	2021-01-05	2021.012329	2021.012329	2021.012329
EPI_ISL_5629753	2021-01-19	2021.050685	2021.050685	2021.050685
NODE_0000048	2020-08-05	2020.594383	2020.539041	2020.640298
NODE_0000041	2020-08-16	2020.623784	2020.563411	2020.731410
EPI_ISL_5804736	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000042	2020-09-02	2020.670957	2020.567902	2020.787957
EPI_ISL_5804729	2020-12-06	2020.930328	2020.930328	2020.930328
EPI_ISL_5804730	2020-12-06	2020.930328	2020.930328	2020.930328
NODE_0000051	2020-09-28	2020.743114	2020.671085	2020.790020
EPI_ISL_5804741	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000052	2020-10-05	2020.759871	2020.700744	2020.813609
EPI_ISL_5804740	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000053	2020-10-26	2020.818195	2020.762924	2020.860390
EPI_ISL_5804739	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000054	2020-11-03	2020.841115	2020.795114	2020.882336
EPI_ISL_5804737	2020-12-08	2020.935792	2020.935792	2020.935792
EPI_ISL_5804738	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000056	2020-08-05	2020.595588	2020.552852	2020.667699
NODE_0000047	2020-08-16	2020.623502	2020.573807	2020.713224
EPI_ISL_739022	2020-11-29	2020.911202	2020.911202	2020.911202
EPI_ISL_1348140	2021-02-09	2021.108219	2021.108219	2021.108219
NODE_0000058	2020-08-12	2020.612275	2020.586345	2020.687475
EPI_ISL_1079107	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000064	2020-09-02	2020.669839	2020.629424	2020.752556
EPI_ISL_5804731	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000065	2020-11-06	2020.849602	2020.793903	2020.901784
EPI_ISL_5804732	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000066	2020-11-21	2020.889190	2020.838479	2020.928838
EPI_ISL_5804733	2020-12-10	2020.941257	2020.941257	2020.941257
EPI_ISL_5804734	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000059	2020-08-26	2020.651689	2020.614905	2020.728819
EPI_ISL_913880	2020-12-21	2020.971311	2020.971311	2020.971311
NODE_0000060	2020-09-30	2020.748330	2020.671377	2020.827717
EPI_ISL_2202878	2020-12-29	2020.993169	2020.993169	2020.993169
EPI_ISL_3319994	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000062	2020-11-21	2020.888802	2020.812132	2020.937093
EPI_ISL_5804752	2020-12-22	2020.974044	2020.974044	2020.974044
EPI_ISL_5804753	2020-12-15	2020.954918	2020.954918	2020.954918
NODE_0000067	2020-06-20	2020.467283	2020.433928	2020.570292
NODE_0000057	2020-06-30	2020.494536	2020.456494	2020.567848
NODE_0000061	2020-07-10	2020.523862	2020.479278	2020.615971
NODE_0000063	2020-08-07	2020.599118	2020.473952	2020.664477
EPI_ISL_784746	2020-11-18	2020.881148	2020.881148	2020.881148
EPI_ISL_1258774	2021-03-03	2021.168493	2021.168493	2021.168493
NODE_0000103	2020-08-13	2020.616819	2020.541105	2020.675481
EPI_ISL_2283628	2020-11-23	2020.894809	2020.894809	2020.894809
NODE_0000104	2020-09-07	2020.683113	2020.594819	2020.814956
EPI_ISL_2650410	2021-01-22	2021.058904	2021.058904	2021.058904
NODE_0000105	2020-12-02	2020.919143	2020.840488	2021.042764
EPI_ISL_4847029	2021-01-28	2021.075342	2021.075342	2021.075342
EPI_ISL_4847030	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000068	2020-07-15	2020.536361	2020.491530	2020.599145
EPI_ISL_5847426	2020-09-08	2020.687158	2020.687158	2020.687158
NODE_0000069	2020-07-23	2020.559520	2020.517307	2020.617217
EPI_ISL_1323858	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000070	2020-08-01	2020.583748	2020.540142	2020.633353
EPI_ISL_1379616	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000071	2020-08-12	2020.613374	2020.579202	2020.673243
NODE_0000079	2020-11-04	2020.842934	2020.743386	2020.912281
EPI_ISL_1089277	2021-01-29	2021.078082	2021.078082	2021.078082
EPI_ISL_1181644	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000081	2021-02-26	2021.154795	2021.039656	2021.154795
EPI_ISL_2305896	2021-05-09	2021.352055	2021.352055	2021.352055
EPI_ISL_1261939	2021-02-26	2021.154795	2021.154795	2021.154795
NODE_0000074	2020-08-16	2020.624157	2020.587020	2020.690016
EPI_ISL_3419509	2021-02-24	2021.149315	2021.149315	2021.149315
NODE_0000075	2020-08-25	2020.649218	2020.586849	2020.707987
EPI_ISL_1064211	2021-01-15	2021.039726	2021.039726	2021.039726
NODE_0000076	2020-08-29	2020.659524	2020.594151	2020.739196
EPI_ISL_1318706	2021-01-12	2021.031507	2021.031507	2021.031507
NODE_0000077	2020-09-12	2020.697353	2020.591005	2020.773586
NODE_0000073	2020-11-15	2020.872747	2020.778415	2020.878415
EPI_ISL_979200	2020-12-18	2020.963115	2020.963115	2020.963115
EPI_ISL_1701066	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000080	2020-09-29	2020.743306	2020.585634	2020.835115
EPI_ISL_984575	2020-11-09	2020.856557	2020.856557	2020.856557
EPI_ISL_979727	2020-12-03	2020.922131	2020.922131	2020.922131
NODE_0000082	2020-08-20	2020.635802	2020.599229	2020.695924
EPI_ISL_1304871	2020-12-30	2020.995902	2020.995902	2020.995902
NODE_0000083	2020-08-29	2020.659408	2020.616182	2020.717910
EPI_ISL_875900	2020-10-30	2020.829235	2020.829235	2020.829235
EPI_ISL_831630	2021-01-05	2021.012329	2021.012329	2021.012329
EPI_ISL_1048656	2020-12-26	2020.984973	2020.984973	2020.984973
NODE_0000086	2020-09-07	2020.684677	2020.644970	2020.755588
NODE_0000087	2020-09-27	2020.739964	2020.674279	2020.803579
EPI_ISL_5804716	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804728	2020-12-06	2020.930328	2020.930328	2020.930328
NODE_0000088	2020-09-21	2020.723946	2020.664850	2020.776832
EPI_ISL_5804726	2021-01-09	2021.023288	2021.023288	2021.023288
NODE_0000089	2020-09-30	2020.748618	2020.677088	2020.785071
EPI_ISL_5804718	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804724	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000092	2020-11-16	2020.874446	2020.826147	2020.910141
EPI_ISL_6425287	2021-01-09	2021.023288	2021.023288	2021.023288
EPI_ISL_5804723	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000094	2020-10-25	2020.816039	2020.762044	2020.877687
EPI_ISL_5804743	2020-12-08	2020.935792	2020.935792	2020.935792
EPI_ISL_5804751	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000095	2020-10-06	2020.763185	2020.727687	2020.831030
EPI_ISL_5804717	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804722	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000098	2020-10-25	2020.816481	2020.763785	2020.867155
EPI_ISL_5804719	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804721	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000099	2020-10-27	2020.820784	2020.762773	2020.893258
EPI_ISL_5804725	2021-01-09	2021.023288	2021.023288	2021.023288
EPI_ISL_5804765	2021-01-09	2021.023288	2021.023288	2021.023288
NODE_0000106	2020-06-30	2020.496501	2020.463163	2020.579191
EPI_ISL_823940	2020-12-04	2020.924863	2020.924863	2020.924863
NODE_0000107	2020-07-05	2020.509253	2020.483226	2020.592586
EPI_ISL_787389	2020-10-01	2020.750000	2020.750000	2020.750000
NODE_0000108	2020-07-19	2020.548471	2020.510482	2020.599032
EPI_ISL_5804742	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000109	2020-07-28	2020.573722	2020.538432	2020.609228
EPI_ISL_5804744	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000110	2020-08-04	2020.591878	2020.551481	2020.612534
EPI_ISL_613530	2020-10-23	2020.810109	2020.810109	2020.810109
EPI_ISL_1235710	2021-02-02	2021.089041	2021.089041	2021.089041
NODE_0000134	2020-09-29	2020.745305	2020.638725	2020.820226
EPI_ISL_3119109	2021-01-04	2021.009589	2021.009589	2021.009589
EPI_ISL_1479362	2021-03-13	2021.195890	2021.195890	2021.195890
NODE_0000142	2020-08-25	2020.649969	2020.597014	2020.720177
EPI_ISL_2191455	2020-12-17	2020.960383	2020.960383	2020.960383
EPI_ISL_2246844	2020-11-09	2020.856557	2020.856557	2020.856557
NODE_0000146	2020-08-18	2020.630629	2020.584221	2020.710694
EPI_ISL_5804754	2020-12-28	2020.990437	2020.990437	2020.990437
EPI_ISL_1136108	2021-01-15	2021.039726	2021.039726	2021.039726
NODE_0000100	2020-08-06	2020.596771	2020.567526	2020.637278
NODE_0000136	2020-08-24	2020.646760	2020.593431	2020.706318
EPI_ISL_1421153	2021-03-03	2021.168493	2021.168493	2021.168493
NODE_0000137	2020-09-13	2020.700850	2020.637198	2020.790581
EPI_ISL_3101942	2021-01-19	2021.050685	2021.050685	2021.050685
NODE_0000138	2020-10-04	2020.759332	2020.698471	2020.840165
EPI_ISL_1692081	2021-03-25	2021.228767	2021.228767	2021.228767
EPI_ISL_5934614	2020-11-12	2020.864754	2020.864754	2020.864754
EPI_ISL_1094943	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000117	2020-08-15	2020.620975	2020.576910	2020.656299
NODE_0000149	2020-09-30	2020.746717	2020.617719	2020.814039
EPI_ISL_8900812	2021-01-06	2021.015068	2021.015068	2021.015068
EPI_ISL_2775725	2021-02-14	2021.121918	2021.121918	2021.121918
EPI_ISL_967252	2021-01-12	2021.031507	2021.031507	2021.031507
NODE_0000152	2020-12-02	2020.920415	2020.807962	2021.010126
EPI_ISL_1267458	2021-03-03	2021.168493	2021.168493	2021.168493
EPI_ISL_2466855	2021-01-12	2021.031507	2021.031507	2021.031507
NODE_0000121	2020-08-16	2020.624690	2020.587281	2020.683468
EPI_ISL_770108	2020-11-23	2020.894809	2020.894809	2020.894809
NODE_0000122	2020-08-25	2020.647616	2020.584837	2020.715414
