#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.104	1.236e+01	4.842e+00	3.157e+01
2020.208	1.403e+01	6.915e+00	2.844e+01
2020.313	1.485e+01	7.442e+00	2.962e+01
2020.418	1.741e+01	9.537e+00	3.179e+01
2020.522	4.578e+01	2.948e+01	7.107e+01
2020.627	2.218e+02	1.613e+02	3.051e+02
2020.731	8.747e+02	6.124e+02	1.249e+03
2020.836	1.475e+03	9.987e+02	2.178e+03
2020.941	1.809e+03	1.120e+03	2.923e+03
2021.045	1.581e+03	8.927e+02	2.800e+03
2021.150	1.706e+03	9.010e+02	3.228e+03
2021.255	1.747e+03	8.917e+02	3.422e+03
2021.359	1.745e+03	9.095e+02	3.349e+03
2021.464	1.497e+03	7.797e+02	2.873e+03
2021.569	1.502e+03	7.774e+02	2.903e+03
2021.673	1.342e+03	6.837e+02	2.634e+03
2021.778	7.954e+02	4.094e+02	1.545e+03
2021.883	3.960e+02	2.089e+02	7.507e+02
2021.987	3.737e+02	1.889e+02	7.393e+02
2022.092	3.741e+02	1.376e+02	1.018e+03
