#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.844	2.102e+01	8.082e+00	5.468e+01
2019.959	3.334e+01	1.777e+01	6.257e+01
2020.074	9.208e+01	6.192e+01	1.369e+02
2020.190	2.418e+02	1.911e+02	3.061e+02
2020.305	9.195e+02	7.734e+02	1.093e+03
2020.420	1.654e+03	1.318e+03	2.075e+03
2020.536	2.470e+03	1.956e+03	3.117e+03
2020.651	1.634e+03	1.351e+03	1.977e+03
2020.766	1.186e+03	1.022e+03	1.377e+03
2020.881	3.589e+03	2.979e+03	4.324e+03
2020.997	2.453e+03	1.643e+03	3.662e+03
2021.112	8.368e+03	5.130e+03	1.365e+04
2021.227	6.609e+03	3.645e+03	1.198e+04
2021.343	6.333e+03	3.436e+03	1.167e+04
2021.458	6.397e+03	3.446e+03	1.188e+04
2021.573	3.487e+03	1.963e+03	6.196e+03
2021.688	9.058e+02	5.611e+02	1.462e+03
2021.804	4.234e+02	2.373e+02	7.555e+02
2021.919	2.086e+02	1.114e+02	3.905e+02
2022.034	4.795e+01	1.881e+01	1.222e+02
