#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2019-12-14	2019.952555	2019.822874	2020.105922
NODE_0000721	2020-01-27	2020.073298	2019.983429	2020.132659
EPI_ISL_790628	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000722	2020-02-10	2020.110639	2020.046630	2020.141244
EPI_ISL_804381	2020-04-08	2020.269126	2020.269126	2020.269126
EPI_ISL_422630	2020-03-31	2020.247268	2020.247268	2020.247268
EPI_ISL_461186	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_461276	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_461165	2020-04-08	2020.269126	2020.269126	2020.269126
NODE_0000738	2020-04-10	2020.275633	2020.161909	2020.317058
EPI_ISL_461087	2020-05-08	2020.351093	2020.351093	2020.351093
EPI_ISL_461183	2020-04-26	2020.318306	2020.318306	2020.318306
NODE_0000723	2020-02-22	2020.144287	2020.048763	2020.257175
EPI_ISL_447629	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000724	2020-03-19	2020.213526	2020.133019	2020.300239
EPI_ISL_447630	2020-04-29	2020.326503	2020.326503	2020.326503
NODE_0000725	2020-04-13	2020.282757	2020.223202	2020.302171
EPI_ISL_523075	2020-04-27	2020.321038	2020.321038	2020.321038
NODE_0000726	2020-04-14	2020.285745	2020.275706	2020.313898
EPI_ISL_447632	2020-04-28	2020.323770	2020.323770	2020.323770
EPI_ISL_447627	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_447631	2020-04-25	2020.315574	2020.315574	2020.315574
NODE_0000008	2020-04-27	2020.321038	2020.313750	2020.321038
EPI_ISL_447628	2020-04-29	2020.326503	2020.326503	2020.326503
EPI_ISL_523070	2020-04-27	2020.321038	2020.321038	2020.321038
NODE_0000010	2020-02-15	2020.122990	2020.063603	2020.147676
EPI_ISL_460852	2020-04-13	2020.282787	2020.282787	2020.282787
NODE_0000013	2020-02-19	2020.134674	2020.086662	2020.154757
EPI_ISL_422749	2020-03-25	2020.230874	2020.230874	2020.230874
NODE_0000014	2020-02-23	2020.146598	2020.106596	2020.162752
EPI_ISL_422746	2020-03-25	2020.230874	2020.230874	2020.230874
NODE_0000015	2020-02-27	2020.157387	2020.124326	2020.174569
EPI_ISL_461159	2020-03-26	2020.233607	2020.233607	2020.233607
NODE_0000022	2020-03-02	2020.166966	2020.132327	2020.180529
EPI_ISL_460792	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000023	2020-03-05	2020.176799	2020.145187	2020.188997
EPI_ISL_461288	2020-04-02	2020.252732	2020.252732	2020.252732
NODE_0000026	2020-03-09	2020.186244	2020.155985	2020.200043
EPI_ISL_2708996	2020-04-05	2020.260929	2020.260929	2020.260929
NODE_0000027	2020-03-12	2020.196069	2020.170808	2020.202964
EPI_ISL_2709002	2020-04-06	2020.263661	2020.263661	2020.263661
NODE_0000030	2020-03-15	2020.204747	2020.177433	2020.215220
EPI_ISL_460932	2020-04-10	2020.274590	2020.274590	2020.274590
NODE_0000033	2020-03-18	2020.213112	2020.190934	2020.220285
EPI_ISL_460854	2020-04-30	2020.329235	2020.329235	2020.329235
NODE_0000035	2020-03-22	2020.221488	2020.202546	2020.229512
NODE_0000039	2020-04-04	2020.259134	2020.222593	2020.266393
EPI_ISL_460934	2020-04-12	2020.280055	2020.280055	2020.280055
EPI_ISL_1035223	2020-04-07	2020.266393	2020.266393	2020.266393
NODE_0000040	2020-03-25	2020.230874	2020.212569	2020.230874
EPI_ISL_460767	2020-03-25	2020.230874	2020.230874	2020.230874
NODE_0000043	2020-03-28	2020.239071	2020.222850	2020.239071
EPI_ISL_2731376	2020-03-28	2020.239071	2020.239071	2020.239071
EPI_ISL_454794	2020-04-07	2020.266393	2020.266393	2020.266393
NODE_0000752	2020-04-29	2020.327383	2020.260722	2020.352941
NODE_0000753	2020-05-03	2020.338253	2020.298351	2020.367398
EPI_ISL_523116	2020-06-01	2020.416667	2020.416667	2020.416667
NODE_0000754	2020-05-23	2020.391021	2020.361810	2020.415324
EPI_ISL_522987	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000055	2020-06-07	2020.433060	2020.393107	2020.433060
EPI_ISL_522988	2020-06-07	2020.433060	2020.433060	2020.433060
EPI_ISL_1265367	2020-06-08	2020.435792	2020.435792	2020.435792
NODE_0000756	2020-05-04	2020.339201	2020.293706	2020.362461
EPI_ISL_523097	2020-05-30	2020.411202	2020.411202	2020.411202
NODE_0000757	2020-05-15	2020.370081	2020.331839	2020.452920
EPI_ISL_523025	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523023	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523043	2020-07-04	2020.506831	2020.506831	2020.506831
EPI_ISL_523044	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000058	2020-05-19	2020.380280	2020.316232	2020.462786
EPI_ISL_523045	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000060	2020-06-12	2020.448046	2020.394362	2020.467946
EPI_ISL_523041	2020-07-04	2020.506831	2020.506831	2020.506831
NODE_0000061	2020-06-21	2020.471311	2020.430475	2020.471311
EPI_ISL_523027	2020-06-21	2020.471311	2020.471311	2020.471311
EPI_ISL_523026	2020-06-21	2020.471311	2020.471311	2020.471311
NODE_0000765	2020-06-14	2020.450986	2020.396707	2020.509563
EPI_ISL_523050	2020-07-05	2020.509563	2020.509563	2020.509563
EPI_ISL_523049	2020-07-05	2020.509563	2020.509563	2020.509563
EPI_ISL_523048	2020-07-05	2020.509563	2020.509563	2020.509563
NODE_0000768	2020-07-14	2020.533442	2020.486986	2020.557059
EPI_ISL_577754	2020-08-08	2020.602459	2020.602459	2020.602459
EPI_ISL_523084	2020-07-26	2020.566940	2020.566940	2020.566940
NODE_0000770	2020-07-22	2020.556954	2020.529975	2020.590028
EPI_ISL_577750	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000771	2020-08-03	2020.588327	2020.561603	2020.601399
EPI_ISL_577752	2020-08-08	2020.602459	2020.602459	2020.602459
EPI_ISL_577753	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000052	2020-01-19	2020.051764	2019.957526	2020.160420
NODE_0000840	2020-05-13	2020.364805	2020.273256	2020.538300
EPI_ISL_523083	2020-07-26	2020.566940	2020.566940	2020.566940
EPI_ISL_523732	2020-07-16	2020.539617	2020.539617	2020.539617
NODE_0000841	2020-02-16	2020.127754	2019.940924	2020.418680
NODE_0000842	2020-11-18	2020.882510	2020.819997	2020.913095
EPI_ISL_1865767	2020-12-07	2020.933060	2020.933060	2020.933060
EPI_ISL_713036	2020-11-30	2020.913934	2020.913934	2020.913934
EPI_ISL_750090	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000844	2020-05-12	2020.362784	2020.324239	2020.408679
EPI_ISL_522995	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000845	2020-05-26	2020.399588	2020.359958	2020.421899
EPI_ISL_522996	2020-06-07	2020.433060	2020.433060	2020.433060
EPI_ISL_522998	2020-06-07	2020.433060	2020.433060	2020.433060
NODE_0000051	2020-05-02	2020.334476	2020.241383	2020.422389
EPI_ISL_625927	2020-10-26	2020.818306	2020.818306	2020.818306
NODE_0000050	2020-09-06	2020.681952	2020.522080	2020.941088
EPI_ISL_3322074	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0000048	2020-10-10	2020.773441	2020.625931	2021.013572
NODE_0000049	2021-04-05	2021.257653	2021.096848	2021.385349
EPI_ISL_5779742	2021-10-08	2021.768493	2021.768493	2021.768493
EPI_ISL_9347713	2021-12-01	2021.916438	2021.916438	2021.916438
NODE_0000047	2020-11-27	2020.905226	2020.655780	2021.318603
EPI_ISL_5988391	2021-09-01	2021.667123	2021.667123	2021.667123
NODE_0000005	2020-12-02	2020.920005	2020.677326	2021.350886
NODE_0000016	2021-04-08	2021.266608	2021.123810	2021.497758
EPI_ISL_5151481	2021-08-10	2021.606849	2021.606849	2021.606849
EPI_ISL_9347726	2021-12-01	2021.916438	2021.916438	2021.916438
NODE_0000046	2021-11-27	2021.905479	2021.847119	2021.905479
EPI_ISL_9654523	2021-11-28	2021.908219	2021.908219	2021.908219
EPI_ISL_9654019	2021-11-27	2021.905479	2021.905479	2021.905479
NODE_0000000	2021-04-05	2021.258080	2021.163243	2021.403820
EPI_ISL_4260077	2021-08-07	2021.598630	2021.598630	2021.598630
EPI_ISL_8643727	2021-12-26	2021.984932	2021.984932	2021.984932
NODE_0000002	2021-07-18	2021.544123	2021.457002	2021.681839
EPI_ISL_6079297	2021-10-18	2021.795890	2021.795890	2021.795890
EPI_ISL_5376949	2021-10-10	2021.773973	2021.773973	2021.773973
NODE_0000004	2021-08-23	2021.641972	2021.506615	2021.782069
EPI_ISL_9347715	--	--	--	--
EPI_ISL_9388141	2021-12-06	2021.930137	2021.930137	2021.930137
NODE_0000017	2021-04-05	2021.257915	2020.845716	2021.312399
NODE_0000018	2021-04-11	2021.274219	2021.090536	2021.615922
EPI_ISL_9050787	2021-12-14	2021.952055	2021.952055	2021.952055
NODE_0000019	2021-11-20	2021.886301	2021.830002	2021.886301
EPI_ISL_9388142	2021-11-20	2021.886301	2021.886301	2021.886301
EPI_ISL_9388143	2021-11-20	2021.886301	2021.886301	2021.886301
