#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.116	2.365e+01	1.174e+01	4.761e+01
2020.217	1.133e+02	9.108e+01	1.409e+02
2020.318	6.480e+02	5.131e+02	8.184e+02
2020.419	2.490e+02	1.823e+02	3.402e+02
2020.520	3.714e+02	2.693e+02	5.123e+02
2020.621	2.218e+02	1.643e+02	2.995e+02
2020.722	2.826e+02	2.333e+02	3.422e+02
2020.823	6.621e+02	5.758e+02	7.613e+02
2020.924	3.299e+03	2.479e+03	4.391e+03
2021.025	1.713e+03	1.030e+03	2.848e+03
2021.126	4.909e+02	3.160e+02	7.625e+02
2021.227	5.487e+02	3.610e+02	8.339e+02
2021.328	6.647e+02	3.833e+02	1.153e+03
2021.428	6.505e+02	3.728e+02	1.135e+03
2021.529	9.775e+02	5.576e+02	1.714e+03
2021.630	1.118e+03	6.206e+02	2.015e+03
2021.731	1.173e+03	6.321e+02	2.178e+03
2021.832	6.685e+02	3.608e+02	1.239e+03
2021.933	3.003e+02	1.564e+02	5.766e+02
2022.034	1.041e+02	3.840e+01	2.824e+02
