#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2019-12-09	2019.939541	2019.748187	2020.166975
NODE_0000211	2020-04-10	2020.273501	2020.055416	2020.468260
EPI_ISL_625756	2020-10-26	2020.818306	2020.818306	2020.818306
NODE_0000212	2020-08-11	2020.610516	2020.543852	2020.663038
EPI_ISL_615616	2020-09-07	2020.684426	2020.684426	2020.684426
NODE_0000213	2020-09-12	2020.696827	2020.637038	2020.744383
EPI_ISL_641419	2020-10-16	2020.790984	2020.790984	2020.790984
EPI_ISL_641420	2020-10-16	2020.790984	2020.790984	2020.790984
NODE_0000215	2020-10-21	2020.804383	2020.743835	2020.855257
EPI_ISL_683175	2020-11-13	2020.867486	2020.867486	2020.867486
NODE_0000006	2020-11-07	2020.851623	2020.744440	2020.861971
EPI_ISL_683176	2020-11-13	2020.867486	2020.867486	2020.867486
NODE_0000005	2020-11-10	2020.859460	2020.752278	2020.867486
EPI_ISL_683177	2020-11-13	2020.867486	2020.867486	2020.867486
NODE_0000218	2020-11-15	2020.872321	2020.772097	2020.902287
EPI_ISL_711687	2020-11-30	2020.913934	2020.913934	2020.913934
EPI_ISL_711816	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000198	2020-01-12	2020.030773	2019.896051	2020.242473
NODE_0000200	2020-05-26	2020.400548	2020.211979	2020.604394
EPI_ISL_1124134	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000201	2020-08-23	2020.642126	2020.595173	2020.744606
EPI_ISL_620004	2020-10-05	2020.760929	2020.760929	2020.760929
NODE_0000010	2020-09-11	2020.696495	2020.623003	2020.748834
EPI_ISL_620237	2020-10-05	2020.760929	2020.760929	2020.760929
NODE_0000203	2020-10-11	2020.776594	2020.724143	2020.807151
EPI_ISL_683216	2020-10-23	2020.810109	2020.810109	2020.810109
NODE_0000012	2020-10-23	2020.810109	2020.777373	2020.810109
EPI_ISL_683218	2020-10-23	2020.810109	2020.810109	2020.810109
EPI_ISL_683217	2020-10-23	2020.810109	2020.810109	2020.810109
NODE_0000219	2020-02-24	2020.149442	2020.045563	2020.325090
EPI_ISL_625927	2020-10-26	2020.818306	2020.818306	2020.818306
NODE_0000221	2020-03-21	2020.219351	2020.097384	2020.382725
EPI_ISL_615644	2020-08-31	2020.665301	2020.665301	2020.665301
EPI_ISL_618112	2020-06-15	2020.454918	2020.454918	2020.454918
NODE_0000223	2020-03-20	2020.216051	2020.095721	2020.363293
EPI_ISL_622503	2020-06-15	2020.454918	2020.454918	2020.454918
NODE_0000224	2020-09-14	2020.703552	2020.633559	2020.703552
EPI_ISL_615790	2020-09-14	2020.703552	2020.703552	2020.703552
EPI_ISL_683041	2020-11-03	2020.840164	2020.840164	2020.840164
NODE_0000226	2020-11-10	2020.860004	2020.758098	2020.879733
EPI_ISL_1865767	2020-12-07	2020.933060	2020.933060	2020.933060
EPI_ISL_713036	2020-11-30	2020.913934	2020.913934	2020.913934
EPI_ISL_750090	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000228	2020-08-13	2020.616111	2020.538106	2020.692768
EPI_ISL_641423	2020-10-16	2020.790984	2020.790984	2020.790984
NODE_0000229	2020-09-02	2020.669944	2020.617924	2020.756899
NODE_0000020	2020-09-18	2020.715285	2020.648708	2020.766655
EPI_ISL_641422	2020-10-16	2020.790984	2020.790984	2020.790984
NODE_0000231	2020-11-03	2020.840279	2020.751563	2020.842896
EPI_ISL_683025	2020-11-04	2020.842896	2020.842896	2020.842896
