#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.808	1.291e+01	4.958e+00	3.363e+01
2019.868	1.491e+01	7.350e+00	3.023e+01
2019.928	1.712e+01	8.443e+00	3.473e+01
2019.988	1.967e+01	1.006e+01	3.846e+01
2020.049	3.100e+01	1.587e+01	6.055e+01
2020.109	5.936e+01	3.171e+01	1.111e+02
2020.169	9.221e+01	4.556e+01	1.867e+02
2020.229	9.944e+01	4.903e+01	2.017e+02
2020.289	1.094e+02	5.458e+01	2.193e+02
2020.350	9.783e+01	5.256e+01	1.821e+02
2020.410	5.663e+01	3.445e+01	9.310e+01
2020.470	1.088e+02	6.667e+01	1.777e+02
2020.530	8.517e+01	4.487e+01	1.617e+02
2020.591	4.913e+01	3.022e+01	7.987e+01
2020.651	6.766e+01	4.568e+01	1.002e+02
2020.711	9.905e+01	7.482e+01	1.311e+02
2020.771	1.736e+02	1.411e+02	2.136e+02
2020.832	6.679e+02	5.425e+02	8.223e+02
2020.892	1.547e+03	8.809e+02	2.716e+03
2020.952	1.591e+03	5.843e+02	4.333e+03
