#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000007	2021-02-06	2021.100945	2021.000922	2021.127306
NODE_0000038	2021-03-12	2021.193985	2021.165279	2021.203425
EPI_ISL_1613477	2021-03-16	2021.204110	2021.204110	2021.204110
EPI_ISL_1613501	2021-03-16	2021.204110	2021.204110	2021.204110
NODE_0000034	2021-02-11	2021.112740	2021.087800	2021.138162
EPI_ISL_2799301	2021-03-31	2021.245205	2021.245205	2021.245205
EPI_ISL_1590927	2021-03-10	2021.187671	2021.187671	2021.187671
NODE_0000044	2021-03-06	2021.176466	2021.146730	2021.198754
EPI_ISL_1591005	2021-03-17	2021.206849	2021.206849	2021.206849
NODE_0000009	2021-03-11	2021.191307	2021.165826	2021.204423
EPI_ISL_1591021	2021-03-17	2021.206849	2021.206849	2021.206849
EPI_ISL_8403005	2021-03-17	2021.206849	2021.206849	2021.206849
NODE_0000039	2021-03-06	2021.177299	2021.145067	2021.200087
EPI_ISL_1613832	2021-03-21	2021.217808	2021.217808	2021.217808
NODE_0000012	2021-03-11	2021.191466	2021.165348	2021.207216
EPI_ISL_2799311	2021-04-01	2021.247945	2021.247945	2021.247945
NODE_0000013	2021-03-18	2021.209589	2021.179032	2021.209589
EPI_ISL_8501754	2021-04-01	2021.247945	2021.247945	2021.247945
EPI_ISL_8403006	2021-03-18	2021.209589	2021.209589	2021.209589
NODE_0000046	2021-02-14	2021.122470	2021.089522	2021.141099
EPI_ISL_1613767	2021-03-24	2021.226027	2021.226027	2021.226027
EPI_ISL_2800176	2021-04-21	2021.302740	2021.302740	2021.302740
NODE_0000048	2021-02-21	2021.141753	2021.103251	2021.153266
EPI_ISL_2141616	2021-03-20	2021.215068	2021.215068	2021.215068
NODE_0000049	2021-03-06	2021.176252	2021.153993	2021.187163
EPI_ISL_1590910	2021-03-10	2021.187671	2021.187671	2021.187671
EPI_ISL_8403183	2021-03-15	2021.201370	2021.201370	2021.201370
NODE_0000017	2021-02-12	2021.116141	2021.088560	2021.141941
EPI_ISL_1590515	2021-03-10	2021.187671	2021.187671	2021.187671
NODE_0000018	2021-02-12	2021.116574	2021.088394	2021.142411
NODE_0000019	2021-02-14	2021.122543	2021.089931	2021.150892
EPI_ISL_2799390	2021-04-01	2021.247945	2021.247945	2021.247945
EPI_ISL_1590844	2021-03-11	2021.190411	2021.190411	2021.190411
NODE_0000020	2021-02-13	2021.119737	2021.087968	2021.143097
NODE_0000021	2021-02-14	2021.122951	2021.089291	2021.152212
EPI_ISL_1590834	2021-03-09	2021.184932	2021.184932	2021.184932
EPI_ISL_2799990	2021-04-12	2021.278082	2021.278082	2021.278082
NODE_0000024	2021-02-14	2021.123080	2021.087773	2021.146338
NODE_0000025	2021-02-17	2021.129526	2021.086945	2021.151345
