#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2021.033	7.922e+00	3.083e+00	2.036e+01
2021.072	1.090e+01	6.008e+00	1.978e+01
2021.112	4.905e+01	2.945e+01	8.169e+01
2021.151	6.673e+01	3.946e+01	1.128e+02
2021.191	7.549e+01	4.663e+01	1.222e+02
2021.230	4.441e+01	2.505e+01	7.874e+01
2021.269	7.129e+01	4.239e+01	1.199e+02
2021.309	9.204e+01	4.741e+01	1.787e+02
2021.348	8.410e+01	4.132e+01	1.712e+02
2021.388	7.381e+01	3.719e+01	1.465e+02
2021.427	6.941e+01	3.490e+01	1.381e+02
2021.467	6.597e+01	3.295e+01	1.321e+02
2021.506	6.374e+01	3.221e+01	1.261e+02
2021.546	5.586e+01	2.760e+01	1.131e+02
2021.585	4.534e+01	2.247e+01	9.149e+01
2021.624	3.610e+01	1.816e+01	7.174e+01
2021.664	3.171e+01	1.599e+01	6.290e+01
2021.703	3.178e+01	1.622e+01	6.227e+01
2021.743	3.977e+01	1.995e+01	7.930e+01
2021.782	4.035e+01	1.485e+01	1.096e+02
