#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.166	5.729e+00	2.189e+00	1.499e+01
2020.201	7.466e+00	4.239e+00	1.315e+01
2020.237	5.666e+01	4.450e+01	7.214e+01
2020.272	2.861e+02	1.925e+02	4.253e+02
2020.308	1.477e+02	9.645e+01	2.262e+02
2020.343	1.362e+02	8.668e+01	2.140e+02
2020.379	8.565e+01	5.431e+01	1.351e+02
2020.414	1.052e+02	7.087e+01	1.563e+02
2020.450	1.129e+02	6.689e+01	1.907e+02
2020.485	5.557e+01	3.305e+01	9.343e+01
2020.521	7.369e+01	4.430e+01	1.226e+02
2020.556	6.455e+01	3.743e+01	1.113e+02
2020.592	5.485e+01	3.343e+01	8.998e+01
2020.627	8.139e+01	4.865e+01	1.362e+02
2020.663	1.214e+02	6.537e+01	2.253e+02
2020.698	9.512e+01	5.113e+01	1.769e+02
2020.734	5.936e+01	3.245e+01	1.086e+02
2020.769	4.613e+01	2.477e+01	8.592e+01
2020.805	4.615e+01	2.338e+01	9.107e+01
2020.840	4.647e+01	1.713e+01	1.261e+02
