#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000004	2020-04-11	2020.276336	2019.598310	2020.502312
NODE_0000018	2020-10-02	2020.752574	2020.668136	2020.853298
NODE_0000019	2020-12-16	2020.958864	2020.905008	2021.026451
EPI_ISL_984307	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000020	2021-01-26	2021.069020	2021.019856	2021.072603
EPI_ISL_984305	2021-01-27	2021.072603	2021.072603	2021.072603
EPI_ISL_1034274	2021-02-02	2021.089041	2021.089041	2021.089041
NODE_0000007	2020-10-15	2020.787425	2020.713427	2020.862666
EPI_ISL_732949	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000022	2020-11-01	2020.833622	2020.786029	2020.873620
NODE_0000023	2020-11-12	2020.864416	2020.839694	2020.878415
EPI_ISL_732951	2020-11-17	2020.878415	2020.878415	2020.878415
EPI_ISL_732954	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000011	2020-11-10	2020.860529	2020.830511	2020.876051
EPI_ISL_732953	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000012	2020-11-17	2020.878415	2020.856885	2020.878415
EPI_ISL_732957	2020-11-17	2020.878415	2020.878415	2020.878415
EPI_ISL_732952	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000017	2020-07-25	2020.563966	2020.119794	2020.764601
NODE_0000026	2020-11-04	2020.841733	2020.741212	2020.946207
NODE_0000028	2020-12-01	2020.918022	2020.843333	2020.974792
EPI_ISL_4518087	2021-03-17	2021.206849	2021.206849	2021.206849
NODE_0000029	2020-11-30	2020.912611	2020.886824	2021.004150
EPI_ISL_1502687	2021-03-11	2021.190411	2021.190411	2021.190411
EPI_ISL_1062936	2021-01-20	2021.053425	2021.053425	2021.053425
NODE_0000015	2020-11-07	2020.849804	2020.778518	2020.964138
EPI_ISL_1239751	2021-02-18	2021.132877	2021.132877	2021.132877
NODE_0000030	2020-12-02	2020.918178	2020.848396	2020.995735
EPI_ISL_1393992	2021-03-04	2021.171233	2021.171233	2021.171233
NODE_0000031	2020-12-19	2020.966276	2020.927906	2021.044409
EPI_ISL_1539187	2021-02-26	2021.154795	2021.154795	2021.154795
NODE_0000032	2021-01-08	2021.020189	2020.941743	2021.044955
EPI_ISL_1539193	2021-03-01	2021.163014	2021.163014	2021.163014
EPI_ISL_1168331	2021-02-10	2021.110959	2021.110959	2021.110959
NODE_0000034	2021-02-01	2021.086301	2021.054038	2021.086301
EPI_ISL_1168294	2021-02-01	2021.086301	2021.086301	2021.086301
EPI_ISL_1201594	2021-02-10	2021.110959	2021.110959	2021.110959
NODE_0000001	2020-08-12	2020.614663	2020.180138	2020.814135
NODE_0000000	2021-02-09	2021.108500	2021.018820	2021.219605
EPI_ISL_3218557	2021-06-16	2021.456164	2021.456164	2021.456164
EPI_ISL_2801426	2021-06-23	2021.475342	2021.475342	2021.475342
NODE_0000002	2021-07-03	2021.501704	2021.405889	2021.612324
NODE_0000003	2021-08-28	2021.654960	2021.605100	2021.720248
EPI_ISL_9640059	2021-12-20	2021.968493	2021.968493	2021.968493
EPI_ISL_7949770	2021-12-06	2021.930137	2021.930137	2021.930137
NODE_0000005	2021-08-27	2021.653443	2021.619955	2021.736133
EPI_ISL_8806201	2021-12-31	2021.998630	2021.998630	2021.998630
EPI_ISL_9640065	2021-12-20	2021.968493	2021.968493	2021.968493
NODE_0000006	2021-08-11	2021.608340	2021.495293	2021.623091
EPI_ISL_7721854	2021-11-22	2021.891781	2021.891781	2021.891781
NODE_0000013	2021-08-14	2021.616719	2021.555746	2021.633735
NODE_0000016	2021-08-21	2021.636022	2021.615189	2021.641853
EPI_ISL_6324402	2021-10-29	2021.826027	2021.826027	2021.826027
EPI_ISL_4109577	2021-08-23	2021.642466	2021.642466	2021.642466
NODE_0000033	2021-09-02	2021.670978	2021.604178	2021.712773
EPI_ISL_7880210	2021-12-07	2021.932877	2021.932877	2021.932877
NODE_0000014	2021-11-18	2021.880983	2021.782643	2021.921918
EPI_ISL_8377272	2021-12-03	2021.921918	2021.921918	2021.921918
EPI_ISL_8035358	2021-12-23	2021.976712	2021.976712	2021.976712
NODE_0000035	2021-08-21	2021.636955	2021.592465	2021.677188
EPI_ISL_8693915	2021-12-01	2021.916438	2021.916438	2021.916438
NODE_0000008	2021-09-01	2021.666551	2021.632474	2021.691188
NODE_0000009	2021-09-09	2021.689854	2021.651567	2021.711583
EPI_ISL_5860666	2021-10-04	2021.757534	2021.757534	2021.757534
EPI_ISL_5268218	2021-09-23	2021.727397	2021.727397	2021.727397
NODE_0000010	2021-11-19	2021.882356	2021.794921	2021.913699
EPI_ISL_9140759	2022-01-13	2022.034247	2022.034247	2022.034247
EPI_ISL_8693816	2021-11-30	2021.913699	2021.913699	2021.913699
EPI_ISL_8693911	2021-11-30	2021.913699	2021.913699	2021.913699
