#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.116	1.647e+01	6.375e+00	4.255e+01
2020.217	1.905e+01	9.394e+00	3.864e+01
2020.318	2.185e+01	1.080e+01	4.418e+01
2020.419	2.588e+01	1.343e+01	4.986e+01
2020.520	2.845e+01	1.399e+01	5.788e+01
2020.621	2.876e+01	1.418e+01	5.832e+01
2020.722	2.896e+01	1.436e+01	5.844e+01
2020.823	2.912e+01	1.633e+01	5.193e+01
2020.923	3.913e+01	2.098e+01	7.297e+01
2021.024	6.531e+01	3.617e+01	1.179e+02
2021.125	7.478e+01	3.898e+01	1.434e+02
2021.226	6.487e+01	3.209e+01	1.311e+02
2021.327	5.077e+01	2.503e+01	1.030e+02
2021.428	4.056e+01	2.021e+01	8.144e+01
2021.529	2.894e+01	1.502e+01	5.576e+01
2021.630	3.525e+01	2.000e+01	6.213e+01
2021.731	9.837e+01	5.220e+01	1.854e+02
2021.832	1.185e+02	6.141e+01	2.286e+02
2021.933	1.300e+02	6.642e+01	2.543e+02
2022.034	1.335e+02	4.908e+01	3.631e+02
