#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000003	2020-06-29	2020.492724	1804.513742	2020.780691
NODE_0000000	2020-11-04	2020.842896	2020.547471	2020.842896
EPI_ISL_4420133	2020-11-04	2020.842896	2020.842896	2020.842896
EPI_ISL_4420119	2020-11-07	2020.851093	2020.851093	2020.851093
NODE_0000001	2020-07-22	2020.555997	1807.569647	2020.813209
EPI_ISL_975857	2020-11-26	2020.903005	2020.903005	2020.903005
NODE_0000002	2020-11-03	2020.838809	1936.235705	2020.867007
EPI_ISL_717715	2020-12-04	2020.924863	2020.924863	2020.924863
NODE_0000005	2020-12-04	2020.924863	2020.754261	2020.924863
EPI_ISL_717716	2020-12-04	2020.924863	2020.924863	2020.924863
EPI_ISL_717717	2020-12-04	2020.924863	2020.924863	2020.924863
NODE_0000006	2020-11-05	2020.846603	2020.685452	2020.913934
EPI_ISL_717714	2020-12-04	2020.924863	2020.924863	2020.924863
EPI_ISL_975980	2020-11-30	2020.913934	2020.913934	2020.913934
