#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.439	-1.411e+01	-6.193e+00	-3.215e+01
2020.464	-1.456e+01	-7.181e+00	-2.954e+01
2020.490	-1.490e+01	-7.346e+00	-3.021e+01
2020.516	-1.568e+01	-7.729e+00	-3.179e+01
2020.541	-1.633e+01	-8.051e+00	-3.311e+01
2020.567	-1.668e+01	-8.223e+00	-3.382e+01
2020.592	-1.692e+01	-8.341e+00	-3.431e+01
2020.618	-1.716e+01	-8.463e+00	-3.481e+01
2020.643	-1.734e+01	-8.550e+00	-3.517e+01
2020.669	-1.782e+01	-8.786e+00	-3.614e+01
2020.695	-1.821e+01	-8.981e+00	-3.694e+01
2020.720	-1.834e+01	-9.045e+00	-3.721e+01
2020.746	-1.856e+01	-9.153e+00	-3.765e+01
2020.771	-1.914e+01	-9.433e+00	-3.883e+01
2020.797	-2.007e+01	-1.053e+01	-3.828e+01
2020.823	-1.929e+01	-9.657e+00	-3.853e+01
2020.848	-1.928e+01	-9.754e+00	-3.812e+01
2020.874	-1.652e+01	-8.175e+00	-3.338e+01
2020.899	-1.427e+01	-7.252e+00	-2.806e+01
2020.925	-1.451e+01	-5.443e+00	-3.869e+01
