#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-05-19	2020.382171	2016.497932	2020.772982
EPI_ISL_730649	2020-11-10	2020.859290	2020.859290	2020.859290
NODE_0000000	2020-06-19	2020.466672	2018.619743	2020.783187
EPI_ISL_5914635	2020-10-23	2020.810109	2020.810109	2020.810109
EPI_ISL_745336	2020-12-01	2020.916667	2020.916667	2020.916667
EPI_ISL_751474	2020-11-18	2020.881148	2020.881148	2020.881148
NODE_0000002	2020-06-19	2020.465341	2019.775458	2020.784668
NODE_0000003	2020-06-27	2020.487666	2020.389861	2020.804645
EPI_ISL_2756843	2020-10-21	2020.804645	2020.804645	2020.804645
EPI_ISL_2757254	2020-11-06	2020.848361	2020.848361	2020.848361
NODE_0000005	2020-06-30	2020.496064	2020.403954	2020.834224
EPI_ISL_2595951	2020-11-18	2020.881148	2020.881148	2020.881148
EPI_ISL_10036494	2020-11-20	2020.886612	2020.886612	2020.886612
EPI_ISL_10036491	2020-11-21	2020.889344	2020.889344	2020.889344
EPI_ISL_1392906	2020-11-15	2020.872951	2020.872951	2020.872951
EPI_ISL_10036487	2020-11-20	2020.886612	2020.886612	2020.886612
EPI_ISL_10036490	2020-11-20	2020.886612	2020.886612	2020.886612
EPI_ISL_10036493	2020-11-20	2020.886612	2020.886612	2020.886612
EPI_ISL_10036488	2020-11-20	2020.886612	2020.886612	2020.886612
