#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.661	3.801e+00	1.481e+00	9.751e+00
2020.675	4.209e+00	2.075e+00	8.537e+00
2020.688	4.649e+00	2.292e+00	9.428e+00
2020.702	5.376e+00	2.651e+00	1.090e+01
2020.715	6.056e+00	2.986e+00	1.228e+01
2020.729	6.927e+00	3.492e+00	1.374e+01
2020.742	8.934e+00	4.645e+00	1.718e+01
2020.755	1.826e+01	9.514e+00	3.505e+01
2020.769	3.334e+01	1.689e+01	6.579e+01
2020.782	5.560e+01	2.741e+01	1.128e+02
2020.796	9.634e+01	4.727e+01	1.963e+02
2020.809	1.455e+02	7.388e+01	2.865e+02
2020.823	1.764e+02	8.686e+01	3.584e+02
2020.836	2.049e+02	1.009e+02	4.159e+02
2020.849	2.326e+02	1.159e+02	4.666e+02
2020.863	2.368e+02	1.169e+02	4.796e+02
2020.876	2.387e+02	1.179e+02	4.833e+02
2020.890	2.317e+02	1.143e+02	4.700e+02
2020.903	2.276e+02	1.122e+02	4.616e+02
2020.917	2.375e+02	8.737e+01	6.455e+02
