#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2017-07-09	2017.519941	2016.519646	2018.890501
NODE_0000275	2019-01-07	2019.018850	2018.614766	2019.854353
NODE_0000276	2020-03-18	2020.211376	2019.302468	2021.089041
EPI_ISL_4985835	2021-02-02	2021.089041	2021.089041	2021.089041
EPI_ISL_3354112	2021-02-24	2021.149315	2021.149315	2021.149315
NODE_0000277	2019-06-08	2019.435307	2018.983468	2020.239715
EPI_ISL_1239997	2021-02-24	2021.149315	2021.149315	2021.149315
NODE_0000278	2020-09-19	2020.718025	2019.568270	2020.863567
EPI_ISL_4962031	2021-03-09	2021.184932	2021.184932	2021.184932
NODE_0000279	2020-11-04	2020.841940	2020.429899	2021.053125
EPI_ISL_4961861	2021-02-05	2021.097260	2021.097260	2021.097260
EPI_ISL_4061850	2021-04-08	2021.267123	2021.267123	2021.267123
NODE_0000272	2018-08-16	2018.623169	2018.517206	2018.962401
EPI_ISL_574547	2020-07-11	2020.525956	2020.525956	2020.525956
NODE_0000274	2018-12-22	2018.974863	2018.685182	2019.365926
EPI_ISL_5084847	2020-07-29	2020.575137	2020.575137	2020.575137
EPI_ISL_5085424	2020-07-26	2020.566940	2020.566940	2020.566940
NODE_0000234	2018-09-23	2018.726291	2018.592892	2019.018938
EPI_ISL_2202686	2020-12-29	2020.993169	2020.993169	2020.993169
EPI_ISL_614133	2020-09-14	2020.703552	2020.703552	2020.703552
NODE_0000269	2019-06-11	2019.441585	2019.158416	2019.930430
EPI_ISL_786421	2020-10-14	2020.785519	2020.785519	2020.785519
EPI_ISL_2773925	2020-08-17	2020.627049	2020.627049	2020.627049
EPI_ISL_3841972	2020-09-10	2020.692623	2020.692623	2020.692623
NODE_0000253	2018-12-24	2018.978162	2018.764959	2019.362408
EPI_ISL_7857902	2020-12-11	2020.943989	2020.943989	2020.943989
NODE_0000254	2019-03-22	2019.219388	2018.981977	2019.561861
EPI_ISL_1303761	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000255	2019-06-13	2019.447910	2019.148614	2019.822701
EPI_ISL_1525347	2021-03-22	2021.220548	2021.220548	2021.220548
EPI_ISL_745454	2020-12-01	2020.916667	2020.916667	2020.916667
NODE_0000256	2018-11-22	2018.892658	2018.775947	2019.229059
EPI_ISL_602957	2020-08-19	2020.632514	2020.632514	2020.632514
EPI_ISL_1111586	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000258	2019-03-24	2019.225588	2019.017582	2019.569718
EPI_ISL_746264	2020-10-12	2020.780055	2020.780055	2020.780055
EPI_ISL_832492	2020-10-16	2020.790984	2020.790984	2020.790984
EPI_ISL_832638	2020-10-29	2020.826503	2020.826503	2020.826503
NODE_0000260	2019-08-20	2019.633673	2019.254059	2020.045852
EPI_ISL_1533522	2020-10-15	2020.788251	2020.788251	2020.788251
EPI_ISL_1184154	2021-02-19	2021.135616	2021.135616	2021.135616
NODE_0000263	2019-08-26	2019.651126	2019.237824	2020.281259
EPI_ISL_2838899	2020-11-06	2020.848361	2020.848361	2020.848361
EPI_ISL_1093984	2021-01-22	2021.058904	2021.058904	2021.058904
NODE_0000236	2018-12-23	2018.976068	2018.801653	2019.256791
EPI_ISL_787158	2020-08-17	2020.627049	2020.627049	2020.627049
NODE_0000018	2019-01-26	2019.070235	2018.819768	2020.340630
EPI_ISL_1079127	2021-01-18	2021.047945	2021.047945	2021.047945
EPI_ISL_978133	2021-01-07	2021.017808	2021.017808	2021.017808
NODE_0000239	2019-01-29	2019.079140	2018.889685	2019.371345
EPI_ISL_784889	2020-11-20	2020.886612	2020.886612	2020.886612
NODE_0000240	2019-02-23	2019.146870	2019.027380	2019.571486
EPI_ISL_1079078	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000241	2019-04-20	2019.298958	2019.091553	2019.648299
EPI_ISL_2797638	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000242	2019-07-18	2019.542935	2019.224761	2019.890025
EPI_ISL_784975	2020-11-19	2020.883880	2020.883880	2020.883880
EPI_ISL_2778155	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000245	2019-08-29	2019.658834	2019.313768	2020.108732
EPI_ISL_1029358	2020-12-26	2020.984973	2020.984973	2020.984973
EPI_ISL_1585679	--	--	--	--
NODE_0000247	2019-11-12	2019.865177	2019.525725	2020.563349
EPI_ISL_1284372	--	--	--	--
EPI_ISL_2632897	2020-12-24	2020.979508	2020.979508	2020.979508
NODE_0000248	2020-09-16	2020.708280	2020.257840	2020.847049
NODE_0000250	2020-10-31	2020.832464	2020.679777	2020.897200
EPI_ISL_1527631	2020-11-24	2020.897541	2020.897541	2020.897541
EPI_ISL_1527632	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000027	2020-11-24	2020.897541	2020.702816	2020.897541
EPI_ISL_1527633	2020-11-24	2020.897541	2020.897541	2020.897541
EPI_ISL_1527630	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000028	2018-10-24	2018.811912	2018.693307	2019.029986
NODE_0000029	2018-11-22	2018.893032	2018.734550	2019.202564
NODE_0000266	2019-06-01	2019.416143	2018.980843	2019.742178
EPI_ISL_8565322	2020-07-28	2020.572404	2020.572404	2020.572404
EPI_ISL_900708	2020-07-16	2020.539617	2020.539617	2020.539617
NODE_0000033	2019-02-01	2019.085289	2018.847671	2019.442353
EPI_ISL_5343420	2020-07-14	2020.534153	2020.534153	2020.534153
EPI_ISL_5086383	2020-07-23	2020.558743	2020.558743	2020.558743
NODE_0000182	2018-11-03	2018.840802	2018.717233	2019.071624
EPI_ISL_1306116	2020-08-18	2020.629781	2020.629781	2020.629781
EPI_ISL_525736	2020-07-19	2020.547814	2020.547814	2020.547814
EPI_ISL_1373584	2021-01-15	2021.039726	2021.039726	2021.039726
EPI_ISL_1134266	2021-02-10	2021.110959	2021.110959	2021.110959
EPI_ISL_788166	2020-08-28	2020.657104	2020.657104	2020.657104
EPI_ISL_2216018	2020-08-14	2020.618852	2020.618852	2020.618852
NODE_0000184	2019-02-02	2019.089661	2018.923788	2019.429699
EPI_ISL_609975	2020-09-08	2020.687158	2020.687158	2020.687158
EPI_ISL_2234036	2021-01-25	2021.067123	2021.067123	2021.067123
NODE_0000222	2019-01-30	2019.081321	2018.909213	2019.751152
EPI_ISL_753312	2020-11-13	2020.867486	2020.867486	2020.867486
EPI_ISL_1078274	2021-01-15	2021.039726	2021.039726	2021.039726
NODE_0000230	2019-01-29	2019.078294	2018.880900	2019.680440
EPI_ISL_1080162	2021-02-02	2021.089041	2021.089041	2021.089041
NODE_0000039	2019-06-03	2019.420841	2019.104290	2019.884616
EPI_ISL_2193570	2020-09-23	2020.728142	2020.728142	2020.728142
EPI_ISL_5387798	2020-07-15	2020.536885	2020.536885	2020.536885
NODE_0000211	2019-01-29	2019.078129	2018.943196	2019.449956
EPI_ISL_5074846	2020-07-13	2020.531421	2020.531421	2020.531421
NODE_0000212	2019-03-26	2019.232474	2019.076651	2019.560321
EPI_ISL_2211279	2021-04-01	2021.247945	2021.247945	2021.247945
NODE_0000213	2019-05-30	2019.409069	2019.174054	2019.681458
EPI_ISL_2617867	2020-09-02	2020.670765	2020.670765	2020.670765
EPI_ISL_570625	2020-08-03	2020.588798	2020.588798	2020.588798
NODE_0000215	--	--	--	--
EPI_ISL_1993049	--	--	--	--
EPI_ISL_2185692	--	--	--	--
NODE_0000223	2019-05-03	2019.336602	2019.029854	2019.709032
EPI_ISL_1307371	2021-03-10	2021.187671	2021.187671	2021.187671
NODE_0000224	2020-09-13	2020.702017	2020.198899	2020.909663
NODE_0000225	2020-11-05	2020.846403	2020.543240	2021.042815
EPI_ISL_1398153	2021-03-04	2021.171233	2021.171233	2021.171233
EPI_ISL_2383661	--	--	--	--
NODE_0000226	--	--	--	--
EPI_ISL_1307118	--	--	--	--
NODE_0000227	--	--	--	--
EPI_ISL_1559643	--	--	--	--
EPI_ISL_1582233	--	--	--	--
NODE_0000050	2018-12-02	2018.919788	2018.765867	2019.166406
NODE_0000052	2018-12-31	2018.998456	2018.847914	2019.211582
NODE_0000055	2019-01-31	2019.083332	2018.927808	2019.422682
EPI_ISL_6963328	2020-09-11	2020.695355	2020.695355	2020.695355
EPI_ISL_538522	2020-08-08	2020.602459	2020.602459	2020.602459
NODE_0000057	2019-01-28	2019.075100	2018.948585	2019.321784
EPI_ISL_1238676	2021-02-03	2021.091781	2021.091781	2021.091781
NODE_0000203	2019-04-28	2019.322177	2019.085625	2019.598282
EPI_ISL_789920	2020-08-19	2020.632514	2020.632514	2020.632514
EPI_ISL_789738	2020-09-02	2020.670765	2020.670765	2020.670765
EPI_ISL_1076958	2021-01-12	2021.031507	2021.031507	2021.031507
NODE_0000206	2019-10-22	2019.806825	2019.459848	2020.265097
EPI_ISL_788810	2020-08-20	2020.635246	2020.635246	2020.635246
EPI_ISL_788572	2020-08-22	2020.640710	2020.640710	2020.640710
NODE_0000060	2019-01-02	2019.004023	2018.863566	2019.310522
NODE_0000062	2019-01-30	2019.080655	2018.968261	2019.366184
NODE_0000063	2019-04-25	2019.313423	2018.944299	2019.618248
NODE_0000064	2019-06-27	2019.486945	2018.923394	2020.001588
EPI_ISL_2193616	2020-09-23	2020.728142	2020.728142	2020.728142
EPI_ISL_1306666	2021-03-12	2021.193151	2021.193151	2021.193151
NODE_0000067	2019-05-24	2019.394452	2019.006114	2019.882812
EPI_ISL_5384286	2020-07-12	2020.528689	2020.528689	2020.528689
EPI_ISL_3725968	2020-09-13	2020.700820	2020.700820	2020.700820
NODE_0000068	2019-03-27	2019.233142	2018.963275	2019.519750
NODE_0000071	2019-05-29	2019.406677	2019.003723	2019.994210
EPI_ISL_2193540	2020-09-23	2020.728142	2020.728142	2020.728142
EPI_ISL_2193536	2020-09-23	2020.728142	2020.728142	2020.728142
