#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2016.640	4.555e+01	1.784e+01	1.163e+02
2016.911	5.363e+01	2.644e+01	1.088e+02
2017.181	6.131e+01	3.023e+01	1.243e+02
2017.452	6.894e+01	3.426e+01	1.387e+02
2017.723	8.266e+01	4.403e+01	1.552e+02
2017.993	1.746e+02	1.065e+02	2.862e+02
2018.264	5.629e+02	3.825e+02	8.284e+02
2018.535	1.841e+03	1.317e+03	2.574e+03
2018.805	4.171e+03	2.841e+03	6.125e+03
2019.076	8.799e+03	5.772e+03	1.341e+04
2019.346	1.570e+04	9.574e+03	2.575e+04
2019.617	2.419e+04	1.462e+04	4.003e+04
2019.888	2.248e+04	1.350e+04	3.745e+04
2020.158	2.098e+04	1.360e+04	3.235e+04
2020.429	6.849e+03	5.043e+03	9.301e+03
2020.700	4.150e+03	3.087e+03	5.580e+03
2020.970	1.275e+04	8.698e+03	1.868e+04
2021.241	1.098e+04	5.700e+03	2.114e+04
2021.512	2.942e+03	1.846e+03	4.688e+03
2021.782	6.941e+02	3.437e+02	1.402e+03
