#node	clock_length	mutation_length	rate	fold_change
NODE_0000086	7.144e-05	1.006e-04	1.146e-03	1.39
EPI_ISL_790628	4.604e-05	6.748e-05	1.021e-03	1.24
NODE_0000087	2.455e-06	3.354e-05	8.936e-04	1.08
EPI_ISL_461159	3.457e-05	3.374e-05	9.081e-04	1.10
EPI_ISL_422746	3.232e-05	3.374e-05	9.150e-04	1.11
EPI_ISL_461276	1.112e-04	1.687e-04	1.174e-03	1.42
EPI_ISL_804381	6.388e-05	1.350e-04	1.256e-03	1.52
EPI_ISL_461165	6.388e-05	1.688e-04	1.354e-03	1.64
EPI_ISL_422749	3.232e-05	3.375e-05	9.150e-04	1.11
EPI_ISL_422630	4.585e-05	1.013e-04	1.156e-03	1.40
NODE_0000088	2.075e-05	3.354e-05	9.133e-04	1.11
EPI_ISL_447629	9.049e-05	6.748e-05	6.986e-04	0.85
NODE_0000089	6.996e-06	3.355e-05	9.112e-04	1.10
EPI_ISL_447630	8.349e-05	3.374e-05	4.948e-04	0.60
NODE_0000090	4.815e-05	6.709e-05	1.030e-03	1.25
EPI_ISL_523075	3.084e-05	5.339e-19	2.414e-04	0.29
NODE_0000091	2.188e-05	1.006e-04	1.146e-03	1.39
EPI_ISL_447632	1.121e-05	3.374e-05	8.844e-04	1.07
EPI_ISL_447627	1.347e-05	6.748e-05	1.045e-03	1.27
EPI_ISL_447631	4.450e-06	1.012e-04	1.088e-03	1.32
NODE_0000009	8.960e-06	7.250e-19	5.684e-04	0.69
EPI_ISL_523070	0.000e+00	5.345e-19	8.248e-04	1.00
EPI_ISL_447628	4.510e-06	5.345e-19	8.044e-04	0.97
NODE_0000010	6.682e-06	1.992e-22	7.446e-04	0.90
NODE_0000015	8.293e-06	1.992e-22	8.253e-04	1.00
NODE_0000016	6.324e-06	1.992e-22	8.253e-04	1.00
EPI_ISL_460792	2.229e-05	3.374e-05	9.141e-04	1.11
NODE_0000100	4.945e-05	3.354e-05	9.107e-04	1.10
EPI_ISL_461087	6.078e-05	6.748e-05	6.923e-04	0.84
EPI_ISL_461183	3.372e-05	6.748e-05	8.746e-04	1.06
