#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	2020-01-17	2020.044489	2019.989094	2020.118941
EPI_ISL_788334	2020-08-26	2020.651639	2020.651639	2020.651639
NODE_0000023	2020-01-29	2020.076702	2020.048011	2020.112701
EPI_ISL_5383881	2020-07-15	2020.536885	2020.536885	2020.536885
EPI_ISL_5695809	2020-10-08	2020.769126	2020.769126	2020.769126
NODE_0000026	2020-02-06	2020.100624	2020.096541	2020.150063
EPI_ISL_1794680	2020-12-20	2020.968579	2020.968579	2020.968579
EPI_ISL_756318	2020-07-20	2020.550546	2020.550546	2020.550546
EPI_ISL_803308	2020-09-25	2020.733607	2020.733607	2020.733607
EPI_ISL_2620814	2020-10-02	2020.752732	2020.752732	2020.752732
EPI_ISL_789774	2020-09-05	2020.678962	2020.678962	2020.678962
EPI_ISL_845659	2020-09-04	2020.676230	2020.676230	2020.676230
EPI_ISL_853487	--	--	--	--
NODE_0000041	2020-04-03	2020.254366	2020.157994	2020.402829
EPI_ISL_738991	2020-11-21	2020.889344	2020.889344	2020.889344
EPI_ISL_2968975	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000058	--	--	--	--
EPI_ISL_2310911	--	--	--	--
EPI_ISL_2310957	--	--	--	--
NODE_0000045	2020-02-18	2020.132552	2020.113438	2020.253100
EPI_ISL_667065	2020-11-11	2020.862022	2020.862022	2020.862022
EPI_ISL_746314	2020-08-09	2020.605191	2020.605191	2020.605191
NODE_0000047	2020-04-13	2020.283585	2020.150607	2020.461716
EPI_ISL_803615	2020-09-28	2020.741803	2020.741803	2020.741803
NODE_0000048	2020-05-18	2020.377152	2020.299314	2020.564700
EPI_ISL_602189	2020-08-24	2020.646175	2020.646175	2020.646175
EPI_ISL_1232229	--	--	--	--
NODE_0000059	2020-02-20	2020.137050	2020.109389	2020.427289
EPI_ISL_2827526	2020-11-13	2020.867486	2020.867486	2020.867486
NODE_0000060	2020-06-01	2020.416090	2020.311703	2020.629023
NODE_0000061	2020-07-17	2020.541975	2020.457105	2020.643088
EPI_ISL_2834939	2020-09-14	2020.703552	2020.703552	2020.703552
EPI_ISL_2834940	2020-09-14	2020.703552	2020.703552	2020.703552
NODE_0000013	2020-07-27	2020.570553	2020.513908	2020.663654
EPI_ISL_2834942	2020-09-22	2020.725410	2020.725410	2020.725410
NODE_0000015	2020-08-19	2020.632238	2020.532772	2020.679306
NODE_0000066	2020-09-22	2020.725410	2020.672535	2020.725410
EPI_ISL_2834689	2020-10-01	2020.750000	2020.750000	2020.750000
EPI_ISL_2834944	2020-09-22	2020.725410	2020.725410	2020.725410
NODE_0000017	2020-09-14	2020.703552	2020.621821	2020.703552
EPI_ISL_2834945	2020-09-22	2020.725410	2020.725410	2020.725410
EPI_ISL_2834941	2020-09-14	2020.703552	2020.703552	2020.703552
NODE_0000067	2020-10-07	2020.767420	2020.720364	2020.822158
EPI_ISL_2834691	2020-10-29	2020.826503	2020.826503	2020.826503
EPI_ISL_2896212	2020-10-29	2020.826503	2020.826503	2020.826503
EPI_ISL_2896213	2020-10-29	2020.826503	2020.826503	2020.826503
EPI_ISL_2834695	2020-10-29	2020.826503	2020.826503	2020.826503
EPI_ISL_2896211	2020-10-29	2020.826503	2020.826503	2020.826503
