#node	clock_length	mutation_length	rate	fold_change
NODE_0000211	2.165e-04	2.016e-04	4.006e-04	0.62
EPI_ISL_625756	3.532e-04	2.705e-04	4.836e-04	0.75
NODE_0000212	2.185e-04	2.688e-04	6.652e-04	1.03
EPI_ISL_615616	4.792e-05	6.760e-05	7.696e-04	1.19
NODE_0000213	5.596e-05	6.718e-05	7.640e-04	1.18
EPI_ISL_641419	6.105e-05	1.037e-22	1.914e-04	0.30
EPI_ISL_641420	6.105e-05	1.352e-04	9.851e-04	1.52
NODE_0000215	6.973e-05	1.008e-04	9.027e-04	1.39
EPI_ISL_683175	4.091e-05	6.760e-05	7.630e-04	1.18
NODE_0000006	3.063e-05	1.876e-17	6.483e-04	1.00
EPI_ISL_683176	1.029e-05	3.380e-05	5.614e-04	0.87
NODE_0000005	5.081e-06	1.876e-17	6.481e-04	1.00
EPI_ISL_683177	5.204e-06	1.010e-22	2.252e-04	0.35
NODE_0000218	8.338e-06	3.359e-05	6.805e-04	1.05
EPI_ISL_711687	2.698e-05	3.380e-05	6.033e-04	0.93
EPI_ISL_711816	2.698e-05	3.923e-22	2.632e-04	0.41
NODE_0000198	5.915e-05	3.358e-05	9.434e-04	1.46
NODE_0000200	2.397e-04	1.344e-04	5.570e-04	0.86
EPI_ISL_1124134	3.329e-04	4.058e-04	8.695e-04	1.34
NODE_0000201	1.566e-04	2.016e-04	7.538e-04	1.16
EPI_ISL_620004	7.703e-05	1.352e-04	9.902e-04	1.53
NODE_0000010	3.525e-05	1.594e-21	6.003e-04	0.93
EPI_ISL_620237	4.178e-05	3.380e-05	6.193e-04	0.96
NODE_0000203	5.193e-05	3.359e-05	5.589e-04	0.86
EPI_ISL_683216	2.173e-05	3.380e-05	7.221e-04	1.11
NODE_0000012	2.173e-05	1.594e-21	5.313e-04	0.82
EPI_ISL_683218	0.000e+00	1.260e-22	6.483e-04	1.00
EPI_ISL_683217	0.000e+00	1.260e-22	6.483e-04	1.00
NODE_0000219	7.694e-05	1.008e-04	8.986e-04	1.39
EPI_ISL_625927	4.337e-04	3.043e-04	5.563e-04	0.86
NODE_0000221	4.533e-05	3.358e-05	7.156e-04	1.10
EPI_ISL_615644	2.891e-04	4.398e-04	9.978e-04	1.54
EPI_ISL_618112	1.527e-04	2.366e-04	8.730e-04	1.35
NODE_0000223	4.319e-05	3.358e-05	7.177e-04	1.11
EPI_ISL_622503	1.549e-04	2.704e-04	9.603e-04	1.48
NODE_0000224	3.161e-04	4.707e-04	9.993e-04	1.54
EPI_ISL_615790	0.000e+00	1.399e-22	6.483e-04	1.00
EPI_ISL_683041	8.857e-05	3.382e-05	4.333e-04	0.67
NODE_0000226	4.607e-04	4.369e-04	7.604e-04	1.17
EPI_ISL_1865767	4.737e-05	3.380e-05	5.363e-04	0.83
EPI_ISL_713036	3.497e-05	3.380e-05	6.010e-04	0.93
EPI_ISL_750090	4.737e-05	3.380e-05	5.363e-04	0.83
NODE_0000228	3.026e-04	2.688e-04	6.610e-04	1.02
EPI_ISL_641423	1.134e-04	6.761e-05	5.649e-04	0.87
NODE_0000229	3.490e-05	6.717e-05	8.055e-04	1.24
NODE_0000020	2.940e-05	1.594e-21	6.483e-04	1.00
EPI_ISL_641422	4.908e-05	6.760e-05	7.560e-04	1.17
NODE_0000231	8.104e-05	3.358e-05	4.725e-04	0.73
EPI_ISL_683025	1.697e-06	1.270e-22	5.578e-04	0.86
EPI_ISL_1868276	1.055e-05	3.379e-05	7.153e-04	1.10
NODE_0000232	4.276e-05	6.717e-05	8.051e-04	1.24
EPI_ISL_641421	3.571e-05	1.014e-04	9.041e-04	1.39
EPI_ISL_683005	7.114e-05	6.759e-05	7.102e-04	1.10
NODE_0000235	3.652e-05	3.358e-05	7.104e-04	1.10
EPI_ISL_682844	5.411e-05	1.014e-04	8.868e-04	1.37
NODE_0000236	3.462e-05	3.359e-05	6.732e-04	1.04
EPI_ISL_683009	0.000e+00	1.340e-22	6.319e-04	0.97
EPI_ISL_683010	0.000e+00	1.340e-22	6.319e-04	0.97
NODE_0000237	4.704e-05	3.358e-05	7.163e-04	1.10
EPI_ISL_668606	4.359e-05	3.379e-05	5.256e-04	0.81
EPI_ISL_682547	4.359e-05	6.760e-05	7.357e-04	1.13
NODE_0000239	3.119e-05	6.717e-05	7.913e-04	1.22
EPI_ISL_668607	0.000e+00	1.213e-22	6.442e-04	0.99
EPI_ISL_714261	1.240e-05	1.182e-22	5.732e-04	0.88
NODE_0000029	3.218e-05	3.175e-21	6.483e-04	1.00
NODE_0000206	2.152e-04	2.016e-04	7.727e-04	1.19
NODE_0000207	1.056e-04	1.008e-04	5.919e-04	0.91
EPI_ISL_616490	3.363e-05	6.760e-05	8.085e-04	1.25
EPI_ISL_617635	2.123e-05	3.380e-05	6.944e-04	1.07
NODE_0000208	1.487e-04	1.344e-04	5.250e-04	0.81
EPI_ISL_641414	1.146e-04	2.028e-04	1.119e-03	1.73
EPI_ISL_625895	1.146e-04	1.352e-04	9.296e-04	1.43
NODE_0000033	1.093e-04	1.595e-21	1.330e-04	0.21
EPI_ISL_683215	0.000e+00	1.151e-22	6.483e-04	1.00
EPI_ISL_641399	1.063e-05	1.135e-22	6.127e-04	0.95
NODE_0000193	1.716e-04	6.717e-05	2.947e-04	0.45
NODE_0000035	3.333e-05	2.553e-21	2.484e-04	0.38
NODE_0000036	2.552e-05	2.553e-21	6.483e-04	1.00
EPI_ISL_618043	0.000e+00	1.486e-22	6.442e-04	0.99
EPI_ISL_626351	1.594e-05	1.486e-22	5.422e-04	0.84
NODE_0000037	2.223e-05	2.553e-21	6.483e-04	1.00
EPI_ISL_626349	1.923e-05	1.443e-22	5.432e-04	0.84
NODE_0000038	1.392e-05	2.553e-21	6.483e-04	1.00
EPI_ISL_626342	0.000e+00	1.486e-22	5.897e-04	0.91
EPI_ISL_626350	5.314e-06	1.486e-22	5.449e-04	0.84
NODE_0000170	3.483e-05	3.359e-05	6.666e-04	1.03
EPI_ISL_618150	4.881e-05	3.380e-05	6.516e-04	1.01
EPI_ISL_618071	2.401e-05	3.379e-05	7.221e-04	1.11
EPI_ISL_618066	2.401e-05	3.379e-05	7.221e-04	1.11
EPI_ISL_618117	3.641e-05	3.380e-05	7.028e-04	1.08
EPI_ISL_618169	6.121e-05	6.759e-05	7.807e-04	1.20
EPI_ISL_626343	3.464e-05	3.379e-05	7.080e-04	1.09
NODE_0000185	2.132e-05	3.358e-05	7.183e-04	1.11
EPI_ISL_622265	1.509e-05	3.379e-05	7.194e-04	1.11
EPI_ISL_618072	2.693e-06	1.469e-22	6.442e-04	0.99
NODE_0000042	-4.431e-07	2.322e-21	6.429e-04	0.99
EPI_ISL_618170	6.165e-05	3.380e-05	6.091e-04	0.94
NODE_0000043	6.286e-07	2.322e-21	6.472e-04	1.00
EPI_ISL_618189	7.343e-05	3.380e-05	5.539e-04	0.85
