#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-04-21	2020.303538	2019.800134	2020.575506
NODE_0000005	2020-10-31	2020.833005	2020.514595	2020.924815
EPI_ISL_1237137	2021-02-19	2021.135616	2021.135616	2021.135616
EPI_ISL_3022408	2021-02-24	2021.149315	2021.149315	2021.149315
NODE_0000004	2020-06-15	2020.455461	2020.290537	2020.585420
NODE_0000006	2020-07-19	2020.546794	2020.486926	2020.598522
EPI_ISL_5804735	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000007	2020-07-25	2020.565366	2020.535682	2020.618405
EPI_ISL_2310830	2020-12-14	2020.952186	2020.952186	2020.952186
EPI_ISL_2082978	2020-11-06	2020.848361	2020.848361	2020.848361
NODE_0000008	2020-08-03	2020.589373	2020.561450	2020.660175
EPI_ISL_2919785	2020-10-27	2020.821038	2020.821038	2020.821038
NODE_0000012	2020-10-30	2020.830370	2020.729000	2020.895837
EPI_ISL_5804736	2020-12-08	2020.935792	2020.935792	2020.935792
EPI_ISL_5804729	2020-12-06	2020.930328	2020.930328	2020.930328
EPI_ISL_5804730	2020-12-06	2020.930328	2020.930328	2020.930328
NODE_0000014	2020-08-19	2020.633127	2020.571392	2020.670401
EPI_ISL_683704	2020-10-28	2020.823770	2020.823770	2020.823770
NODE_0000015	2020-09-26	2020.736978	2020.682717	2020.799918
EPI_ISL_5804740	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000016	2020-10-19	2020.798255	2020.742876	2020.842197
EPI_ISL_5804741	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000017	2020-10-26	2020.818731	2020.777798	2020.865747
EPI_ISL_5804739	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000018	2020-11-06	2020.848070	2020.806189	2020.883688
EPI_ISL_5804737	2020-12-08	2020.935792	2020.935792	2020.935792
EPI_ISL_5804738	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000019	2020-08-10	2020.607646	2020.569726	2020.667411
EPI_ISL_851009	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000020	2020-08-19	2020.632711	2020.603538	2020.700755
EPI_ISL_1075591	2020-12-31	2020.998634	2020.998634	2020.998634
NODE_0000027	2020-09-05	2020.678359	2020.642089	2020.756672
EPI_ISL_5804731	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000028	2020-11-06	2020.847835	2020.802550	2020.898508
EPI_ISL_5804732	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000029	2020-11-23	2020.894531	2020.849708	2020.928598
EPI_ISL_5804733	2020-12-10	2020.941257	2020.941257	2020.941257
EPI_ISL_5804734	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000021	2020-08-21	2020.637878	2020.619320	2020.702960
EPI_ISL_751709	2020-11-21	2020.889344	2020.889344	2020.889344
NODE_0000022	2020-08-31	2020.666057	2020.643763	2020.713347
EPI_ISL_1295439	2021-02-17	2021.130137	2021.130137	2021.130137
NODE_0000025	2020-11-21	2020.888824	2020.819605	2020.938735
EPI_ISL_5804752	2020-12-22	2020.974044	2020.974044	2020.974044
EPI_ISL_5804753	2020-12-15	2020.954918	2020.954918	2020.954918
NODE_0000024	2020-09-05	2020.678952	2020.656314	2020.714481
EPI_ISL_5930597	2020-09-18	2020.714481	2020.714481	2020.714481
EPI_ISL_1038455	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000000	2020-07-11	2020.526444	2020.509099	2020.590620
EPI_ISL_2992027	2020-09-17	2020.711749	2020.711749	2020.711749
NODE_0000026	2020-07-17	2020.542173	2020.500275	2020.636972
NODE_0000031	2020-08-18	2020.630205	2020.559793	2020.670669
EPI_ISL_614086	2020-09-23	2020.728142	2020.728142	2020.728142
NODE_0000033	2020-09-02	2020.671964	2020.577167	2020.744402
EPI_ISL_1080118	2021-01-21	2021.056164	2021.056164	2021.056164
EPI_ISL_3410448	2020-11-18	2020.881148	2020.881148	2020.881148
NODE_0000059	2020-08-23	2020.643239	2020.582930	2020.726959
NODE_0000060	2020-11-17	2020.878415	2020.826340	2020.878415
EPI_ISL_784482	2020-11-17	2020.878415	2020.878415	2020.878415
EPI_ISL_1304085	2021-01-26	2021.069863	2021.069863	2021.069863
NODE_0000061	2020-11-28	2020.909721	2020.847037	2021.042907
EPI_ISL_4847029	2021-01-28	2021.075342	2021.075342	2021.075342
EPI_ISL_4847030	2021-01-28	2021.075342	2021.075342	2021.075342
NODE_0000030	2020-07-27	2020.568546	2020.547984	2020.625994
EPI_ISL_644855	2020-09-10	2020.692623	2020.692623	2020.692623
EPI_ISL_5847453	2020-09-16	2020.709016	2020.709016	2020.709016
NODE_0000032	2020-08-12	2020.612195	2020.581881	2020.681128
NODE_0000039	2020-08-17	2020.626169	2020.592146	2020.682372
NODE_0000036	2020-10-21	2020.804645	2020.749607	2020.804645
EPI_ISL_1511484	2020-10-21	2020.804645	2020.804645	2020.804645
NODE_0000037	2020-11-13	2020.868796	2020.799544	2020.925804
EPI_ISL_967320	2021-01-14	2021.036986	2021.036986	2021.036986
EPI_ISL_1064348	2021-01-20	2021.053425	2021.053425	2021.053425
NODE_0000047	2020-08-21	2020.638754	2020.615555	2020.717812
NODE_0000049	2020-09-02	2020.669437	2020.628833	2020.760511
EPI_ISL_1171091	2020-12-18	2020.963115	2020.963115	2020.963115
EPI_ISL_979781	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000050	2020-08-31	2020.665809	2020.620119	2020.739945
EPI_ISL_2018378	2021-02-06	2021.100000	2021.100000	2021.100000
NODE_0000053	2020-09-06	2020.681911	2020.635355	2020.775498
EPI_ISL_1272800	2021-02-19	2021.135616	2021.135616	2021.135616
NODE_0000035	2020-12-01	2020.916726	2020.840224	2020.983417
EPI_ISL_2234046	2021-01-13	2021.034247	2021.034247	2021.034247
EPI_ISL_3119221	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000041	2020-08-22	2020.639675	2020.596339	2020.689858
NODE_0000042	2020-11-06	2020.848361	2020.786263	2020.848361
EPI_ISL_747062	2020-11-06	2020.848361	2020.848361	2020.848361
EPI_ISL_889611	2021-01-05	2021.012329	2021.012329	2021.012329
NODE_0000043	2020-08-27	2020.654508	2020.612969	2020.703303
EPI_ISL_1009553	2020-12-23	2020.976776	2020.976776	2020.976776
NODE_0000044	2020-09-06	2020.682781	2020.631008	2020.745561
NODE_0000045	2020-09-18	2020.714293	2020.658850	2020.801654
EPI_ISL_5804716	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804728	2020-12-06	2020.930328	2020.930328	2020.930328
NODE_0000046	2020-09-11	2020.696174	2020.647398	2020.769566
NODE_0000055	2020-09-27	2020.738420	2020.640523	2020.824910
EPI_ISL_5804726	2021-01-09	2021.023288	2021.023288	2021.023288
EPI_ISL_5804719	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000048	2020-09-27	2020.738337	2020.654169	2020.796873
EPI_ISL_5804718	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804724	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000051	2020-11-15	2020.872651	2020.824051	2020.910607
EPI_ISL_5804723	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804774	2021-01-09	2021.023288	2021.023288	2021.023288
NODE_0000052	2020-11-01	2020.833707	2020.766516	2020.870927
EPI_ISL_5804743	2020-12-08	2020.935792	2020.935792	2020.935792
EPI_ISL_5804751	2020-12-08	2020.935792	2020.935792	2020.935792
NODE_0000054	2020-10-18	2020.795583	2020.672657	2020.841919
EPI_ISL_5804721	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804722	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804717	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000057	2020-11-02	2020.836380	2020.742342	2020.903701
EPI_ISL_5804725	2021-01-09	2021.023288	2021.023288	2021.023288
EPI_ISL_5804765	2021-01-09	2021.023288	2021.023288	2021.023288
NODE_0000063	2020-07-17	2020.541836	2020.516046	2020.600216
NODE_0000069	2020-08-01	2020.583197	2020.547095	2020.724633
EPI_ISL_1079372	2021-01-18	2021.047945	2021.047945	2021.047945
EPI_ISL_1203456	2020-11-15	2020.872951	2020.872951	2020.872951
NODE_0000065	2020-07-23	2020.557586	2020.537195	2020.610099
EPI_ISL_5804742	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000066	2020-07-27	2020.570121	2020.554649	2020.619108
EPI_ISL_5804750	2020-10-15	2020.788251	2020.788251	2020.788251
NODE_0000067	2020-08-05	2020.593565	2020.577246	2020.654636
EPI_ISL_1064943	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000097	2020-08-31	2020.666028	2020.601373	2020.743206
EPI_ISL_1081607	2021-01-28	2021.075342	2021.075342	2021.075342
EPI_ISL_1234806	2021-02-19	2021.135616	2021.135616	2021.135616
NODE_0000103	2020-09-01	2020.667106	2020.633886	2020.765241
EPI_ISL_1056958	2021-01-13	2021.034247	2021.034247	2021.034247
EPI_ISL_1133085	2020-11-21	2020.889344	2020.889344	2020.889344
NODE_0000068	2020-08-31	2020.665562	2020.634588	2020.739866
EPI_ISL_1910752	2020-11-06	2020.848361	2020.848361	2020.848361
EPI_ISL_1014850	2021-02-01	2021.086301	2021.086301	2021.086301
EPI_ISL_1076817	2021-01-09	2021.023288	2021.023288	2021.023288
NODE_0000098	2020-08-20	2020.636053	2020.600560	2020.695155
EPI_ISL_942504	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000099	2020-09-05	2020.679370	2020.617308	2020.727828
EPI_ISL_3353885	2021-02-08	2021.105479	2021.105479	2021.105479
NODE_0000100	2020-09-20	2020.720162	2020.649110	2020.778385
EPI_ISL_728452	2020-11-09	2020.856557	2020.856557	2020.856557
EPI_ISL_1261779	2021-01-23	2021.061644	2021.061644	2021.061644
NODE_0000080	2020-08-21	2020.636851	2020.570710	2020.706629
NODE_0000081	2020-08-31	2020.665677	2020.597623	2020.762135
EPI_ISL_942092	2020-12-26	2020.984973	2020.984973	2020.984973
EPI_ISL_941315	2021-01-25	2021.067123	2021.067123	2021.067123
NODE_0000083	2020-08-20	2020.636101	2020.582144	2020.720304
NODE_0000104	2020-09-05	2020.679631	2020.631975	2020.762152
EPI_ISL_5804754	2020-12-28	2020.990437	2020.990437	2020.990437
EPI_ISL_5804758	2020-10-31	2020.831967	2020.831967	2020.831967
NODE_0000075	2020-09-11	2020.694923	2020.624504	2020.790389
EPI_ISL_1540430	2020-11-10	2020.859290	2020.859290	2020.859290
EPI_ISL_2882105	2021-02-09	2021.108219	2021.108219	2021.108219
NODE_0000076	2020-08-10	2020.608922	2020.599926	2020.670484
EPI_ISL_5804768	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000077	2020-08-25	2020.650235	2020.623066	2020.700041
EPI_ISL_5804766	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000078	2020-09-15	2020.707647	2020.650195	2020.769675
EPI_ISL_5804773	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000079	2020-09-17	2020.710839	2020.670194	2020.800903
EPI_ISL_5804772	2020-11-24	2020.897541	2020.897541	2020.897541
EPI_ISL_5804785	2020-12-23	2020.976776	2020.976776	2020.976776
EPI_ISL_5804786	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000089	2020-10-23	2020.810306	2020.728447	2020.860675
EPI_ISL_5804781	2020-12-10	2020.941257	2020.941257	2020.941257
EPI_ISL_5804782	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000092	2020-10-11	2020.778240	2020.688149	2020.834205
EPI_ISL_5804769	2020-11-24	2020.897541	2020.897541	2020.897541
EPI_ISL_5804777	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000094	2020-10-13	2020.782865	2020.731576	2020.839260
EPI_ISL_5804776	2020-12-10	2020.941257	2020.941257	2020.941257
EPI_ISL_5804787	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000093	2020-10-02	2020.751892	2020.647562	2020.865787
EPI_ISL_5804780	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000095	2020-10-18	2020.796976	2020.715473	2020.865833
EPI_ISL_5804778	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000096	2020-10-22	2020.807114	2020.744282	2020.871991
EPI_ISL_5804770	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000101	2020-10-28	2020.823709	2020.775164	2020.874575
NODE_0000102	2020-11-07	2020.850142	2020.808066	2020.885364
EPI_ISL_5804775	2020-11-24	2020.897541	2020.897541	2020.897541
EPI_ISL_5804784	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000108	2020-11-07	2020.851681	2020.803219	2020.886340
EPI_ISL_5804771	2020-11-24	2020.897541	2020.897541	2020.897541
NODE_0000082	2020-12-10	2020.941257	2020.899425	2020.941257
EPI_ISL_5804779	2020-12-10	2020.941257	2020.941257	2020.941257
EPI_ISL_5804783	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000105	2020-08-09	2020.606017	2020.601074	2020.673892
EPI_ISL_5804748	2020-12-09	2020.938525	2020.938525	2020.938525
NODE_0000106	2020-08-16	2020.624982	2020.607992	2020.687378
EPI_ISL_912027	2021-01-11	2021.028767	2021.028767	2021.028767
EPI_ISL_942549	2020-11-30	2020.913934	2020.913934	2020.913934
EPI_ISL_1920097	2021-01-16	2021.042466	2021.042466	2021.042466
EPI_ISL_1196066	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000117	2020-09-22	2020.725487	2020.683640	2020.836267
EPI_ISL_2100913	2021-01-18	2021.047945	2021.047945	2021.047945
NODE_0000118	2020-10-28	2020.824257	2020.752699	2020.898337
EPI_ISL_832957	2020-12-31	2020.998634	2020.998634	2020.998634
EPI_ISL_1270182	2021-02-22	2021.143836	2021.143836	2021.143836
NODE_0000107	2020-08-25	2020.647592	2020.636285	2020.709262
EPI_ISL_5804767	2020-11-24	2020.897541	2020.897541	2020.897541
EPI_ISL_5804763	2020-12-10	2020.941257	2020.941257	2020.941257
NODE_0000109	2020-09-09	2020.689455	2020.655078	2020.726936
EPI_ISL_5804744	2020-12-07	2020.933060	2020.933060	2020.933060
EPI_ISL_5804764	2020-10-08	2020.769126	2020.769126	2020.769126
NODE_0000120	2020-09-12	2020.696902	2020.653552	2020.762972
NODE_0000121	2020-09-27	2020.740133	2020.694927	2020.870761
EPI_ISL_5804745	2020-12-07	2020.933060	2020.933060	2020.933060
EPI_ISL_5804749	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000122	2020-11-22	2020.893419	2020.835080	2020.915715
EPI_ISL_5804746	2020-12-05	2020.927596	2020.927596	2020.927596
EPI_ISL_5804747	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000119	2020-08-21	2020.637010	2020.604675	2020.719102
EPI_ISL_1218958	2021-02-24	2021.149315	2021.149315	2021.149315
NODE_0000123	2020-08-31	2020.664310	2020.601271	2020.730171
EPI_ISL_5713078	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000124	2020-10-02	2020.753285	2020.654332	2020.815970
EPI_ISL_1067948	2020-10-29	2020.826503	2020.826503	2020.826503
EPI_ISL_1813600	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000125	2020-08-21	2020.639063	2020.629460	2020.704489
EPI_ISL_5804757	2020-11-06	2020.848361	2020.848361	2020.848361
EPI_ISL_1026857	2021-01-04	2021.009589	2021.009589	2021.009589
EPI_ISL_935722	2021-01-03	2021.006849	2021.006849	2021.006849
NODE_0000133	2020-09-16	2020.709599	2020.665432	2020.894661
EPI_ISL_896401	2021-01-11	2021.028767	2021.028767	2021.028767
NODE_0000110	2020-10-29	2020.825724	2020.649469	2020.909326
EPI_ISL_1098232	2021-02-17	2021.130137	2021.130137	2021.130137
EPI_ISL_1064280	2021-02-04	2021.094521	2021.094521	2021.094521
NODE_0000127	2020-09-06	2020.680655	2020.648952	2020.784248
NODE_0000128	2020-10-31	2020.830620	2020.724676	2020.910072
EPI_ISL_967122	2021-01-23	2021.061644	2021.061644	2021.061644
EPI_ISL_1016638	2021-01-31	2021.083562	2021.083562	2021.083562
NODE_0000129	2020-10-13	2020.782884	2020.680929	2020.842981
EPI_ISL_1075322	2021-01-06	2021.015068	2021.015068	2021.015068
NODE_0000130	2020-10-30	2020.829098	2020.743791	2020.895799
EPI_ISL_1077183	2020-12-31	2020.998634	2020.998634	2020.998634
EPI_ISL_1185352	2021-01-06	2021.015068	2021.015068	2021.015068
NODE_0000136	2020-09-16	2020.708616	2020.675470	2020.786124
EPI_ISL_5804762	2020-12-05	2020.927596	2020.927596	2020.927596
NODE_0000132	2020-10-02	2020.753827	2020.683462	2020.788761
EPI_ISL_5804759	2020-11-07	2020.851093	2020.851093	2020.851093
NODE_0000138	2020-10-06	2020.765005	2020.729812	2020.807416
EPI_ISL_5804760	2020-11-08	2020.853825	2020.853825	2020.853825
NODE_0000134	2020-10-17	2020.794979	2020.745381	2020.823770
EPI_ISL_5804756	2020-10-28	2020.823770	2020.823770	2020.823770
NODE_0000135	2020-10-31	2020.831040	2020.733386	2020.880307
EPI_ISL_5804755	2020-11-29	2020.911202	2020.911202	2020.911202
EPI_ISL_5804761	2020-11-24	2020.897541	2020.897541	2020.897541
