#node	clock_length	mutation_length	rate	fold_change
NODE_0000038	9.676e-05	3.029e-04	1.727e-03	1.66
EPI_ISL_1613477	1.053e-05	8.220e-18	7.736e-04	0.74
EPI_ISL_1613501	1.053e-05	3.372e-05	1.149e-03	1.11
NODE_0000034	1.227e-05	3.364e-05	1.064e-03	1.02
EPI_ISL_2799301	1.378e-04	3.036e-04	1.552e-03	1.49
EPI_ISL_1590927	7.793e-05	2.361e-04	1.626e-03	1.56
NODE_0000044	6.627e-05	2.019e-04	1.565e-03	1.50
EPI_ISL_1591005	3.160e-05	1.012e-04	1.460e-03	1.40
NODE_0000009	1.543e-05	8.066e-18	1.039e-03	1.00
EPI_ISL_1591021	1.616e-05	8.233e-18	5.271e-04	0.51
EPI_ISL_8403005	1.616e-05	3.372e-05	1.047e-03	1.01
NODE_0000039	6.714e-05	2.019e-04	1.562e-03	1.50
EPI_ISL_1613832	4.213e-05	1.349e-04	1.589e-03	1.53
NODE_0000012	1.473e-05	8.059e-18	9.614e-04	0.92
EPI_ISL_2799311	5.874e-05	6.744e-05	1.056e-03	1.02
NODE_0000013	1.885e-05	8.059e-18	1.040e-03	1.00
EPI_ISL_8501754	3.989e-05	6.744e-05	1.056e-03	1.02
EPI_ISL_8403006	0.000e+00	8.225e-18	6.302e-04	0.61
NODE_0000046	1.012e-05	3.364e-05	1.157e-03	1.11
EPI_ISL_1613767	1.077e-04	4.048e-04	2.123e-03	2.04
EPI_ISL_2800176	1.875e-04	2.361e-04	1.083e-03	1.04
NODE_0000048	2.006e-05	3.364e-05	1.093e-03	1.05
EPI_ISL_2141616	7.625e-05	1.686e-04	1.406e-03	1.35
NODE_0000049	3.588e-05	1.009e-04	1.330e-03	1.28
EPI_ISL_1590910	1.188e-05	3.372e-05	1.156e-03	1.11
EPI_ISL_8403183	2.612e-05	3.372e-05	1.065e-03	1.02
NODE_0000017	3.537e-06	8.038e-18	9.402e-04	0.90
EPI_ISL_1590515	7.439e-05	3.373e-05	4.152e-04	0.40
NODE_0000018	4.502e-07	8.038e-18	1.039e-03	1.00
NODE_0000019	6.208e-06	8.038e-18	1.040e-03	1.00
EPI_ISL_2799390	1.304e-04	2.024e-04	1.174e-03	1.13
EPI_ISL_1590844	7.058e-05	1.349e-04	1.160e-03	1.11
NODE_0000020	3.289e-06	8.038e-18	1.040e-03	1.00
NODE_0000021	3.343e-06	8.038e-18	1.040e-03	1.00
EPI_ISL_1590834	6.446e-05	1.349e-04	1.198e-03	1.15
EPI_ISL_2799990	1.613e-04	2.361e-04	1.173e-03	1.13
NODE_0000024	3.477e-06	8.038e-18	1.040e-03	1.00
NODE_0000025	6.704e-06	8.038e-18	1.040e-03	1.00
NODE_0000059	4.998e-05	1.009e-04	1.080e-03	1.04
EPI_ISL_1590962	2.474e-05	3.372e-05	1.062e-03	1.02
EPI_ISL_1591022	3.044e-05	6.745e-05	1.287e-03	1.24
NODE_0000056	3.449e-05	3.364e-05	5.072e-04	0.49
EPI_ISL_1590870	2.313e-05	3.372e-05	1.158e-03	1.11
EPI_ISL_1590843	2.883e-05	3.372e-05	1.139e-03	1.10
NODE_0000029	5.942e-06	8.038e-18	1.040e-03	1.00
NODE_0000062	2.383e-05	3.364e-05	6.279e-04	0.60
EPI_ISL_1590867	3.741e-05	6.744e-05	1.283e-03	1.23
NODE_0000035	1.310e-05	8.046e-18	1.040e-03	1.00
EPI_ISL_8403007	4.711e-05	3.372e-05	7.605e-04	0.73
EPI_ISL_8403171	2.146e-05	3.372e-05	1.026e-03	0.99
NODE_0000051	2.065e-05	3.364e-05	7.412e-04	0.71
EPI_ISL_8385897	8.332e-05	1.686e-04	1.517e-03	1.46
EPI_ISL_8501762	1.061e-04	3.372e-05	4.125e-04	0.40
EPI_ISL_2141549	6.338e-05	1.012e-04	1.255e-03	1.21
NODE_0000032	1.987e-05	6.728e-05	1.275e-03	1.23
NODE_0000033	4.993e-05	1.009e-04	1.287e-03	1.24
EPI_ISL_2141622	3.093e-05	3.372e-05	9.807e-04	0.94
EPI_ISL_1591012	2.523e-05	6.744e-05	1.302e-03	1.25
NODE_0000031	4.953e-05	1.346e-04	1.505e-03	1.45
EPI_ISL_2141910	1.481e-04	1.349e-04	9.337e-04	0.90
NODE_0000028	2.982e-05	3.364e-05	1.152e-03	1.11
EPI_ISL_8564587	3.406e-04	1.349e-04	4.189e-04	0.40
EPI_ISL_8501747	5.564e-05	1.687e-04	1.588e-03	1.53
EPI_ISL_2141686	6.418e-05	3.372e-05	5.297e-04	0.51
NODE_0000016	6.351e-06	3.364e-05	9.137e-04	0.88
