#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000003	2020-06-22	2020.474298	2020.001908	2020.739289
NODE_0000005	2020-10-19	2020.799117	2020.676995	2020.843510
NODE_0000006	2020-12-27	2020.987862	2020.893438	2021.036560
EPI_ISL_984307	2021-01-27	2021.072603	2021.072603	2021.072603
NODE_0000007	2021-01-19	2021.050858	2021.023438	2021.072603
EPI_ISL_984305	2021-01-27	2021.072603	2021.072603	2021.072603
EPI_ISL_1034274	2021-02-02	2021.089041	2021.089041	2021.089041
NODE_0000000	2020-10-23	2020.809232	2020.781215	2020.864060
EPI_ISL_732949	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000001	2020-11-03	2020.840555	2020.814495	2020.873604
NODE_0000002	2020-11-13	2020.867456	2020.845070	2020.878415
EPI_ISL_732951	2020-11-17	2020.878415	2020.878415	2020.878415
EPI_ISL_732954	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000010	2020-11-12	2020.864109	2020.837745	2020.876627
EPI_ISL_732953	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000013	2020-11-17	2020.878415	2020.858271	2020.878415
EPI_ISL_732957	2020-11-17	2020.878415	2020.878415	2020.878415
EPI_ISL_732952	2020-11-17	2020.878415	2020.878415	2020.878415
NODE_0000008	2020-10-20	2020.803089	2020.482403	2020.932404
EPI_ISL_2631245	--	--	--	--
NODE_0000009	2021-03-19	2021.213472	2021.138886	2021.287754
EPI_ISL_2801426	2021-06-23	2021.475342	2021.475342	2021.475342
EPI_ISL_3218557	2021-06-16	2021.456164	2021.456164	2021.456164
NODE_0000011	2020-11-26	2020.903634	2020.755667	2021.028816
NODE_0000016	2020-12-06	2020.930186	2020.799748	2021.037058
EPI_ISL_1084644	2021-01-21	2021.056164	2021.056164	2021.056164
NODE_0000017	2021-01-06	2021.015323	2020.970283	2021.055066
EPI_ISL_1239723	2021-02-17	2021.130137	2021.130137	2021.130137
EPI_ISL_1168335	2021-02-10	2021.110959	2021.110959	2021.110959
EPI_ISL_1341059	2021-02-19	2021.135616	2021.135616	2021.135616
NODE_0000015	2020-12-03	2020.922245	2020.760334	2021.032924
EPI_ISL_1239750	2021-02-18	2021.132877	2021.132877	2021.132877
NODE_0000012	2021-01-06	2021.014242	2020.961335	2021.033312
EPI_ISL_1273771	2021-02-01	2021.086301	2021.086301	2021.086301
EPI_ISL_1091453	2021-01-25	2021.067123	2021.067123	2021.067123
NODE_0000014	2021-01-19	2021.050222	2021.003785	2021.073091
EPI_ISL_1239720	2021-02-15	2021.124658	2021.124658	2021.124658
EPI_ISL_1539219	2021-03-08	2021.182192	2021.182192	2021.182192
