#node	clock_length	mutation_length	rate	fold_change
EPI_ISL_788334	1.386e-04	3.705e-04	4.288e-04	1.88
NODE_0000023	7.355e-06	3.170e-18	2.283e-04	1.00
EPI_ISL_5383881	1.051e-04	1.347e-04	2.319e-04	1.02
EPI_ISL_5695809	1.581e-04	3.031e-04	3.418e-04	1.50
NODE_0000026	5.462e-06	3.351e-05	2.537e-04	1.11
EPI_ISL_1794680	1.982e-04	3.371e-04	3.343e-04	1.46
EPI_ISL_756318	1.027e-04	2.021e-04	3.268e-04	1.43
EPI_ISL_803308	1.445e-04	2.694e-04	3.388e-04	1.48
EPI_ISL_2620814	1.489e-04	3.706e-04	4.182e-04	1.83
EPI_ISL_789774	1.320e-04	2.357e-04	3.225e-04	1.41
EPI_ISL_845659	1.314e-04	2.694e-04	3.554e-04	1.56
EPI_ISL_853487	3.937e-04	5.053e-04	2.919e-04	1.28
NODE_0000041	3.510e-05	3.351e-05	2.390e-04	1.05
EPI_ISL_738991	1.450e-04	2.020e-04	2.667e-04	1.17
EPI_ISL_2968975	1.562e-04	3.031e-04	3.483e-04	1.53
NODE_0000058	4.017e-04	5.029e-04	2.919e-04	1.28
EPI_ISL_2310911	2.542e-05	3.426e-18	2.283e-04	1.00
EPI_ISL_2310957	2.542e-05	3.436e-18	2.283e-04	1.00
NODE_0000045	7.290e-06	3.351e-05	2.539e-04	1.11
EPI_ISL_667065	1.666e-04	3.706e-04	4.058e-04	1.78
EPI_ISL_746314	1.079e-04	3.031e-04	4.246e-04	1.86
NODE_0000047	3.448e-05	6.701e-05	2.843e-04	1.24
EPI_ISL_803615	1.046e-04	1.010e-04	2.089e-04	0.92
NODE_0000048	2.136e-05	6.702e-05	2.884e-04	1.26
EPI_ISL_602189	6.142e-05	2.020e-04	3.944e-04	1.73
EPI_ISL_1232229	2.383e-04	3.032e-04	3.027e-04	1.33
NODE_0000059	8.317e-06	3.351e-05	2.508e-04	1.10
EPI_ISL_2827526	1.668e-04	3.031e-04	3.583e-04	1.57
NODE_0000060	6.371e-05	1.676e-04	3.482e-04	1.52
NODE_0000061	2.874e-05	3.351e-05	2.533e-04	1.11
EPI_ISL_2834939	3.689e-05	1.010e-04	3.205e-04	1.40
EPI_ISL_2834940	3.689e-05	6.734e-05	2.848e-04	1.25
NODE_0000013	6.525e-06	3.182e-18	2.229e-04	0.98
EPI_ISL_2834942	3.536e-05	3.367e-05	2.271e-04	0.99
NODE_0000015	1.408e-05	3.182e-18	2.205e-04	0.97
NODE_0000066	2.127e-05	3.351e-05	2.401e-04	1.05
EPI_ISL_2834689	5.615e-06	3.417e-18	2.227e-04	0.98
EPI_ISL_2834944	0.000e+00	3.418e-18	2.283e-04	1.00
NODE_0000017	1.628e-05	3.182e-18	1.542e-04	0.68
EPI_ISL_2834945	4.991e-06	3.413e-18	2.239e-04	0.98
EPI_ISL_2834941	0.000e+00	3.411e-18	2.283e-04	1.00
NODE_0000067	8.022e-05	1.006e-04	2.888e-04	1.27
EPI_ISL_2834691	1.349e-05	3.372e-05	2.541e-04	1.11
EPI_ISL_2896212	1.349e-05	3.396e-18	1.951e-04	0.85
EPI_ISL_2896213	1.349e-05	3.398e-18	1.951e-04	0.85
EPI_ISL_2834695	1.349e-05	3.396e-18	1.951e-04	0.85
EPI_ISL_2896211	1.349e-05	3.396e-18	1.951e-04	0.85
EPI_ISL_2834692	1.349e-05	3.371e-05	2.541e-04	1.11
EPI_ISL_2834693	1.349e-05	3.396e-18	1.951e-04	0.85
NODE_0000019	8.343e-07	3.173e-18	2.283e-04	1.00
NODE_0000043	3.409e-05	3.351e-05	2.016e-04	0.88
EPI_ISL_5851434	9.089e-05	1.010e-04	2.317e-04	1.01
NODE_0000044	6.402e-05	3.351e-05	2.410e-04	1.06
EPI_ISL_784943	7.989e-05	1.011e-04	1.991e-04	0.87
EPI_ISL_2841595	7.553e-05	2.020e-04	3.332e-04	1.46
NODE_0000022	6.892e-06	3.173e-18	2.283e-04	1.00
NODE_0000024	5.408e-07	3.173e-18	2.283e-04	1.00
NODE_0000025	1.994e-05	3.173e-18	2.283e-04	1.00
EPI_ISL_849953	1.587e-04	2.021e-04	2.293e-04	1.00
EPI_ISL_583335	1.063e-04	1.684e-04	2.479e-04	1.09
NODE_0000027	1.369e-05	3.173e-18	2.283e-04	1.00
EPI_ISL_667146	9.138e-05	1.347e-04	2.323e-04	1.02
NODE_0000031	3.439e-05	6.701e-05	2.140e-04	0.94
EPI_ISL_4730316	9.941e-05	3.368e-05	1.078e-04	0.47
NODE_0000032	9.446e-05	1.676e-04	3.458e-04	1.51
EPI_ISL_4730267	1.369e-05	6.737e-05	2.877e-04	1.26
NODE_0000030	3.743e-06	3.686e-22	2.195e-04	0.96
EPI_ISL_4730380	1.120e-05	3.418e-18	1.820e-04	0.80
EPI_ISL_667521	1.619e-05	3.416e-18	1.612e-04	0.71
NODE_0000033	3.689e-07	3.173e-18	2.283e-04	1.00
NODE_0000034	1.941e-05	3.173e-18	2.283e-04	1.00
EPI_ISL_602192	9.706e-05	1.684e-04	2.597e-04	1.14
EPI_ISL_2009503	1.201e-04	2.020e-04	2.693e-04	1.18
NODE_0000035	6.474e-06	3.173e-18	2.283e-04	1.00
NODE_0000036	1.481e-05	3.173e-18	2.283e-04	1.00
EPI_ISL_635674	6.961e-05	1.683e-04	2.937e-04	1.29
EPI_ISL_2220199	8.708e-05	1.347e-04	2.284e-04	1.00
NODE_0000037	2.136e-05	3.173e-18	2.283e-04	1.00
EPI_ISL_708482	1.367e-04	1.347e-04	1.728e-04	0.76
NODE_0000053	1.186e-04	6.701e-05	1.093e-04	0.48
EPI_ISL_962804	2.371e-05	6.733e-05	2.880e-04	1.26
EPI_ISL_3410568	2.870e-05	3.404e-18	1.088e-04	0.48
NODE_0000012	5.409e-06	3.351e-05	2.449e-04	1.07
EPI_ISL_3916227	1.265e-04	2.697e-04	3.523e-04	1.54
EPI_ISL_667450	1.352e-04	2.696e-04	3.411e-04	1.49
NODE_0000014	9.609e-05	2.011e-04	3.396e-04	1.49
EPI_ISL_2223692	1.480e-05	3.412e-18	1.493e-04	0.65
EPI_ISL_2223694	1.542e-05	6.733e-05	2.888e-04	1.26
NODE_0000021	2.773e-05	1.005e-04	3.097e-04	1.36
EPI_ISL_571001	8.503e-05	1.684e-04	3.407e-04	1.49
EPI_ISL_1041090	9.938e-05	2.020e-04	3.574e-04	1.57
EPI_ISL_2215808	1.586e-04	2.697e-04	3.447e-04	1.51
NODE_0000042	7.369e-06	3.171e-18	2.279e-04	1.00
NODE_0000046	2.074e-05	3.171e-18	2.283e-04	1.00
EPI_ISL_5087499	8.091e-05	3.406e-18	2.283e-05	0.10
EPI_ISL_1732380	1.620e-04	3.402e-18	2.283e-05	0.10
NODE_0000049	2.057e-05	3.171e-18	2.281e-04	1.00
EPI_ISL_1592250	1.709e-04	2.695e-04	2.737e-04	1.20
EPI_ISL_2759281	1.023e-04	1.685e-04	2.469e-04	1.08
NODE_0000008	1.125e-06	3.351e-05	2.456e-04	1.08
EPI_ISL_5441521	1.160e-04	2.695e-04	3.731e-04	1.63
NODE_0000011	1.523e-04	4.023e-04	4.459e-04	1.95
EPI_ISL_804745	3.041e-05	6.736e-05	2.823e-04	1.24
EPI_ISL_1708748	1.543e-05	6.739e-05	2.880e-04	1.26
NODE_0000000	4.970e-05	1.676e-04	3.604e-04	1.58
EPI_ISL_517915	5.258e-05	1.010e-04	3.098e-04	1.36
EPI_ISL_517951	5.009e-05	3.367e-05	1.913e-04	0.84
EPI_ISL_570647	5.944e-05	1.684e-04	3.729e-04	1.63
NODE_0000001	4.954e-05	3.351e-05	2.390e-04	1.05
EPI_ISL_765823	8.976e-05	1.684e-04	3.142e-04	1.38
EPI_ISL_935447	7.790e-05	1.347e-04	2.895e-04	1.27
NODE_0000007	2.041e-05	3.351e-05	2.540e-04	1.11
EPI_ISL_769879	4.964e-05	6.734e-05	2.560e-04	1.12
EPI_ISL_1324274	6.960e-05	2.020e-04	3.920e-04	1.72
NODE_0000050	4.899e-05	3.188e-18	2.283e-04	1.00
EPI_ISL_2290188	9.529e-05	3.367e-05	7.399e-05	0.32
EPI_ISL_568675	3.915e-05	3.367e-05	1.232e-04	0.54
NODE_0000073	6.487e-06	3.351e-05	2.477e-04	1.08
EPI_ISL_1315603	1.650e-04	2.357e-04	2.825e-04	1.24
EPI_ISL_2223916	9.642e-05	1.684e-04	2.967e-04	1.30
EPI_ISL_789755	1.239e-04	2.357e-04	3.324e-04	1.46
EPI_ISL_677117	1.095e-04	3.031e-04	4.127e-04	1.81
EPI_ISL_3098674	9.018e-05	2.021e-04	3.436e-04	1.50
EPI_ISL_789921	1.139e-04	2.024e-04	3.112e-04	1.36
NODE_0000093	2.084e-05	1.005e-04	3.198e-04	1.40
EPI_ISL_547616	7.121e-05	1.683e-04	3.534e-04	1.55
EPI_ISL_723514	1.486e-04	4.715e-04	5.065e-04	2.22
NODE_0000096	7.702e-06	3.351e-05	2.377e-04	1.04
EPI_ISL_6266657	1.049e-04	2.359e-04	3.884e-04	1.70
NODE_0000097	2.007e-05	3.351e-05	2.537e-04	1.11
EPI_ISL_787039	1.285e-04	2.360e-04	3.543e-04	1.55
EPI_ISL_2223172	7.738e-05	2.020e-04	3.859e-04	1.69
NODE_0000099	3.411e-05	3.351e-05	2.492e-04	1.09
EPI_ISL_1225268	1.145e-04	1.010e-04	1.990e-04	0.87
EPI_ISL_4750185	1.101e-04	2.359e-04	3.679e-04	1.61
NODE_0000119	7.024e-06	3.351e-05	2.364e-04	1.04
EPI_ISL_1202068	1.250e-04	2.358e-04	3.639e-04	1.59
EPI_ISL_937115	1.368e-04	2.694e-04	3.798e-04	1.66
EPI_ISL_1500720	4.370e-04	5.728e-04	2.969e-04	1.30
EPI_ISL_653447	8.814e-05	1.347e-04	3.029e-04	1.33
EPI_ISL_3637502	1.780e-04	5.054e-04	5.058e-04	2.22
NODE_0000121	6.653e-06	3.351e-05	2.494e-04	1.09
EPI_ISL_653398	7.775e-05	2.357e-04	4.174e-04	1.83
EPI_ISL_769909	7.900e-05	2.021e-04	3.901e-04	1.71
NODE_0000130	2.042e-05	3.351e-05	2.524e-04	1.11
EPI_ISL_784895	1.438e-04	2.024e-04	2.928e-04	1.28
EPI_ISL_5085405	7.147e-05	2.694e-04	4.387e-04	1.92
NODE_0000132	8.234e-05	2.346e-04	4.135e-04	1.81
EPI_ISL_1113044	1.079e-05	3.429e-18	2.020e-04	0.88
EPI_ISL_2426675	7.673e-06	3.367e-05	2.503e-04	1.10
NODE_0000125	2.049e-05	3.351e-05	2.537e-04	1.11
EPI_ISL_5868942	1.257e-04	4.042e-04	4.901e-04	2.15
NODE_0000126	6.495e-05	1.005e-04	2.874e-04	1.26
EPI_ISL_667335	3.016e-05	3.367e-05	2.324e-04	1.02
EPI_ISL_1170985	7.258e-05	1.348e-04	3.240e-04	1.42
NODE_0000133	1.323e-05	1.005e-04	3.074e-04	1.35
EPI_ISL_787692	1.242e-04	1.686e-04	3.065e-04	1.34
EPI_ISL_786471	1.298e-04	3.426e-18	2.283e-05	0.10
EPI_ISL_788128	9.924e-05	6.748e-05	1.940e-04	0.85
EPI_ISL_787665	1.229e-04	1.011e-04	2.168e-04	0.95
NODE_0000137	2.151e-05	6.702e-05	2.750e-04	1.20
EPI_ISL_787150	7.086e-05	3.034e-04	4.575e-04	2.00
NODE_0000138	1.414e-05	3.351e-05	2.531e-04	1.11
NODE_0000140	3.432e-05	6.702e-05	2.869e-04	1.26
EPI_ISL_751751	9.040e-05	2.021e-04	3.767e-04	1.65
EPI_ISL_2497043	7.542e-05	1.010e-04	2.767e-04	1.21
NODE_0000141	3.413e-05	6.702e-05	2.873e-04	1.26
EPI_ISL_936725	3.126e-04	3.707e-04	2.757e-04	1.21
EPI_ISL_3274326	6.937e-05	1.684e-04	3.660e-04	1.60
NODE_0000142	6.991e-05	1.341e-04	3.093e-04	1.35
NODE_0000144	2.159e-05	3.351e-05	2.514e-04	1.10
EPI_ISL_1527631	2.698e-05	3.367e-05	2.503e-04	1.10
EPI_ISL_1527632	2.698e-05	3.434e-18	1.612e-04	0.71
NODE_0000069	2.159e-05	3.203e-18	2.283e-04	1.00
EPI_ISL_1527633	2.698e-05	3.435e-18	1.204e-04	0.53
EPI_ISL_1527630	2.698e-05	3.437e-18	1.204e-04	0.53
NODE_0000074	1.033e-06	3.178e-18	1.068e-04	0.47
NODE_0000075	6.125e-06	3.178e-18	2.282e-04	1.00
NODE_0000076	2.808e-05	3.178e-18	2.283e-04	1.00
NODE_0000077	6.820e-06	3.178e-18	2.283e-04	1.00
EPI_ISL_5087225	5.935e-05	6.737e-05	1.976e-04	0.87
EPI_ISL_5087029	5.498e-05	6.736e-05	2.048e-04	0.90
NODE_0000078	6.658e-06	3.178e-18	2.283e-04	1.00
EPI_ISL_5087287	5.951e-05	1.010e-04	2.565e-04	1.12
EPI_ISL_3410596	1.456e-04	6.735e-05	1.079e-04	0.47
NODE_0000080	2.826e-05	3.178e-18	2.283e-04	1.00
NODE_0000081	1.335e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_2217302	1.319e-04	3.368e-05	6.296e-05	0.28
EPI_ISL_786392	9.942e-05	6.743e-05	1.381e-04	0.60
NODE_0000082	6.821e-06	3.178e-18	2.283e-04	1.00
EPI_ISL_784818	1.297e-04	1.686e-04	2.489e-04	1.09
NODE_0000079	8.492e-05	1.005e-04	2.280e-04	1.00
EPI_ISL_2193539	8.563e-06	3.367e-05	2.541e-04	1.11
EPI_ISL_2193675	8.563e-06	3.415e-18	1.850e-04	0.81
NODE_0000084	6.928e-06	3.178e-18	2.283e-04	1.00
NODE_0000087	1.353e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_1140087	7.493e-05	1.347e-04	3.105e-04	1.36
NODE_0000085	1.963e-05	6.702e-05	2.767e-04	1.21
EPI_ISL_789723	8.213e-05	1.010e-04	2.897e-04	1.27
NODE_0000086	4.178e-05	3.351e-05	2.504e-04	1.10
EPI_ISL_5085381	1.601e-05	3.367e-05	2.512e-04	1.10
NODE_0000089	1.435e-05	6.702e-05	2.885e-04	1.26
EPI_ISL_786717	5.531e-05	3.367e-05	1.983e-04	0.87
EPI_ISL_787472	4.346e-05	6.733e-05	2.846e-04	1.25
NODE_0000088	1.337e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_751788	7.750e-05	3.367e-05	1.147e-04	0.50
EPI_ISL_785732	6.066e-05	3.368e-05	1.377e-04	0.60
NODE_0000091	1.325e-05	3.178e-18	1.583e-04	0.69
NODE_0000092	2.056e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_788423	7.585e-05	3.371e-05	1.332e-04	0.58
EPI_ISL_2193676	9.395e-05	6.734e-05	1.794e-04	0.79
NODE_0000094	1.476e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_5086066	6.168e-05	3.369e-05	1.678e-04	0.73
NODE_0000095	5.690e-06	3.178e-18	2.282e-04	1.00
EPI_ISL_2223893	5.475e-05	3.369e-05	1.717e-04	0.75
NODE_0000098	-1.407e-07	3.178e-18	8.701e-05	0.38
NODE_0000100	3.768e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_2193671	5.651e-05	3.367e-05	1.855e-04	0.81
NODE_0000101	2.322e-05	3.178e-18	1.881e-04	0.82
EPI_ISL_784798	6.823e-05	3.422e-18	4.347e-05	0.19
NODE_0000102	1.395e-05	3.178e-18	2.283e-04	1.00
EPI_ISL_788620	2.625e-10	3.413e-18	1.779e-04	0.78
EPI_ISL_787798	2.870e-05	3.432e-18	8.158e-05	0.36
NODE_0000103	1.979e-05	3.178e-18	2.274e-04	1.00
EPI_ISL_784788	1.093e-04	3.437e-18	3.197e-05	0.14
NODE_0000104	5.932e-06	3.178e-18	2.274e-04	1.00
EPI_ISL_786943	8.718e-05	3.428e-18	4.720e-05	0.21
NODE_0000105	1.404e-05	3.178e-18	2.274e-04	1.00
EPI_ISL_786954	7.314e-05	3.418e-18	4.967e-05	0.22
NODE_0000106	6.612e-06	3.178e-18	2.274e-04	1.00
EPI_ISL_5086662	9.140e-06	3.411e-18	2.181e-04	0.96
NODE_0000107	1.562e-06	3.178e-18	2.274e-04	1.00
EPI_ISL_801969	3.253e-05	3.399e-18	1.317e-04	0.58
NODE_0000108	4.459e-06	3.178e-18	2.283e-04	1.00
EPI_ISL_583477	0.000e+00	3.405e-18	2.273e-04	1.00
NODE_0000109	4.180e-05	3.178e-18	2.280e-04	1.00
EPI_ISL_3410543	4.804e-05	3.405e-18	3.027e-05	0.13
EPI_ISL_2193493	0.000e+00	3.408e-18	9.320e-05	0.41
NODE_0000145	8.343e-06	3.351e-05	2.491e-04	1.09
NODE_0000146	9.498e-05	7.378e-04	6.505e-04	2.85
EPI_ISL_925321	4.674e-05	3.369e-05	2.412e-04	1.06
EPI_ISL_925318	4.612e-05	3.369e-05	2.422e-04	1.06
EPI_ISL_925332	4.674e-05	1.011e-04	3.162e-04	1.39
EPI_ISL_925357	4.549e-05	3.369e-05	2.433e-04	1.07
EPI_ISL_2834697	3.551e-05	3.369e-05	2.539e-04	1.11
EPI_ISL_925330	4.612e-05	3.369e-05	2.422e-04	1.06
EPI_ISL_925325	4.612e-05	3.369e-05	2.422e-04	1.06
EPI_ISL_925326	4.674e-05	3.369e-05	2.412e-04	1.06
NODE_0000178	4.135e-05	3.352e-05	2.455e-04	1.08
EPI_ISL_925317	5.396e-06	3.440e-18	2.268e-04	0.99
EPI_ISL_925329	5.396e-06	3.436e-18	2.268e-04	0.99
NODE_0000180	2.162e-05	3.352e-05	2.514e-04	1.10
EPI_ISL_925355	2.325e-05	3.369e-05	2.542e-04	1.11
EPI_ISL_925323	2.450e-05	3.369e-05	2.539e-04	1.11
NODE_0000182	2.055e-05	3.352e-05	2.536e-04	1.11
EPI_ISL_925342	2.698e-06	3.438e-18	2.268e-04	0.99
EPI_ISL_925353	2.698e-06	3.440e-18	2.268e-04	0.99
NODE_0000115	6.578e-06	3.700e-22	1.723e-04	0.75
NODE_0000116	7.107e-06	3.700e-22	2.276e-04	1.00
EPI_ISL_925310	3.368e-05	3.433e-18	2.181e-04	0.96
NODE_0000117	7.097e-06	3.700e-22	2.282e-04	1.00
EPI_ISL_925333	2.596e-05	3.432e-18	2.214e-04	0.97
NODE_0000118	2.108e-07	3.700e-22	2.283e-04	1.00
NODE_0000120	1.489e-05	3.700e-22	2.282e-04	1.00
NODE_0000122	6.292e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925343	2.698e-06	3.434e-18	2.262e-04	0.99
EPI_ISL_925341	2.698e-06	3.432e-18	2.262e-04	0.99
NODE_0000123	6.292e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925337	2.698e-06	3.429e-18	2.262e-04	0.99
EPI_ISL_925344	2.698e-06	3.433e-18	2.262e-04	0.99
NODE_0000124	1.495e-05	3.700e-22	2.283e-04	1.00
NODE_0000127	6.849e-06	3.700e-22	2.280e-04	1.00
EPI_ISL_925334	2.698e-06	3.434e-18	2.266e-04	0.99
EPI_ISL_925359	2.698e-06	3.429e-18	2.266e-04	0.99
NODE_0000128	6.225e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925336	2.698e-06	3.436e-18	2.259e-04	0.99
EPI_ISL_925314	2.698e-06	3.435e-18	2.259e-04	0.99
NODE_0000129	7.262e-06	3.700e-22	2.264e-04	0.99
NODE_0000131	2.176e-05	3.700e-22	2.273e-04	1.00
EPI_ISL_925331	1.114e-05	3.433e-18	2.264e-04	0.99
NODE_0000134	5.464e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925340	5.680e-06	3.432e-18	2.268e-04	0.99
NODE_0000135	1.532e-06	3.700e-22	2.280e-04	1.00
EPI_ISL_925311	5.396e-06	3.437e-18	2.269e-04	0.99
EPI_ISL_925313	5.396e-06	3.433e-18	2.269e-04	0.99
NODE_0000136	6.329e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925328	2.657e-05	3.438e-18	2.231e-04	0.98
NODE_0000139	2.323e-07	3.700e-22	2.283e-04	1.00
EPI_ISL_925312	2.634e-05	3.432e-18	2.231e-04	0.98
NODE_0000143	1.454e-05	3.700e-22	2.283e-04	1.00
NODE_0000147	3.835e-07	3.700e-22	2.278e-04	1.00
NODE_0000148	6.746e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925320	4.046e-06	3.430e-18	2.268e-04	0.99
EPI_ISL_925319	4.046e-06	3.432e-18	2.268e-04	0.99
NODE_0000149	6.746e-06	3.700e-22	2.283e-04	1.00
EPI_ISL_925309	4.046e-06	3.435e-18	2.268e-04	0.99
EPI_ISL_925316	4.046e-06	3.441e-18	2.268e-04	0.99
NODE_0000150	6.312e-07	3.700e-22	2.283e-04	1.00
NODE_0000151	7.222e-06	3.700e-22	2.282e-04	1.00
EPI_ISL_925347	2.698e-06	3.430e-18	2.265e-04	0.99
EPI_ISL_925315	2.698e-06	3.432e-18	2.265e-04	0.99
NODE_0000152	7.222e-06	3.700e-22	2.282e-04	1.00
EPI_ISL_925338	2.698e-06	3.433e-18	2.265e-04	0.99
EPI_ISL_925360	2.698e-06	3.432e-18	2.265e-04	0.99
NODE_0000183	5.525e-06	3.351e-05	2.512e-04	1.10
NODE_0000184	3.507e-05	1.340e-04	3.419e-04	1.50
EPI_ISL_2896203	5.933e-05	3.424e-18	8.856e-05	0.39
NODE_0000185	2.744e-05	3.351e-05	2.380e-04	1.04
EPI_ISL_2896209	3.438e-05	6.735e-05	2.790e-04	1.22
NODE_0000153	2.089e-05	3.190e-18	2.283e-04	1.00
EPI_ISL_2896210	1.349e-05	3.423e-18	1.883e-04	0.82
NODE_0000154	1.272e-05	3.190e-18	2.283e-04	1.00
EPI_ISL_2834938	5.140e-06	3.422e-18	1.702e-04	0.75
EPI_ISL_2834937	5.140e-06	3.423e-18	1.702e-04	0.75
NODE_0000189	1.388e-05	3.351e-05	2.520e-04	1.10
EPI_ISL_2896205	4.545e-05	3.367e-05	2.337e-04	1.02
NODE_0000190	2.705e-05	6.702e-05	2.855e-04	1.25
EPI_ISL_2896204	1.840e-05	3.367e-05	2.525e-04	1.11
NODE_0000157	6.322e-06	3.196e-18	2.283e-04	1.00
EPI_ISL_2896208	1.457e-05	3.428e-18	1.964e-04	0.86
NODE_0000158	7.448e-06	3.196e-18	2.283e-04	1.00
EPI_ISL_2896207	7.122e-06	3.428e-18	1.964e-04	0.86
EPI_ISL_2896206	4.626e-06	3.429e-18	2.055e-04	0.90
NODE_0000193	2.744e-05	6.701e-05	2.883e-04	1.26
NODE_0000194	1.055e-04	2.347e-04	3.736e-04	1.64
EPI_ISL_2834701	1.079e-05	3.414e-18	2.157e-04	0.94
EPI_ISL_2834702	1.079e-05	3.413e-18	2.157e-04	0.94
NODE_0000195	6.285e-05	1.675e-04	3.649e-04	1.60
