#node	clock_length	mutation_length	rate	fold_change
NODE_0000034	1.614e-04	2.348e-04	7.074e-04	1.37
EPI_ISL_3322074	5.574e-04	4.709e-04	4.239e-04	0.82
NODE_0000032	7.014e-05	1.342e-04	7.000e-04	1.35
NODE_0000033	1.725e-04	4.362e-04	8.949e-04	1.73
EPI_ISL_5779742	4.354e-04	3.029e-04	3.932e-04	0.76
EPI_ISL_9347713	5.121e-04	5.380e-04	5.714e-04	1.10
NODE_0000031	8.333e-05	3.355e-04	8.895e-04	1.72
EPI_ISL_5988391	4.721e-04	4.374e-04	4.843e-04	0.93
NODE_0000005	4.454e-06	3.354e-05	6.548e-04	1.26
NODE_0000006	5.911e-04	7.386e-04	7.034e-04	1.36
EPI_ISL_9654523	1.420e-06	2.091e-22	5.173e-04	1.00
EPI_ISL_9654019	0.000e+00	2.091e-22	5.182e-04	1.00
NODE_0000030	8.328e-05	1.342e-04	6.553e-04	1.26
EPI_ISL_5151481	3.531e-04	2.018e-04	3.830e-04	0.74
EPI_ISL_9347726	5.135e-04	3.362e-04	4.011e-04	0.77
NODE_0000000	7.183e-05	1.677e-04	8.422e-04	1.63
EPI_ISL_4260077	3.603e-04	2.017e-04	3.484e-04	0.67
EPI_ISL_8643727	5.605e-04	2.690e-04	2.817e-04	0.54
NODE_0000002	2.967e-04	1.677e-04	3.663e-04	0.71
EPI_ISL_6079297	1.658e-04	1.008e-04	3.433e-04	0.66
EPI_ISL_5376949	1.544e-04	1.681e-04	5.532e-04	1.07
NODE_0000004	2.979e-04	3.020e-04	6.150e-04	1.19
EPI_ISL_9347715	2.300e-04	3.363e-04	7.070e-04	1.36
EPI_ISL_9388141	2.342e-04	2.017e-04	4.514e-04	0.87
NODE_0000009	4.714e-05	6.709e-05	6.228e-04	1.20
NODE_0000010	3.886e-05	6.708e-05	5.343e-04	1.03
EPI_ISL_9050787	5.293e-04	1.345e-04	1.653e-04	0.32
NODE_0000011	4.925e-04	3.691e-04	4.674e-04	0.90
EPI_ISL_9388142	2.698e-06	2.179e-22	5.148e-04	0.99
EPI_ISL_9388143	2.698e-06	2.179e-22	5.148e-04	0.99
NODE_0000012	3.349e-05	3.354e-05	5.620e-04	1.08
EPI_ISL_7088388	4.736e-04	3.361e-05	5.182e-05	0.10
NODE_0000013	4.797e-05	3.354e-05	5.336e-04	1.03
EPI_ISL_9347727	4.810e-04	4.707e-04	5.377e-04	1.04
EPI_ISL_3847594	2.936e-04	2.689e-04	5.234e-04	1.01
NODE_0000014	3.338e-05	3.354e-05	5.726e-04	1.11
NODE_0000019	5.086e-05	6.709e-05	6.381e-04	1.23
EPI_ISL_9347716	5.126e-04	6.726e-04	7.081e-04	1.37
EPI_ISL_7940234	4.998e-04	3.362e-04	3.814e-04	0.74
NODE_0000020	9.311e-05	1.006e-04	6.200e-04	1.20
EPI_ISL_9347718	4.661e-04	5.381e-04	6.254e-04	1.21
EPI_ISL_5259182	3.738e-04	1.681e-04	2.655e-04	0.51
NODE_0000015	1.437e-04	1.342e-04	4.331e-04	0.84
EPI_ISL_3812687	2.593e-04	6.725e-05	2.118e-04	0.41
NODE_0000016	1.424e-04	6.709e-05	4.940e-04	0.95
EPI_ISL_8371424	2.787e-04	2.690e-04	5.022e-04	0.97
EPI_ISL_9347712	2.617e-04	2.691e-04	5.309e-04	1.02
EPI_ISL_9388144	2.815e-04	4.709e-04	8.055e-04	1.55
NODE_0000022	6.387e-05	6.708e-05	6.165e-04	1.19
EPI_ISL_5079396	4.208e-04	2.017e-04	2.876e-04	0.55
EPI_ISL_3404893	3.640e-04	2.354e-04	3.882e-04	0.75
EPI_ISL_9347728	5.471e-04	2.353e-04	2.505e-04	0.48
NODE_0000025	3.261e-04	2.684e-04	4.711e-04	0.91
EPI_ISL_9651352	1.642e-04	2.017e-04	6.467e-04	1.25
EPI_ISL_9650712	1.387e-04	1.008e-04	4.380e-04	0.85
NODE_0000027	1.868e-05	3.354e-05	5.583e-04	1.08
EPI_ISL_9347725	5.228e-04	2.689e-04	3.026e-04	0.58
NODE_0000028	1.026e-04	6.708e-05	4.348e-04	0.84
EPI_ISL_4996709	2.980e-04	3.025e-04	5.778e-04	1.12
EPI_ISL_4340037	2.668e-04	6.721e-05	1.688e-04	0.33
NODE_0000035	1.389e-04	1.677e-04	5.922e-04	1.14
EPI_ISL_2825487	3.783e-04	5.386e-04	6.825e-04	1.32
NODE_0000037	5.897e-04	1.413e-03	1.089e-03	2.10
EPI_ISL_9047305	2.343e-04	6.735e-05	1.908e-04	0.37
NODE_0000038	1.379e-04	2.687e-04	9.279e-04	1.79
EPI_ISL_9414678	1.007e-04	1.010e-04	5.011e-04	0.97
EPI_ISL_9414679	1.007e-04	3.366e-05	2.237e-04	0.43
