#node	clock_length	mutation_length	rate	fold_change
EPI_ISL_730649	2.881e-04	2.707e-04	9.956e-04	1.65
NODE_0000000	5.102e-05	1.007e-04	8.160e-04	1.35
EPI_ISL_5914635	2.074e-04	1.692e-04	9.910e-04	1.64
EPI_ISL_745336	2.717e-04	2.030e-04	8.688e-04	1.44
EPI_ISL_751474	2.503e-04	2.369e-04	1.048e-03	1.73
NODE_0000002	-8.034e-07	2.184e-17	6.038e-04	1.00
NODE_0000003	1.348e-05	2.184e-17	6.038e-04	1.00
EPI_ISL_2756843	1.914e-04	6.766e-05	7.171e-04	1.19
EPI_ISL_2757254	2.178e-04	3.383e-05	3.680e-04	0.61
NODE_0000005	1.855e-05	3.357e-05	6.718e-04	1.11
EPI_ISL_2595951	2.325e-04	3.722e-04	1.312e-03	2.17
EPI_ISL_10036494	2.358e-04	2.182e-17	7.870e-05	0.13
EPI_ISL_10036491	2.375e-04	6.766e-05	5.055e-04	0.84
EPI_ISL_1392906	2.276e-04	2.181e-17	9.557e-05	0.16
EPI_ISL_10036487	2.358e-04	1.692e-04	9.071e-04	1.50
EPI_ISL_10036490	2.358e-04	3.383e-05	3.214e-04	0.53
EPI_ISL_10036493	2.358e-04	1.015e-04	6.696e-04	1.11
EPI_ISL_10036488	2.358e-04	3.383e-05	3.214e-04	0.53
