#node	clock_length	mutation_length	rate	fold_change
NODE_0000913	7.600e-05	1.001e-04	1.840e-04	0.67
EPI_ISL_641513	9.283e-05	6.696e-05	3.127e-04	1.14
EPI_ISL_3050761	1.011e-04	6.696e-05	2.934e-04	1.07
NODE_0000983	1.320e-04	2.004e-04	4.312e-04	1.57
EPI_ISL_683077	2.153e-05	9.397e-17	2.358e-04	0.86
EPI_ISL_683076	2.153e-05	3.348e-05	3.046e-04	1.11
NODE_0000917	7.659e-05	6.676e-05	3.262e-04	1.19
EPI_ISL_641516	7.989e-05	2.010e-04	4.707e-04	1.72
NODE_0000006	1.399e-05	9.290e-17	2.692e-04	0.98
EPI_ISL_641509	2.247e-06	9.397e-17	2.728e-04	1.00
EPI_ISL_617578	0.000e+00	9.394e-17	2.741e-04	1.00
NODE_0000919	5.625e-05	1.335e-04	4.161e-04	1.52
NODE_0000920	3.963e-05	6.676e-05	3.450e-04	1.26
EPI_ISL_641479	2.091e-05	9.399e-17	2.412e-04	0.88
EPI_ISL_641480	2.091e-05	6.696e-05	3.267e-04	1.19
NODE_0000009	3.854e-05	9.292e-17	2.341e-04	0.85
EPI_ISL_615653	2.201e-05	3.348e-05	3.002e-04	1.10
EPI_ISL_641491	2.276e-05	9.399e-17	1.899e-04	0.69
NODE_0000923	3.775e-05	6.677e-05	3.412e-04	1.24
EPI_ISL_616802	7.069e-06	9.405e-17	2.741e-04	1.00
NODE_0000924	1.231e-05	3.338e-05	2.928e-04	1.07
EPI_ISL_616402	0.000e+00	9.406e-17	2.741e-04	1.00
EPI_ISL_615743	5.242e-06	9.407e-17	2.675e-04	0.98
NODE_0000939	4.558e-05	1.001e-04	3.802e-04	1.39
EPI_ISL_616369	6.073e-05	6.695e-05	3.436e-04	1.25
EPI_ISL_641473	6.747e-05	1.004e-04	3.793e-04	1.38
NODE_0000947	4.762e-05	3.338e-05	3.032e-04	1.11
EPI_ISL_622061	2.360e-05	6.696e-05	3.424e-04	1.25
EPI_ISL_641474	1.985e-05	9.402e-17	2.225e-04	0.81
NODE_0000014	4.072e-05	9.290e-17	2.481e-04	0.91
NODE_0000943	3.555e-05	3.338e-05	2.939e-04	1.07
EPI_ISL_641441	7.676e-06	3.352e-05	2.991e-04	1.09
EPI_ISL_641457	9.362e-07	9.415e-17	2.735e-04	1.00
NODE_0000016	1.573e-05	9.290e-17	2.346e-04	0.86
NODE_0000017	9.530e-06	9.290e-17	2.734e-04	1.00
EPI_ISL_641471	1.498e-06	9.398e-17	2.735e-04	1.00
EPI_ISL_615543	0.000e+00	9.397e-17	2.741e-04	1.00
NODE_0000018	2.542e-05	9.290e-17	2.333e-04	0.85
EPI_ISL_668790	3.129e-05	9.395e-17	1.306e-04	0.48
EPI_ISL_618554	1.556e-05	3.349e-05	3.029e-04	1.10
NODE_0000949	6.894e-05	6.676e-05	3.455e-04	1.26
EPI_ISL_682396	4.945e-05	6.696e-05	3.139e-04	1.15
EPI_ISL_683140	4.496e-05	6.696e-05	3.235e-04	1.18
EPI_ISL_669777	3.897e-05	1.004e-04	3.834e-04	1.40
NODE_0000957	1.754e-05	6.677e-05	3.452e-04	1.26
EPI_ISL_617065	1.619e-05	9.402e-17	2.480e-04	0.90
EPI_ISL_669780	2.143e-05	6.696e-05	3.362e-04	1.23
NODE_0000025	4.990e-06	9.297e-17	2.578e-04	0.94
NODE_0000026	4.773e-06	9.297e-17	2.734e-04	1.00
EPI_ISL_714390	4.493e-05	9.405e-17	9.710e-05	0.35
EPI_ISL_641464	0.000e+00	9.405e-17	2.741e-04	1.00
NODE_0000027	3.257e-06	9.297e-17	2.676e-04	0.98
EPI_ISL_682996	2.548e-05	3.348e-05	3.015e-04	1.10
NODE_0000031	7.523e-06	9.297e-17	2.585e-04	0.94
NODE_0000032	7.472e-06	9.297e-17	2.733e-04	1.00
EPI_ISL_670697	0.000e+00	9.405e-17	2.741e-04	1.00
EPI_ISL_619085	0.000e+00	9.396e-17	2.741e-04	1.00
NODE_0000033	7.164e-06	9.297e-17	2.698e-04	0.98
EPI_ISL_670718	1.079e-05	9.405e-17	2.589e-04	0.94
EPI_ISL_625861	1.079e-05	9.406e-17	2.589e-04	0.94
NODE_0000961	6.097e-06	3.338e-05	2.955e-04	1.08
EPI_ISL_683090	3.062e-05	6.700e-05	3.452e-04	1.26
EPI_ISL_683313	1.864e-05	3.348e-05	3.036e-04	1.11
EPI_ISL_668769	4.336e-05	1.004e-04	3.808e-04	1.39
EPI_ISL_641402	2.988e-05	3.351e-05	2.840e-04	1.04
EPI_ISL_641400	2.988e-05	3.348e-05	2.839e-04	1.04
NODE_0000962	2.116e-05	6.676e-05	3.459e-04	1.26
EPI_ISL_747742	3.792e-05	6.695e-05	3.422e-04	1.25
EPI_ISL_1895190	3.792e-05	3.351e-05	2.731e-04	1.00
NODE_0000965	2.239e-05	3.338e-05	2.989e-04	1.09
EPI_ISL_683289	0.000e+00	9.412e-17	2.741e-04	1.00
EPI_ISL_683288	0.000e+00	9.414e-17	2.741e-04	1.00
NODE_0000037	4.744e-06	9.302e-17	2.630e-04	0.96
NODE_0000040	4.163e-06	9.302e-17	2.733e-04	1.00
EPI_ISL_641442	0.000e+00	9.424e-17	2.741e-04	1.00
EPI_ISL_668785	2.921e-05	3.348e-05	2.848e-04	1.04
NODE_0000041	1.933e-06	9.302e-17	2.583e-04	0.94
NODE_0000042	1.047e-05	9.302e-17	2.733e-04	1.00
EPI_ISL_619618	0.000e+00	9.409e-17	2.741e-04	1.00
EPI_ISL_619075	0.000e+00	9.410e-17	2.741e-04	1.00
NODE_0000043	1.016e-05	9.302e-17	2.700e-04	0.99
EPI_ISL_669782	1.603e-05	9.410e-17	2.358e-04	0.86
EPI_ISL_682989	1.079e-05	9.410e-17	2.585e-04	0.94
NODE_0000976	6.570e-06	3.338e-05	2.947e-04	1.08
EPI_ISL_641404	1.657e-05	9.412e-17	2.199e-04	0.80
EPI_ISL_683149	3.229e-05	6.695e-05	3.437e-04	1.25
NODE_0000978	1.267e-05	1.002e-04	3.367e-04	1.23
EPI_ISL_668825	1.888e-05	3.348e-05	3.024e-04	1.10
EPI_ISL_641408	4.647e-06	9.412e-17	2.671e-04	0.97
EPI_ISL_641413	5.396e-06	9.412e-17	2.651e-04	0.97
EPI_ISL_683239	4.647e-06	9.420e-17	2.671e-04	0.97
EPI_ISL_1872304	8.391e-06	6.695e-05	3.162e-04	1.15
NODE_0000984	2.548e-05	3.338e-05	3.046e-04	1.11
EPI_ISL_615996	7.559e-05	6.696e-05	3.282e-04	1.20
NODE_0000047	5.122e-05	9.286e-17	1.514e-04	0.55
EPI_ISL_683095	3.037e-05	3.348e-05	3.031e-04	1.11
NODE_0000048	1.389e-05	9.286e-17	2.727e-04	0.99
EPI_ISL_683093	1.198e-05	9.394e-17	2.426e-04	0.89
EPI_ISL_617504	0.000e+00	9.393e-17	2.741e-04	1.00
NODE_0000988	3.023e-05	6.676e-05	3.423e-04	1.25
EPI_ISL_641493	6.184e-05	1.004e-04	3.833e-04	1.40
NODE_0000050	5.309e-05	9.280e-17	1.229e-04	0.45
NODE_0000051	2.910e-05	9.280e-17	1.752e-04	0.64
EPI_ISL_683142	2.158e-05	9.389e-17	2.045e-04	0.75
