#node	clock_length	mutation_length	rate	fold_change
NODE_0000018	3.592e-04	4.372e-04	7.826e-04	1.04
NODE_0000019	1.556e-04	2.018e-04	9.280e-04	1.23
EPI_ISL_984307	8.578e-05	1.352e-04	1.108e-03	1.47
NODE_0000020	8.308e-05	3.362e-05	5.583e-04	0.74
EPI_ISL_984305	2.702e-06	1.316e-17	7.375e-04	0.98
EPI_ISL_1034274	1.510e-05	3.381e-05	8.395e-04	1.11
NODE_0000007	2.629e-05	1.352e-17	8.355e-04	1.11
EPI_ISL_732949	6.863e-05	3.381e-05	7.462e-04	0.99
NODE_0000022	3.484e-05	3.362e-05	8.195e-04	1.09
NODE_0000023	2.322e-05	3.362e-05	8.109e-04	1.08
EPI_ISL_732951	1.056e-05	1.316e-17	7.351e-04	0.97
EPI_ISL_732954	1.056e-05	3.381e-05	8.049e-04	1.07
NODE_0000011	2.029e-05	1.353e-17	7.035e-04	0.93
EPI_ISL_732953	1.349e-05	1.316e-17	7.493e-04	0.99
NODE_0000012	1.349e-05	1.353e-17	7.542e-04	1.00
EPI_ISL_732957	0.000e+00	1.316e-17	7.493e-04	0.99
EPI_ISL_732952	0.000e+00	1.316e-17	7.493e-04	0.99
NODE_0000017	2.169e-04	2.017e-04	5.269e-04	0.70
NODE_0000026	2.095e-04	2.354e-04	5.632e-04	0.75
NODE_0000028	5.754e-05	1.009e-04	1.049e-03	1.39
EPI_ISL_4518087	2.178e-04	1.352e-04	4.502e-04	0.60
NODE_0000029	-4.081e-06	3.362e-05	8.293e-04	1.10
EPI_ISL_1502687	2.095e-04	5.411e-04	1.539e-03	2.04
EPI_ISL_1062936	1.062e-04	1.352e-04	8.025e-04	1.06
NODE_0000015	6.087e-06	1.346e-17	7.542e-04	1.00
EPI_ISL_1239751	2.135e-04	1.353e-04	4.668e-04	0.62
NODE_0000030	5.157e-05	3.362e-05	6.013e-04	0.80
EPI_ISL_1393992	1.909e-04	1.691e-04	6.332e-04	0.84
NODE_0000031	3.628e-05	1.009e-04	8.908e-04	1.18
EPI_ISL_1539187	1.422e-04	3.381e-05	2.863e-04	0.38
NODE_0000032	4.066e-05	3.362e-05	8.370e-04	1.11
EPI_ISL_1539193	1.077e-04	3.381e-05	3.046e-04	0.40
EPI_ISL_1168331	6.846e-05	2.030e-04	1.285e-03	1.70
NODE_0000034	4.986e-05	1.345e-04	1.127e-03	1.49
EPI_ISL_1168294	0.000e+00	1.312e-17	7.531e-04	1.00
EPI_ISL_1201594	1.860e-05	3.382e-05	8.363e-04	1.11
NODE_0000001	3.824e-05	3.362e-05	7.986e-04	1.06
NODE_0000000	3.725e-04	6.391e-04	1.005e-03	1.33
EPI_ISL_3218557	2.622e-04	1.352e-04	4.422e-04	0.59
EPI_ISL_2801426	2.767e-04	3.383e-04	9.451e-04	1.25
NODE_0000002	6.690e-04	9.090e-04	8.943e-04	1.19
NODE_0000003	1.156e-04	3.363e-05	7.039e-04	0.93
EPI_ISL_9640059	2.365e-04	3.384e-04	9.854e-04	1.31
EPI_ISL_7949770	2.075e-04	1.691e-04	6.009e-04	0.80
NODE_0000005	1.144e-04	6.727e-05	8.187e-04	1.09
EPI_ISL_8806201	2.603e-04	2.706e-04	8.046e-04	1.07
EPI_ISL_9640065	2.376e-04	2.368e-04	7.734e-04	1.03
NODE_0000006	8.043e-05	6.727e-05	9.451e-04	1.25
EPI_ISL_7721854	2.138e-04	3.383e-04	1.104e-03	1.46
NODE_0000013	6.320e-06	3.363e-05	8.237e-04	1.09
NODE_0000016	1.456e-05	6.727e-05	9.139e-04	1.21
EPI_ISL_6324402	1.433e-04	1.691e-04	8.561e-04	1.14
EPI_ISL_4109577	4.860e-06	6.765e-05	9.128e-04	1.21
NODE_0000033	4.092e-05	1.350e-17	7.542e-04	1.00
EPI_ISL_7880210	1.975e-04	2.368e-04	7.650e-04	1.01
NODE_0000014	1.584e-04	1.009e-04	4.605e-04	0.61
EPI_ISL_8377272	3.087e-05	3.382e-05	6.707e-04	0.89
EPI_ISL_8035358	7.220e-05	1.353e-04	1.016e-03	1.35
NODE_0000035	2.158e-05	1.349e-17	7.542e-04	1.00
EPI_ISL_8693915	2.108e-04	2.368e-04	7.735e-04	1.03
NODE_0000008	2.232e-05	3.363e-05	8.290e-04	1.10
NODE_0000009	1.758e-05	3.363e-05	8.389e-04	1.11
EPI_ISL_5860666	5.104e-05	2.030e-04	1.261e-03	1.67
EPI_ISL_5268218	2.832e-05	3.382e-05	5.385e-04	0.71
NODE_0000010	1.628e-04	1.009e-04	4.795e-04	0.64
EPI_ISL_9140759	1.146e-04	1.015e-04	6.711e-04	0.89
EPI_ISL_8693816	2.364e-05	1.314e-17	3.732e-04	0.49
EPI_ISL_8693911	2.364e-05	6.765e-05	9.449e-04	1.25
