#node	clock_length	mutation_length	rate	fold_change
NODE_0000088	1.140e-04	1.003e-04	1.040e-03	1.26
EPI_ISL_790628	4.324e-05	6.725e-05	1.039e-03	1.26
NODE_0000089	1.258e-05	3.343e-05	9.150e-04	1.11
EPI_ISL_422630	3.291e-05	1.009e-04	1.120e-03	1.35
EPI_ISL_461165	5.099e-05	1.682e-04	1.335e-03	1.61
EPI_ISL_422746	1.936e-05	3.362e-05	9.096e-04	1.10
EPI_ISL_422749	1.936e-05	3.363e-05	9.096e-04	1.10
EPI_ISL_461276	9.844e-05	1.682e-04	1.243e-03	1.50
EPI_ISL_804381	5.099e-05	1.345e-04	1.260e-03	1.52
EPI_ISL_461159	2.162e-05	3.362e-05	9.168e-04	1.11
NODE_0000110	1.091e-05	3.343e-05	9.122e-04	1.10
EPI_ISL_447629	8.753e-05	6.725e-05	7.749e-04	0.94
NODE_0000111	3.931e-05	3.343e-05	1.013e-03	1.22
EPI_ISL_447630	4.822e-05	3.362e-05	2.019e-04	0.24
NODE_0000112	1.463e-05	6.685e-05	1.026e-03	1.24
EPI_ISL_523075	2.907e-05	2.889e-22	8.055e-04	0.97
NODE_0000113	1.041e-05	1.003e-04	1.023e-03	1.24
EPI_ISL_447631	1.414e-05	1.009e-04	1.044e-03	1.26
EPI_ISL_447627	2.318e-05	6.725e-05	1.043e-03	1.26
EPI_ISL_447632	2.092e-05	3.362e-05	9.097e-04	1.10
NODE_0000009	6.229e-06	2.362e-22	6.326e-04	0.76
EPI_ISL_523070	1.243e-05	2.888e-22	8.270e-04	1.00
EPI_ISL_447628	1.695e-05	2.888e-22	8.134e-04	0.98
NODE_0000010	2.130e-06	2.360e-22	8.270e-04	1.00
NODE_0000107	1.721e-05	3.343e-05	9.050e-04	1.09
EPI_ISL_461087	9.943e-05	6.725e-05	7.208e-04	0.87
EPI_ISL_461183	7.232e-05	6.725e-05	8.986e-04	1.09
NODE_0000015	7.647e-08	2.360e-22	8.146e-04	0.98
NODE_0000016	5.871e-06	2.360e-22	8.270e-04	1.00
EPI_ISL_460792	2.258e-05	3.362e-05	9.200e-04	1.11
NODE_0000019	6.896e-06	2.360e-22	8.263e-04	1.00
EPI_ISL_460852	4.731e-05	6.725e-05	9.765e-04	1.18
NODE_0000020	5.393e-06	2.360e-22	8.269e-04	1.00
EPI_ISL_461288	1.707e-05	3.363e-05	9.061e-04	1.10
EPI_ISL_461186	7.807e-05	1.009e-04	9.542e-04	1.15
NODE_0000021	4.616e-06	2.360e-22	8.245e-04	1.00
NODE_0000024	6.833e-06	2.360e-22	8.178e-04	0.99
EPI_ISL_2708996	3.056e-05	3.366e-05	8.951e-04	1.08
NODE_0000025	8.730e-06	2.360e-22	8.237e-04	1.00
EPI_ISL_460932	3.312e-05	3.362e-05	8.350e-04	1.01
NODE_0000027	2.634e-05	2.360e-22	8.269e-04	1.00
EPI_ISL_454794	0.000e+00	2.886e-22	5.168e-04	0.62
EPI_ISL_460934	1.130e-05	2.886e-22	3.751e-04	0.45
NODE_0000028	6.156e-06	2.360e-22	8.241e-04	1.00
NODE_0000029	6.378e-06	2.360e-22	8.246e-04	1.00
EPI_ISL_2731376	6.779e-06	2.870e-22	7.971e-04	0.96
EPI_ISL_460767	0.000e+00	2.860e-22	8.270e-04	1.00
NODE_0000035	2.497e-06	2.360e-22	8.258e-04	1.00
EPI_ISL_2709002	3.100e-05	3.364e-05	8.806e-04	1.06
NODE_0000036	1.981e-05	2.360e-22	8.249e-04	1.00
EPI_ISL_1035223	1.344e-05	2.886e-22	5.022e-04	0.61
EPI_ISL_460854	6.541e-05	3.362e-05	4.915e-04	0.59
NODE_0000119	7.671e-05	3.343e-05	8.120e-04	0.98
NODE_0000120	2.042e-05	3.343e-05	8.574e-04	1.04
EPI_ISL_523116	7.588e-05	6.725e-05	6.682e-04	0.81
NODE_0000121	6.351e-05	1.337e-04	1.137e-03	1.38
EPI_ISL_522987	2.593e-05	1.009e-04	1.144e-03	1.38
NODE_0000041	2.593e-05	2.344e-22	7.829e-04	0.95
EPI_ISL_522988	0.000e+00	2.875e-22	6.185e-04	0.75
EPI_ISL_1265367	2.260e-06	2.875e-22	5.839e-04	0.71
NODE_0000123	2.139e-05	3.342e-05	8.508e-04	1.03
EPI_ISL_523097	7.039e-05	1.681e-04	1.236e-03	1.49
NODE_0000124	5.953e-05	1.003e-04	9.160e-04	1.11
EPI_ISL_523043	8.994e-05	1.345e-04	1.145e-03	1.38
EPI_ISL_523023	6.057e-05	3.362e-05	6.946e-04	0.84
EPI_ISL_523044	8.994e-05	1.009e-04	9.737e-04	1.18
EPI_ISL_523025	6.057e-05	3.362e-05	6.946e-04	0.84
NODE_0000045	6.203e-06	2.348e-22	8.235e-04	1.00
NODE_0000046	2.611e-05	2.348e-22	8.268e-04	1.00
EPI_ISL_523045	5.763e-05	3.362e-05	5.060e-04	0.61
EPI_ISL_523041	5.763e-05	3.362e-05	5.060e-04	0.61
NODE_0000048	2.066e-05	2.348e-22	5.771e-04	0.70
NODE_0000049	3.370e-05	2.348e-22	7.779e-04	0.94
EPI_ISL_523027	0.000e+00	2.878e-22	6.701e-04	0.81
EPI_ISL_523026	0.000e+00	2.884e-22	6.701e-04	0.81
NODE_0000132	4.421e-05	3.342e-05	8.281e-04	1.00
EPI_ISL_523050	2.112e-05	3.362e-05	9.064e-04	1.10
EPI_ISL_523048	2.112e-05	3.362e-05	9.064e-04	1.10
NODE_0000053	6.326e-06	2.342e-22	8.270e-04	1.00
EPI_ISL_523049	1.480e-05	2.874e-22	5.845e-04	0.71
NODE_0000135	1.127e-05	3.343e-05	9.174e-04	1.11
EPI_ISL_577754	8.035e-05	3.362e-05	4.869e-04	0.59
EPI_ISL_523084	5.098e-05	3.363e-05	6.904e-04	0.83
NODE_0000137	6.025e-05	3.344e-05	6.343e-04	0.77
EPI_ISL_577750	2.010e-05	2.859e-22	5.839e-04	0.71
NODE_0000138	6.955e-06	3.344e-05	9.175e-04	1.11
EPI_ISL_577752	1.315e-05	3.364e-05	9.059e-04	1.10
EPI_ISL_577753	1.315e-05	2.874e-22	7.709e-04	0.93
NODE_0000080	7.827e-05	6.685e-05	1.035e-03	1.25
NODE_0000086	1.508e-04	2.341e-04	1.141e-03	1.38
EPI_ISL_522995	8.408e-05	3.362e-05	8.056e-04	0.97
NODE_0000087	5.164e-05	3.342e-05	9.195e-04	1.11
EPI_ISL_522996	3.244e-05	2.857e-22	5.765e-04	0.70
EPI_ISL_522998	3.244e-05	6.725e-05	1.041e-03	1.26
NODE_0000079	3.913e-05	3.342e-05	8.959e-04	1.08
EPI_ISL_461184	1.031e-04	1.681e-04	1.197e-03	1.45
NODE_0000034	1.449e-05	6.685e-05	9.894e-04	1.20
EPI_ISL_422956	1.855e-05	1.009e-04	1.044e-03	1.26
EPI_ISL_523356	1.135e-04	1.681e-04	1.136e-03	1.37
EPI_ISL_460880	1.451e-04	2.018e-04	1.112e-03	1.34
NODE_0000047	9.261e-06	3.342e-05	9.161e-04	1.11
EPI_ISL_461224	1.200e-04	1.009e-04	7.870e-04	0.95
EPI_ISL_547497	8.837e-05	2.018e-04	1.400e-03	1.69
NODE_0000066	1.422e-06	2.325e-22	8.264e-04	1.00
NODE_0000067	7.560e-06	2.325e-22	8.270e-04	1.00
EPI_ISL_804409	1.861e-05	3.362e-05	9.045e-04	1.09
NODE_0000038	2.047e-05	3.342e-05	9.087e-04	1.10
EPI_ISL_460800	1.621e-05	3.362e-05	9.162e-04	1.11
EPI_ISL_523181	8.174e-05	3.362e-05	4.653e-04	0.56
NODE_0000069	7.332e-06	2.325e-22	8.167e-04	0.99
NODE_0000072	6.109e-05	2.325e-22	8.270e-04	1.00
EPI_ISL_523257	8.879e-05	1.681e-04	9.338e-04	1.13
NODE_0000050	9.274e-07	3.342e-05	9.010e-04	1.09
EPI_ISL_461239	2.234e-05	2.868e-22	2.044e-04	0.25
NODE_0000051	2.521e-05	1.003e-04	1.133e-03	1.37
EPI_ISL_523447	6.266e-05	3.362e-05	5.136e-04	0.62
NODE_0000052	1.747e-05	3.342e-05	8.906e-04	1.08
EPI_ISL_460986	2.711e-05	3.362e-05	8.470e-04	1.02
EPI_ISL_460951	0.000e+00	2.849e-22	8.075e-04	0.98
EPI_ISL_523168	4.293e-05	3.362e-05	7.169e-04	0.87
NODE_0000076	6.661e-06	2.325e-22	8.266e-04	1.00
NODE_0000081	5.589e-05	2.325e-22	8.270e-04	1.00
EPI_ISL_523467	4.440e-05	6.724e-05	6.152e-04	0.74
NODE_0000044	7.903e-05	6.685e-05	4.647e-04	0.56
EPI_ISL_636558	4.898e-05	3.362e-05	7.387e-04	0.89
EPI_ISL_2145531	1.665e-04	1.345e-04	7.342e-04	0.89
NODE_0000085	1.450e-05	2.325e-22	8.270e-04	1.00
EPI_ISL_523556	1.694e-04	1.345e-04	6.435e-04	0.78
NODE_0000040	2.683e-05	3.342e-05	8.245e-04	1.00
EPI_ISL_460819	4.740e-06	2.860e-22	6.701e-04	0.81
EPI_ISL_460823	4.740e-06	3.362e-05	9.201e-04	1.11
NODE_0000055	9.504e-06	3.342e-05	9.153e-04	1.11
EPI_ISL_804407	5.198e-05	2.860e-22	3.062e-04	0.37
NODE_0000056	3.463e-05	1.003e-04	1.145e-03	1.39
EPI_ISL_461293	2.865e-05	3.362e-05	8.806e-04	1.06
NODE_0000057	2.173e-05	1.003e-04	1.158e-03	1.40
EPI_ISL_461305	2.499e-05	6.724e-05	9.626e-04	1.16
NODE_0000059	6.469e-06	2.298e-22	8.270e-04	1.00
NODE_0000060	1.223e-05	2.298e-22	8.270e-04	1.00
EPI_ISL_722803	1.803e-04	1.009e-04	5.180e-04	0.63
NODE_0000061	2.663e-05	2.298e-22	8.270e-04	1.00
EPI_ISL_523650	2.711e-05	2.845e-22	2.217e-04	0.27
EPI_ISL_461383	0.000e+00	2.840e-22	4.672e-04	0.56
NODE_0000062	1.191e-05	2.298e-22	8.270e-04	1.00
EPI_ISL_523416	1.580e-04	6.725e-05	4.173e-04	0.50
NODE_0000068	1.051e-05	2.298e-22	8.270e-04	1.00
EPI_ISL_523570	3.904e-05	3.362e-05	6.760e-04	0.82
NODE_0000063	4.560e-05	3.342e-05	6.892e-04	0.83
EPI_ISL_523613	4.088e-05	3.362e-05	7.091e-04	0.86
NODE_0000064	4.183e-05	1.003e-04	1.098e-03	1.33
EPI_ISL_523616	8.094e-06	2.845e-22	8.270e-04	1.00
NODE_0000092	7.133e-06	2.298e-22	8.264e-04	1.00
NODE_0000065	1.365e-04	1.003e-04	7.075e-04	0.86
EPI_ISL_577910	0.000e+00	2.830e-22	8.060e-04	0.97
EPI_ISL_632626	1.831e-04	2.690e-04	8.676e-04	1.05
NODE_0000094	1.330e-05	2.298e-22	8.261e-04	1.00
EPI_ISL_577954	1.729e-04	6.725e-05	3.679e-04	0.44
NODE_0000095	9.624e-06	2.298e-22	8.270e-04	1.00
NODE_0000070	1.535e-04	6.685e-05	3.670e-04	0.44
EPI_ISL_632579	3.238e-05	2.836e-22	5.760e-04	0.70
EPI_ISL_632578	3.689e-05	3.363e-05	8.806e-04	1.06
NODE_0000097	1.193e-05	2.298e-22	8.270e-04	1.00
EPI_ISL_523628	0.000e+00	2.840e-22	4.523e-04	0.55
NODE_0000071	7.832e-06	3.342e-05	7.514e-04	0.91
EPI_ISL_523766	9.611e-05	1.681e-04	1.231e-03	1.49
EPI_ISL_632582	1.729e-04	1.681e-04	8.555e-04	1.03
EPI_ISL_523751	9.385e-05	1.009e-04	9.190e-04	1.11
EPI_ISL_763145	8.933e-05	1.009e-04	9.461e-04	1.14
NODE_0000099	6.478e-06	2.290e-22	8.269e-04	1.00
EPI_ISL_523793	9.189e-05	3.362e-05	4.240e-04	0.51
EPI_ISL_523768	8.963e-05	2.840e-22	1.060e-04	0.13
NODE_0000077	3.146e-05	3.342e-05	9.193e-04	1.11
EPI_ISL_523750	6.465e-05	3.362e-05	5.080e-04	0.61
NODE_0000078	3.900e-05	3.342e-05	8.643e-04	1.05
EPI_ISL_523710	5.315e-06	2.840e-22	5.189e-04	0.63
EPI_ISL_523800	2.791e-05	1.345e-04	1.261e-03	1.53
NODE_0000030	7.199e-05	6.685e-05	1.031e-03	1.25
NODE_0000031	1.915e-05	3.342e-05	8.246e-04	1.00
NODE_0000032	7.202e-05	1.337e-04	1.112e-03	1.34
EPI_ISL_1265361	0.000e+00	2.853e-22	8.216e-04	0.99
EPI_ISL_523099	0.000e+00	2.853e-22	8.216e-04	0.99
NODE_0000033	7.202e-05	1.003e-04	9.380e-04	1.13
EPI_ISL_1265354	0.000e+00	2.847e-22	8.216e-04	0.99
EPI_ISL_523098	0.000e+00	2.844e-22	8.216e-04	0.99
NODE_0000017	1.201e-05	3.342e-05	8.903e-04	1.08
NODE_0000108	7.242e-06	2.312e-22	7.337e-04	0.89
NODE_0000109	7.338e-06	2.312e-22	8.255e-04	1.00
EPI_ISL_523119	7.362e-05	6.724e-05	6.845e-04	0.83
NODE_0000026	5.148e-05	3.342e-05	5.262e-04	0.64
EPI_ISL_523019	4.699e-05	6.725e-05	9.965e-04	1.20
EPI_ISL_523017	4.699e-05	1.009e-04	1.153e-03	1.39
NODE_0000114	5.903e-06	2.306e-22	8.269e-04	1.00
EPI_ISL_523074	1.044e-04	1.009e-04	8.178e-04	0.99
NODE_0000115	1.139e-05	2.306e-22	8.269e-04	1.00
EPI_ISL_523020	2.970e-05	3.362e-05	7.572e-04	0.92
EPI_ISL_523018	2.970e-05	3.362e-05	7.572e-04	0.92
NODE_0000018	2.084e-05	6.685e-05	9.697e-04	1.17
NODE_0000022	5.108e-05	1.003e-04	1.159e-03	1.40
