#node	clock_length	mutation_length	rate	fold_change
NODE_0000000	4.677e-05	6.717e-05	-1.519e-04	1.14
EPI_ISL_4420133	0.000e+00	4.761e-19	-1.332e-04	1.00
EPI_ISL_4420119	1.095e-06	4.763e-19	-1.327e-04	0.99
NODE_0000001	8.451e-06	4.659e-19	-1.336e-04	1.00
EPI_ISL_975857	4.635e-05	6.748e-05	-1.415e-04	1.06
NODE_0000002	3.777e-05	3.358e-05	-1.153e-04	0.86
EPI_ISL_717715	1.149e-05	3.374e-05	-1.486e-04	1.11
NODE_0000005	1.149e-05	3.358e-05	-1.486e-04	1.11
EPI_ISL_717716	0.000e+00	4.758e-19	-1.327e-04	0.99
EPI_ISL_717717	0.000e+00	4.758e-19	-1.327e-04	0.99
NODE_0000006	1.041e-06	4.660e-19	-1.167e-04	0.87
EPI_ISL_717714	1.045e-05	4.762e-19	-1.316e-04	0.99
EPI_ISL_975980	8.993e-06	4.762e-19	-1.327e-04	0.99
