#node	clock_length	mutation_length	rate	fold_change
NODE_0000891	1.460e-04	9.994e-05	2.730e-05	0.10
EPI_ISL_3050761	1.004e-04	6.705e-05	2.797e-04	1.02
EPI_ISL_641513	9.221e-05	6.705e-05	2.986e-04	1.09
NODE_0000902	1.445e-04	2.000e-04	4.243e-04	1.55
EPI_ISL_683077	8.094e-06	3.258e-18	2.348e-04	0.86
EPI_ISL_683076	8.094e-06	3.353e-05	3.034e-04	1.11
NODE_0000919	4.574e-05	6.663e-05	3.070e-04	1.12
EPI_ISL_641516	1.099e-04	2.013e-04	4.729e-04	1.73
NODE_0000006	4.424e-05	2.718e-22	2.723e-04	1.00
EPI_ISL_641509	2.238e-06	3.259e-18	2.718e-04	1.00
EPI_ISL_617578	0.000e+00	3.784e-22	2.730e-04	1.00
NODE_0000912	4.826e-05	1.333e-04	4.150e-04	1.52
NODE_0000917	4.623e-05	6.663e-05	3.449e-04	1.26
EPI_ISL_641479	2.158e-05	3.764e-22	2.398e-04	0.88
EPI_ISL_641480	2.158e-05	6.705e-05	3.257e-04	1.19
NODE_0000013	4.726e-05	2.711e-22	2.148e-04	0.79
EPI_ISL_615653	2.056e-05	3.352e-05	2.976e-04	1.09
EPI_ISL_641491	2.130e-05	3.764e-22	1.841e-04	0.67
NODE_0000913	4.213e-05	6.663e-05	3.425e-04	1.25
EPI_ISL_616802	1.003e-05	3.742e-22	2.702e-04	0.99
NODE_0000914	1.525e-05	3.331e-05	2.980e-04	1.09
EPI_ISL_616402	0.000e+00	3.739e-22	2.730e-04	1.00
EPI_ISL_615743	5.221e-06	3.736e-22	2.668e-04	0.98
NODE_0000922	5.524e-05	9.995e-05	3.821e-04	1.40
EPI_ISL_616369	5.040e-05	6.705e-05	3.388e-04	1.24
EPI_ISL_641473	5.711e-05	1.006e-04	3.803e-04	1.39
NODE_0000923	3.855e-05	3.331e-05	2.959e-04	1.08
EPI_ISL_622061	2.229e-05	6.705e-05	3.437e-04	1.26
EPI_ISL_641474	1.856e-05	3.757e-22	2.070e-04	0.76
NODE_0000018	1.292e-05	2.718e-22	1.764e-04	0.65
NODE_0000929	4.878e-05	3.331e-05	2.965e-04	1.09
EPI_ISL_641441	1.182e-05	3.355e-05	3.011e-04	1.10
EPI_ISL_641457	5.104e-06	3.710e-22	2.693e-04	0.99
NODE_0000021	2.696e-05	2.718e-22	2.304e-04	0.84
EPI_ISL_618554	4.706e-05	3.354e-05	2.764e-04	1.01
NODE_0000022	1.574e-05	2.718e-22	2.723e-04	1.00
EPI_ISL_641471	1.492e-06	3.769e-22	2.725e-04	1.00
EPI_ISL_615543	0.000e+00	3.771e-22	2.730e-04	1.00
NODE_0000931	4.159e-05	6.663e-05	3.432e-04	1.26
EPI_ISL_682396	6.624e-05	6.705e-05	2.882e-04	1.06
EPI_ISL_669777	5.580e-05	1.006e-04	3.713e-04	1.36
EPI_ISL_683140	6.177e-05	6.705e-05	2.985e-04	1.09
NODE_0000942	3.761e-05	6.664e-05	3.420e-04	1.25
EPI_ISL_617065	1.297e-05	3.756e-22	2.385e-04	0.87
EPI_ISL_669780	1.819e-05	6.705e-05	3.380e-04	1.24
NODE_0000029	1.441e-05	2.697e-22	1.998e-04	0.73
NODE_0000030	1.230e-05	2.697e-22	2.722e-04	1.00
EPI_ISL_641464	0.000e+00	3.743e-22	2.730e-04	1.00
EPI_ISL_682996	2.387e-05	3.353e-05	2.964e-04	1.09
NODE_0000032	1.877e-05	2.697e-22	2.367e-04	0.87
NODE_0000033	6.958e-06	2.697e-22	2.722e-04	1.00
EPI_ISL_619085	0.000e+00	3.776e-22	2.730e-04	1.00
EPI_ISL_670697	0.000e+00	3.746e-22	2.730e-04	1.00
NODE_0000036	1.106e-05	2.697e-22	2.692e-04	0.99
NODE_0000037	6.338e-06	2.697e-22	2.730e-04	1.00
EPI_ISL_670718	0.000e+00	3.746e-22	2.582e-04	0.95
EPI_ISL_625861	0.000e+00	3.740e-22	2.582e-04	0.95
NODE_0000038	8.686e-06	2.697e-22	2.730e-04	1.00
EPI_ISL_668790	8.094e-06	3.779e-22	2.125e-04	0.78
EPI_ISL_714390	1.854e-05	3.743e-22	1.604e-04	0.59
NODE_0000944	1.979e-05	3.331e-05	3.033e-04	1.11
EPI_ISL_668769	4.645e-05	1.006e-04	3.789e-04	1.39
EPI_ISL_683090	3.377e-05	6.709e-05	3.432e-04	1.26
EPI_ISL_641400	3.302e-05	3.352e-05	2.800e-04	1.03
EPI_ISL_683313	2.184e-05	3.353e-05	3.010e-04	1.10
EPI_ISL_641402	3.302e-05	3.356e-05	2.800e-04	1.03
NODE_0000947	3.247e-05	6.662e-05	3.448e-04	1.26
EPI_ISL_747742	2.964e-05	6.705e-05	3.408e-04	1.25
EPI_ISL_1895190	2.964e-05	3.356e-05	2.715e-04	0.99
NODE_0000952	2.557e-05	3.331e-05	2.980e-04	1.09
EPI_ISL_683289	0.000e+00	3.721e-22	2.724e-04	1.00
EPI_ISL_683288	0.000e+00	3.708e-22	2.724e-04	1.00
NODE_0000042	6.890e-06	2.320e-18	2.555e-04	0.94
NODE_0000043	5.249e-06	2.320e-18	2.722e-04	1.00
EPI_ISL_641442	0.000e+00	3.182e-18	2.730e-04	1.00
NODE_0000044	8.205e-06	2.320e-18	2.582e-04	0.95
EPI_ISL_619618	0.000e+00	3.732e-22	2.730e-04	1.00
EPI_ISL_619075	0.000e+00	3.730e-22	2.730e-04	1.00
NODE_0000045	9.610e-06	2.320e-18	2.542e-04	0.93
EPI_ISL_668785	2.473e-05	3.352e-05	2.997e-04	1.10
NODE_0000046	1.429e-05	2.320e-18	2.715e-04	0.99
EPI_ISL_669782	5.221e-06	3.729e-22	2.348e-04	0.86
EPI_ISL_682989	0.000e+00	3.729e-22	2.568e-04	0.94
NODE_0000959	1.400e-05	3.332e-05	2.909e-04	1.07
EPI_ISL_641404	1.231e-05	3.722e-22	2.062e-04	0.76
EPI_ISL_683149	2.798e-05	6.705e-05	3.405e-04	1.25
NODE_0000961	1.306e-05	9.996e-05	3.450e-04	1.26
EPI_ISL_1872304	3.729e-06	6.705e-05	3.145e-04	1.15
EPI_ISL_641408	0.000e+00	3.722e-22	2.661e-04	0.97
EPI_ISL_641413	7.459e-07	3.722e-22	2.641e-04	0.97
EPI_ISL_668825	1.417e-05	3.352e-05	3.018e-04	1.11
EPI_ISL_683239	0.000e+00	3.695e-22	2.661e-04	0.97
NODE_0000965	1.764e-05	3.331e-05	3.034e-04	1.11
EPI_ISL_615996	8.278e-05	6.705e-05	3.176e-04	1.16
NODE_0000050	4.198e-05	2.730e-22	1.605e-04	0.59
EPI_ISL_683095	4.676e-05	3.352e-05	2.922e-04	1.07
NODE_0000052	3.035e-05	2.730e-22	2.524e-04	0.92
EPI_ISL_683093	1.193e-05	3.269e-18	2.435e-04	0.89
EPI_ISL_617504	0.000e+00	3.785e-22	2.730e-04	1.00
NODE_0000969	2.207e-05	6.663e-05	3.410e-04	1.25
EPI_ISL_641493	7.711e-05	1.006e-04	3.790e-04	1.39
NODE_0000054	6.892e-05	2.739e-22	1.059e-04	0.39
EPI_ISL_641483	7.447e-06	3.801e-22	2.727e-04	1.00
NODE_0000055	8.193e-06	2.739e-22	2.722e-04	1.00
EPI_ISL_641494	0.000e+00	3.808e-22	2.730e-04	1.00
NODE_0000057	3.054e-05	2.739e-22	1.965e-04	0.72
EPI_ISL_669775	5.265e-06	3.799e-22	2.322e-04	0.85
NODE_0000061	4.579e-06	2.739e-22	2.730e-04	1.00
EPI_ISL_683142	6.653e-06	3.793e-22	2.032e-04	0.74
EPI_ISL_668733	5.907e-06	3.782e-22	2.070e-04	0.76
NODE_0000975	2.656e-05	3.331e-05	2.989e-04	1.09
EPI_ISL_641484	4.981e-05	3.352e-05	2.990e-04	1.10
EPI_ISL_683307	7.293e-05	1.006e-04	3.788e-04	1.39
NODE_0000989	5.118e-05	6.662e-05	3.442e-04	1.26
EPI_ISL_670704	3.518e-05	1.006e-04	3.779e-04	1.38
EPI_ISL_641428	6.836e-06	3.739e-22	2.730e-04	1.00
EPI_ISL_625980	2.996e-05	6.708e-05	3.438e-04	1.26
EPI_ISL_683268	2.250e-05	3.352e-05	3.037e-04	1.11
NODE_0000065	2.542e-05	2.751e-22	2.686e-04	0.98
NODE_0000066	8.723e-06	2.751e-22	2.720e-04	1.00
