#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-01-01	2020.000143	2019.789038	2020.006194
NODE_0000913	2020-04-11	2020.277430	2020.156855	2020.454384
EPI_ISL_641513	2020-08-13	2020.616120	2020.616120	2020.616120
EPI_ISL_3050761	2020-08-24	2020.646175	2020.646175	2020.646175
NODE_0000983	2020-10-04	2020.758895	2020.694362	2020.837432
EPI_ISL_683077	2020-11-02	2020.837432	2020.837432	2020.837432
EPI_ISL_683076	2020-11-02	2020.837432	2020.837432	2020.837432
NODE_0000917	2020-07-22	2020.556881	2020.389984	2020.602252
EPI_ISL_641516	2020-11-06	2020.848361	2020.848361	2020.848361
NODE_0000006	2020-08-10	2020.607923	2020.516524	2020.607923
EPI_ISL_641509	2020-08-13	2020.616120	2020.616120	2020.616120
EPI_ISL_617578	2020-08-10	2020.607923	2020.607923	2020.607923
NODE_0000919	2020-06-25	2020.482651	2020.354531	2020.627884
NODE_0000920	2020-08-17	2020.627257	2020.547864	2020.703053
EPI_ISL_641479	2020-09-14	2020.703552	2020.703552	2020.703552
EPI_ISL_641480	2020-09-14	2020.703552	2020.703552	2020.703552
NODE_0000009	2020-08-16	2020.623260	2020.510717	2020.703552
EPI_ISL_615653	2020-09-14	2020.703552	2020.703552	2020.703552
EPI_ISL_641491	2020-09-15	2020.706284	2020.706284	2020.706284
NODE_0000923	2020-08-15	2020.620383	2020.539405	2020.646175
EPI_ISL_616802	2020-08-24	2020.646175	2020.646175	2020.646175
NODE_0000924	2020-08-31	2020.665301	2020.620992	2020.665301
EPI_ISL_616402	2020-08-31	2020.665301	2020.665301	2020.665301
EPI_ISL_615743	2020-09-07	2020.684426	2020.684426	2020.684426
NODE_0000939	2020-06-11	2020.443727	2020.290814	2020.646470
EPI_ISL_616369	2020-08-31	2020.665301	2020.665301	2020.665301
EPI_ISL_641473	2020-09-09	2020.689891	2020.689891	2020.689891
NODE_0000947	2020-08-13	2020.617458	2020.532744	2020.689891
EPI_ISL_622061	2020-09-14	2020.703552	2020.703552	2020.703552
EPI_ISL_641474	2020-09-09	2020.689891	2020.689891	2020.689891
NODE_0000014	2020-08-04	2020.592279	2020.466027	2020.664844
NODE_0000943	2020-09-21	2020.721994	2020.634760	2020.725410
EPI_ISL_641441	2020-10-01	2020.750000	2020.750000	2020.750000
EPI_ISL_641457	2020-09-22	2020.725410	2020.725410	2020.725410
NODE_0000016	2020-08-25	2020.649657	2020.573084	2020.678910
NODE_0000017	2020-09-07	2020.684426	2020.635565	2020.684426
EPI_ISL_641471	2020-09-09	2020.689891	2020.689891	2020.689891
EPI_ISL_615543	2020-09-07	2020.684426	2020.684426	2020.684426
NODE_0000018	2020-09-28	2020.742408	2020.662249	2020.790124
EPI_ISL_668790	2020-11-09	2020.856557	2020.856557	2020.856557
EPI_ISL_618554	2020-10-19	2020.799180	2020.799180	2020.799180
NODE_0000949	2020-09-11	2020.695257	2020.625931	2020.710262
EPI_ISL_682396	2020-11-16	2020.875683	2020.875683	2020.875683
EPI_ISL_683140	2020-11-10	2020.859290	2020.859290	2020.859290
EPI_ISL_669777	2020-11-02	2020.837432	2020.837432	2020.837432
NODE_0000957	2020-10-04	2020.759245	2020.716163	2020.818306
EPI_ISL_617065	2020-10-26	2020.818306	2020.818306	2020.818306
EPI_ISL_669780	2020-11-02	2020.837432	2020.837432	2020.837432
NODE_0000025	2020-09-18	2020.713462	2020.664760	2020.725358
NODE_0000026	2020-09-24	2020.730874	2020.699377	2020.730874
EPI_ISL_714390	2020-11-23	2020.894809	2020.894809	2020.894809
EPI_ISL_641464	2020-09-24	2020.730874	2020.730874	2020.730874
NODE_0000027	2020-09-22	2020.725346	2020.685908	2020.758631
EPI_ISL_682996	2020-10-26	2020.818306	2020.818306	2020.818306
NODE_0000031	2020-10-02	2020.752793	2020.717193	2020.773535
NODE_0000032	2020-10-12	2020.780055	2020.746289	2020.780055
EPI_ISL_670697	2020-10-12	2020.780055	2020.780055	2020.780055
EPI_ISL_619085	2020-10-12	2020.780055	2020.780055	2020.780055
NODE_0000033	2020-10-12	2020.778932	2020.744613	2020.818306
EPI_ISL_670718	2020-10-26	2020.818306	2020.818306	2020.818306
EPI_ISL_625861	2020-10-26	2020.818306	2020.818306	2020.818306
NODE_0000961	2020-09-19	2020.717502	2020.692178	2020.736074
EPI_ISL_683090	2020-10-30	2020.829235	2020.829235	2020.829235
EPI_ISL_683313	2020-10-14	2020.785519	2020.785519	2020.785519
EPI_ISL_668769	2020-11-16	2020.875683	2020.875683	2020.875683
EPI_ISL_641402	2020-10-29	2020.826503	2020.826503	2020.826503
EPI_ISL_641400	2020-10-29	2020.826503	2020.826503	2020.826503
NODE_0000962	2020-10-17	2020.794716	2020.741872	2020.869387
EPI_ISL_747742	2020-12-07	2020.933060	2020.933060	2020.933060
EPI_ISL_1895190	2020-12-07	2020.933060	2020.933060	2020.933060
NODE_0000965	2020-10-19	2020.799180	2020.746877	2020.799180
EPI_ISL_683289	2020-10-19	2020.799180	2020.799180	2020.799180
EPI_ISL_683288	2020-10-19	2020.799180	2020.799180	2020.799180
NODE_0000037	2020-09-25	2020.734811	2020.711293	2020.744291
NODE_0000040	2020-10-01	2020.750000	2020.727944	2020.750000
EPI_ISL_641442	2020-10-01	2020.750000	2020.750000	2020.750000
EPI_ISL_668785	2020-11-09	2020.856557	2020.856557	2020.856557
NODE_0000041	2020-09-28	2020.741863	2020.706544	2020.773535
