#node	clock_length	mutation_length	rate	fold_change
NODE_0002995	2.136e-04	3.945e-04	7.946e-04	1.56
EPI_ISL_619391	1.908e-04	3.623e-04	7.158e-04	1.40
NODE_0002996	4.150e-05	3.238e-22	5.100e-04	1.00
EPI_ISL_618267	3.238e-05	2.425e-22	4.511e-04	0.88
NODE_0002997	3.238e-05	6.573e-05	6.052e-04	1.19
EPI_ISL_617615	1.951e-05	2.241e-22	4.044e-04	0.79
EPI_ISL_618266	0.000e+00	2.223e-22	5.100e-04	1.00
NODE_0002994	9.986e-05	3.286e-05	5.642e-04	1.11
NODE_0002998	2.708e-04	5.920e-04	7.499e-04	1.47
EPI_ISL_621056	2.495e-04	6.587e-05	2.324e-04	0.46
EPI_ISL_616722	2.495e-04	6.587e-05	2.324e-04	0.46
EPI_ISL_616603	6.210e-05	1.622e-22	5.100e-05	0.10
EPI_ISL_615489	2.495e-04	6.587e-05	2.324e-04	0.46
EPI_ISL_616779	3.159e-04	9.881e-05	2.771e-04	0.54
EPI_ISL_622120	2.965e-04	1.317e-04	3.057e-04	0.60
EPI_ISL_622677	1.858e-04	3.293e-05	1.780e-04	0.35
EPI_ISL_616605	2.932e-04	1.318e-04	3.057e-04	0.60
EPI_ISL_617441	1.858e-04	3.293e-05	1.780e-04	0.35
EPI_ISL_616528	6.210e-05	1.628e-22	5.100e-05	0.10
EPI_ISL_615987	1.858e-04	3.293e-05	1.780e-04	0.35
NODE_0003010	2.180e-04	6.575e-05	2.326e-04	0.46
EPI_ISL_616151	8.017e-05	3.293e-05	5.100e-04	1.00
EPI_ISL_616173	1.805e-04	1.477e-22	5.100e-05	0.10
NODE_0003012	2.004e-04	3.287e-05	1.783e-04	0.35
EPI_ISL_617627	-5.105e-05	3.293e-05	5.100e-04	1.00
EPI_ISL_617434	0.000e+00	1.574e-22	5.100e-05	0.10
NODE_0003014	-5.123e-05	3.287e-05	5.100e-04	1.00
EPI_ISL_616460	1.519e-05	3.293e-05	5.100e-04	1.00
EPI_ISL_616861	1.002e-04	1.497e-22	5.100e-05	0.10
NODE_0003015	2.180e-04	6.575e-05	2.326e-04	0.46
EPI_ISL_616481	1.805e-04	1.497e-22	5.100e-05	0.10
NODE_0003016	7.997e-05	3.287e-05	5.100e-04	1.00
EPI_ISL_616529	-1.779e-04	1.371e-22	5.100e-04	1.00
NODE_0003017	-1.393e-04	3.287e-05	5.100e-04	1.00
EPI_ISL_616783	-3.195e-05	1.300e-22	5.100e-04	1.00
NODE_0003019	1.387e-05	3.287e-05	5.100e-04	1.00
EPI_ISL_616772	-4.327e-05	1.271e-22	5.100e-04	1.00
EPI_ISL_616385	-4.327e-05	1.239e-22	5.100e-04	1.00
EPI_ISL_616389	-4.327e-05	1.239e-22	5.100e-04	1.00
NODE_0003021	1.387e-05	3.287e-05	5.100e-04	1.00
EPI_ISL_671238	2.226e-04	1.292e-22	5.100e-05	0.10
EPI_ISL_671240	2.226e-04	1.271e-22	5.100e-05	0.10
EPI_ISL_671237	2.226e-04	1.252e-22	5.100e-05	0.10
