#node	clock_length	mutation_length	rate	fold_change
NODE_0000034	1.925e-04	2.020e-04	4.993e-04	0.99
EPI_ISL_3322074	5.767e-04	4.389e-04	3.651e-04	0.72
NODE_0000032	4.839e-05	1.347e-04	6.382e-04	1.27
NODE_0000033	2.346e-04	4.041e-04	7.633e-04	1.51
EPI_ISL_5779742	4.111e-04	3.040e-04	3.726e-04	0.74
EPI_ISL_9347713	4.857e-04	5.400e-04	5.480e-04	1.09
NODE_0000031	7.949e-05	3.704e-04	7.675e-04	1.52
EPI_ISL_5988391	5.151e-04	4.391e-04	4.457e-04	0.88
NODE_0000005	1.235e-05	3.366e-05	6.378e-04	1.26
NODE_0000006	6.230e-04	7.413e-04	6.621e-04	1.31
EPI_ISL_9654523	1.381e-06	3.203e-22	5.010e-04	0.99
EPI_ISL_9654019	0.000e+00	3.203e-22	5.034e-04	1.00
NODE_0000015	1.351e-04	1.347e-04	5.798e-04	1.15
EPI_ISL_5151481	3.373e-04	2.025e-04	3.579e-04	0.71
EPI_ISL_9347726	4.934e-04	3.374e-04	3.865e-04	0.77
NODE_0000000	1.081e-04	1.683e-04	8.184e-04	1.62
EPI_ISL_4260077	3.601e-04	2.024e-04	3.123e-04	0.62
EPI_ISL_8643727	5.549e-04	2.700e-04	2.648e-04	0.53
NODE_0000002	2.932e-04	1.683e-04	3.335e-04	0.66
EPI_ISL_6079297	1.664e-04	1.012e-04	3.253e-04	0.65
EPI_ISL_5376949	1.554e-04	1.687e-04	5.245e-04	1.04
NODE_0000004	2.965e-04	3.031e-04	5.747e-04	1.14
EPI_ISL_9347715	2.267e-04	3.375e-04	6.721e-04	1.33
EPI_ISL_9388141	2.308e-04	2.025e-04	4.278e-04	0.85
NODE_0000008	7.959e-05	6.733e-05	6.179e-04	1.23
NODE_0000009	6.185e-05	6.732e-05	4.812e-04	0.95
EPI_ISL_9050787	5.050e-04	1.350e-04	1.555e-04	0.31
NODE_0000010	4.719e-04	3.704e-04	4.384e-04	0.87
EPI_ISL_9388142	0.000e+00	3.275e-22	5.010e-04	0.99
EPI_ISL_9388143	0.000e+00	3.275e-22	5.010e-04	0.99
NODE_0000011	2.279e-05	3.366e-05	5.483e-04	1.09
EPI_ISL_7088388	4.847e-04	3.374e-05	5.042e-05	0.10
