#node	clock_length	mutation_length	rate	fold_change
NODE_0000005	3.239e-04	4.356e-04	1.349e-03	1.35
NODE_0000006	1.882e-04	1.675e-04	1.185e-03	1.19
EPI_ISL_984307	8.451e-05	1.349e-04	1.260e-03	1.26
NODE_0000007	6.282e-05	3.350e-05	5.069e-04	0.51
EPI_ISL_984305	2.169e-05	9.602e-18	9.821e-04	0.98
EPI_ISL_1034274	3.808e-05	3.373e-05	1.107e-03	1.11
NODE_0000000	1.009e-05	3.350e-05	1.058e-03	1.06
EPI_ISL_732949	6.900e-05	3.373e-05	9.578e-04	0.96
NODE_0000001	3.124e-05	3.350e-05	1.099e-03	1.10
NODE_0000002	2.683e-05	3.350e-05	1.105e-03	1.11
EPI_ISL_732951	1.093e-05	9.608e-18	9.709e-04	0.97
EPI_ISL_732954	1.093e-05	3.373e-05	1.065e-03	1.07
NODE_0000010	2.349e-05	1.100e-22	8.372e-04	0.84
EPI_ISL_732953	1.427e-05	9.606e-18	9.908e-04	0.99
NODE_0000013	1.427e-05	1.100e-22	9.973e-04	1.00
EPI_ISL_732957	0.000e+00	1.093e-22	9.908e-04	0.99
EPI_ISL_732952	0.000e+00	1.093e-22	9.908e-04	0.99
NODE_0000008	3.279e-04	2.010e-04	8.193e-04	0.82
EPI_ISL_2631245	3.689e-04	6.074e-04	1.512e-03	1.52
NODE_0000009	4.093e-04	6.702e-04	1.222e-03	1.23
EPI_ISL_2801426	2.612e-04	3.375e-04	1.446e-03	1.45
EPI_ISL_3218557	2.420e-04	1.349e-04	7.173e-04	0.72
NODE_0000011	1.003e-04	2.010e-04	1.054e-03	1.06
NODE_0000016	2.648e-05	3.350e-05	1.090e-03	1.09
EPI_ISL_1084644	1.256e-04	1.687e-04	8.930e-04	0.90
NODE_0000017	8.491e-05	1.005e-04	9.415e-04	0.94
EPI_ISL_1239723	1.145e-04	3.711e-04	1.941e-03	1.95
EPI_ISL_1168335	9.538e-05	3.373e-05	3.476e-04	0.35
EPI_ISL_1341059	1.200e-04	2.024e-04	1.255e-03	1.26
NODE_0000015	1.856e-05	9.596e-18	9.973e-04	1.00
EPI_ISL_1239750	2.101e-04	1.012e-04	3.962e-04	0.40
NODE_0000012	9.175e-05	1.005e-04	7.910e-04	0.79
EPI_ISL_1273771	7.186e-05	1.012e-04	9.777e-04	0.98
EPI_ISL_1091453	5.274e-05	1.349e-04	1.306e-03	1.31
NODE_0000014	3.588e-05	3.350e-05	9.627e-04	0.97
EPI_ISL_1239720	7.423e-05	1.349e-04	1.225e-03	1.23
EPI_ISL_1539219	1.316e-04	1.349e-04	9.282e-04	0.93
