#node	clock_length	mutation_length	rate	fold_change
NODE_0000015	1.308e-04	2.347e-04	1.532e-03	1.39
EPI_ISL_1613246	9.493e-06	4.768e-19	1.032e-03	0.93
EPI_ISL_1613501	1.252e-05	3.369e-05	1.225e-03	1.11
NODE_0000001	1.009e-04	1.006e-04	1.511e-03	1.37
EPI_ISL_1591005	4.544e-05	3.034e-04	2.062e-03	1.87
EPI_ISL_2799294	8.785e-05	2.359e-04	1.509e-03	1.36
EPI_ISL_1590985	4.544e-05	2.022e-04	1.605e-03	1.45
EPI_ISL_2799309	8.785e-05	1.348e-04	9.755e-04	0.88
NODE_0000000	8.231e-06	3.352e-05	1.216e-03	1.10
EPI_ISL_1590832	1.297e-05	1.348e-04	1.542e-03	1.39
EPI_ISL_1590996	3.418e-05	1.011e-04	1.152e-03	1.04
NODE_0000006	7.739e-06	6.704e-05	8.591e-04	0.78
EPI_ISL_1590870	1.347e-05	4.762e-19	1.106e-03	1.00
EPI_ISL_2799690	1.104e-04	3.370e-05	5.698e-04	0.52
NODE_0000007	1.038e-04	3.352e-05	2.741e-04	0.25
EPI_ISL_2141972	6.282e-05	3.371e-05	8.526e-04	0.77
EPI_ISL_2799589	2.238e-06	4.737e-19	1.106e-03	1.00
NODE_0000010	5.436e-06	3.352e-05	6.446e-04	0.58
EPI_ISL_1590866	1.880e-05	6.739e-05	1.388e-03	1.26
NODE_0000008	8.622e-06	6.027e-19	5.727e-04	0.52
EPI_ISL_1590972	2.532e-05	4.762e-19	1.098e-03	0.99
NODE_0000009	8.855e-05	6.028e-19	2.211e-04	0.20
EPI_ISL_2799818	2.158e-05	4.761e-19	9.459e-04	0.86
EPI_ISL_2141732	1.250e-05	4.761e-19	1.078e-03	0.97
NODE_0000016	1.229e-05	1.676e-04	1.691e-03	1.53
EPI_ISL_2799637	1.028e-04	4.782e-19	1.106e-04	0.10
NODE_0000017	6.648e-06	3.352e-05	1.219e-03	1.10
EPI_ISL_1590981	2.650e-05	1.011e-04	1.531e-03	1.38
NODE_0000020	3.256e-05	3.352e-05	1.219e-03	1.10
EPI_ISL_2141536	0.000e+00	4.795e-19	9.588e-04	0.87
EPI_ISL_2799675	6.664e-05	3.370e-05	6.758e-04	0.61
NODE_0000013	2.266e-06	6.064e-19	1.080e-03	0.98
EPI_ISL_1590938	1.212e-05	4.794e-19	9.953e-04	0.90
EPI_ISL_1590898	0.000e+00	4.794e-19	1.106e-03	1.00
NODE_0000021	4.886e-05	2.011e-04	1.603e-03	1.45
EPI_ISL_2141910	1.238e-04	1.348e-04	1.223e-03	1.11
NODE_0000022	1.991e-05	3.352e-05	1.199e-03	1.08
EPI_ISL_2141686	4.634e-05	3.370e-05	1.022e-03	0.92
NODE_0000023	1.383e-05	3.352e-05	1.208e-03	1.09
EPI_ISL_2141683	3.251e-05	6.740e-05	1.389e-03	1.26
EPI_ISL_2141681	4.159e-05	1.011e-04	1.547e-03	1.40
NODE_0000018	6.275e-06	5.994e-19	8.526e-04	0.77
NODE_0000019	7.214e-06	5.994e-19	1.106e-03	1.00
EPI_ISL_2141685	1.902e-05	3.370e-05	1.231e-03	1.11
EPI_ISL_2141902	7.657e-05	6.739e-05	1.109e-03	1.00
NODE_0000024	1.539e-06	5.994e-19	1.058e-03	0.96
NODE_0000025	1.231e-05	5.994e-19	1.106e-03	1.00
EPI_ISL_2141906	6.691e-05	3.370e-05	8.368e-04	0.76
EPI_ISL_2141905	5.479e-05	3.370e-05	9.621e-04	0.87
NODE_0000026	1.303e-05	5.994e-19	1.101e-03	1.00
EPI_ISL_4548649	2.631e-04	2.696e-04	1.239e-03	1.12
NODE_0000027	8.635e-06	5.994e-19	1.106e-03	1.00
EPI_ISL_2141761	1.817e-05	4.730e-19	8.416e-04	0.76
EPI_ISL_2141680	0.000e+00	4.739e-19	1.102e-03	1.00
NODE_0000032	6.824e-06	3.352e-05	1.212e-03	1.10
EPI_ISL_2141684	2.568e-05	3.370e-05	1.203e-03	1.09
EPI_ISL_2141898	8.323e-05	1.348e-04	1.538e-03	1.39
EPI_ISL_2141904	6.809e-05	1.011e-04	1.426e-03	1.29
EPI_ISL_2141899	8.323e-05	1.348e-04	1.538e-03	1.39
NODE_0000029	1.385e-05	6.007e-19	9.876e-04	0.89
EPI_ISL_2141903	6.939e-05	6.740e-05	1.133e-03	1.02
EPI_ISL_2141762	2.698e-05	4.731e-19	6.990e-04	0.63
NODE_0000038	6.816e-06	3.352e-05	1.194e-03	1.08
EPI_ISL_2141909	7.339e-05	6.740e-05	1.115e-03	1.01
NODE_0000039	6.978e-06	3.352e-05	1.195e-03	1.08
EPI_ISL_2141682	2.097e-05	1.011e-04	1.444e-03	1.31
EPI_ISL_2141907	6.641e-05	3.370e-05	8.129e-04	0.74
NODE_0000041	2.011e-04	2.683e-04	1.470e-03	1.33
EPI_ISL_4548647	8.431e-05	3.371e-05	6.885e-04	0.62
NODE_0000042	6.521e-05	1.006e-04	1.472e-03	1.33
EPI_ISL_4548648	9.353e-05	1.011e-04	1.132e-03	1.02
EPI_ISL_4548650	1.909e-05	3.371e-05	1.229e-03	1.11
