#node	clock_length	mutation_length	rate	fold_change
NODE_0000275	1.267e-04	1.680e-04	7.987e-05	0.94
NODE_0000276	1.008e-04	1.344e-04	1.065e-04	1.26
EPI_ISL_4985835	7.419e-05	1.349e-04	1.149e-04	1.36
EPI_ISL_3354112	7.929e-05	1.010e-04	9.425e-05	1.11
NODE_0000277	3.521e-05	3.359e-05	8.022e-05	0.95
EPI_ISL_1239997	1.449e-04	1.347e-04	8.171e-05	0.97
NODE_0000278	1.084e-04	6.718e-05	8.832e-05	1.04
EPI_ISL_4962031	3.947e-05	1.010e-04	9.657e-05	1.14
NODE_0000279	1.048e-05	3.359e-05	8.770e-05	1.04
EPI_ISL_4961861	2.158e-05	1.785e-22	2.952e-05	0.35
EPI_ISL_4061850	3.594e-05	1.348e-04	1.264e-04	1.50
NODE_0000272	9.326e-05	1.344e-04	1.332e-04	1.58
EPI_ISL_574547	1.609e-04	6.731e-05	3.178e-05	0.38
NODE_0000274	2.973e-05	3.358e-05	8.870e-05	1.05
EPI_ISL_5084847	1.353e-04	1.683e-04	7.943e-05	0.94
EPI_ISL_5085424	1.346e-04	2.693e-04	1.161e-04	1.37
NODE_0000234	8.718e-06	6.717e-05	1.013e-04	1.20
EPI_ISL_2202686	1.916e-04	4.715e-04	1.532e-04	1.81
EPI_ISL_614133	1.672e-04	3.704e-04	1.357e-04	1.61
NODE_0000269	6.047e-05	2.015e-04	1.340e-04	1.59
EPI_ISL_786421	1.136e-04	3.368e-04	1.687e-04	2.00
EPI_ISL_2773925	1.002e-04	6.745e-05	6.211e-05	0.73
EPI_ISL_3841972	1.058e-04	6.731e-05	5.970e-05	0.71
NODE_0000253	2.129e-05	6.717e-05	1.068e-04	1.26
EPI_ISL_7857902	1.662e-04	4.378e-04	1.587e-04	1.88
NODE_0000254	2.039e-05	3.358e-05	9.348e-05	1.11
EPI_ISL_1303761	1.567e-04	2.693e-04	1.140e-04	1.35
NODE_0000255	1.932e-05	3.358e-05	9.287e-05	1.10
EPI_ISL_1525347	1.499e-04	1.685e-04	8.181e-05	0.97
EPI_ISL_745454	1.242e-04	3.704e-04	1.604e-04	1.90
NODE_0000256	1.406e-05	3.358e-05	9.405e-05	1.11
EPI_ISL_602957	1.471e-04	3.367e-04	1.349e-04	1.60
EPI_ISL_1111586	1.780e-04	4.041e-04	1.422e-04	1.68
NODE_0000258	2.814e-05	1.008e-04	1.117e-04	1.32
EPI_ISL_746264	1.314e-04	3.367e-04	1.575e-04	1.86
EPI_ISL_832492	1.323e-04	1.684e-04	9.708e-05	1.15
EPI_ISL_832638	1.353e-04	1.011e-04	6.424e-05	0.76
NODE_0000260	3.450e-05	6.717e-05	1.060e-04	1.25
EPI_ISL_1533522	9.760e-05	1.786e-22	8.454e-06	0.10
EPI_ISL_1184154	1.270e-04	4.042e-04	1.790e-04	2.12
